OG BAT_1+2_gc BAT_3rd_gc BRO_1+2_gc BRO_3rd_gc BGM_1+2_gc BGM_3rd_gc
OG0003513 41.88 46.85 41.57 57.57 41.91 47.16
OG0003514 48.93 80.67 48.94 82.12 48.79 81.52
OG0003516 44.26 47.18 44.31 46.97 44.26 47.59
OG0003517 52.32 66.41 52.49 68.41 51.07 78.57
OG0003519 37.03 72.43 37.87 74.56 38.70 75.34
OG0003520 55.26 87.64 56.72 91.78 55.03 88.17
OG0003521 52.58 81.06 60.67 65.42 52.78 87.72
OG0003522 55.46 96.70 55.15 90.40 55.12 96.93
OG0003523 68.93 90.71 67.48 98.06 69.29 90.55
OG0003524 44.59 62.16 44.59 63.51 44.26 61.49
OG0003525 51.78 78.06 52.20 82.13 51.77 79.58
OG0003526 47.59 63.57 49.79 70.42 49.04 59.77
OG0003527 46.72 58.48 46.49 59.14 44.88 54.26
OG0003528 58.60 85.11 58.82 88.82 59.69 84.92
OG0003529 47.94 93.94 48.27 96.54 47.83 94.58
OG0003530 44.41 78.85 46.83 82.48 44.71 79.15
OG0003531 45.87 69.07 45.29 70.85 46.08 69.92
OG0003532 48.14 76.00 48.41 76.97 48.14 77.10
OG0003533 46.71 56.97 46.98 58.79 45.56 56.68
OG0003534 54.34 82.91 54.27 81.93 54.27 81.79
OG0003535 61.96 85.24 58.44 93.51 63.48 86.09
OG0003536 49.48 83.23 48.33 80.52 49.51 86.13
OG0003537 38.93 27.68 40.75 29.78 38.75 28.78
OG0003538 49.39 89.57 48.77 90.15 49.24 88.55
OG0003539 39.84 45.12 40.68 44.92 40.25 45.15
OG0003540 47.92 82.92 48.23 82.08 43.60 85.55
OG0003541 51.76 71.76 55.72 71.78 50.70 72.16
OG0003542 51.07 78.65 50.53 78.45 51.07 77.58
OG0003543 44.61 33.43 44.34 33.70 44.74 32.71
OG0003544 53.24 92.14 52.24 86.07 51.49 87.06
OG0003546 55.43 90.19 55.61 91.02 55.61 90.85
OG0003547 55.59 82.79 56.20 84.46 53.38 82.90
OG0003548 50.00 76.25 50.61 76.99 47.40 74.59
OG0003549 50.17 75.87 49.83 76.43 50.22 76.88
OG0003551 50.94 88.68 47.77 94.64 51.16 90.70
OG0003552 49.10 83.41 50.79 86.26 54.30 84.52
OG0003553 49.40 62.28 49.26 64.79 49.07 64.44
OG0003554 45.95 67.64 45.94 70.20 45.82 68.40
OG0003555 51.24 81.46 51.36 79.76 50.68 81.27
OG0003556 52.30 32.55 52.49 33.60 52.43 32.94
OG0003557 51.56 89.43 51.56 90.50 51.15 89.58
OG0003558 44.17 80.98 45.91 82.56 45.24 82.74
OG0003560 48.36 81.79 47.38 80.46 47.37 82.68
OG0003561 51.68 62.22 52.04 65.65 51.79 61.98
OG0003562 45.40 75.86 45.88 76.44 47.66 78.97
OG0003564 47.13 75.10 47.69 76.90 47.29 75.43
OG0003565 52.37 90.72 49.26 94.49 52.11 91.08
OG0003566 52.19 95.03 54.20 96.46 56.58 93.10
OG0003567 56.88 75.23 55.71 71.84 53.79 71.37
OG0003568 46.43 60.14 47.13 63.07 46.33 59.40
OG0003570 51.75 61.23 50.71 60.35 51.44 59.78
OG0003571 52.10 89.72 52.10 90.65 51.98 89.30
OG0003572 42.72 65.05 49.69 86.42 40.33 46.70
OG0003573 52.75 84.59 51.29 83.21 50.19 78.39
OG0003574 47.34 78.17 47.19 81.26 46.93 78.02
OG0003575 48.33 71.94 47.00 74.40 48.11 72.51
OG0003576 52.95 75.98 53.82 76.35 55.53 82.13
OG0003578 60.95 91.46 60.71 83.18 61.98 91.05
OG0003579 49.01 61.33 51.03 86.90 45.50 78.92
OG0003580 43.16 43.68 42.60 46.15 38.68 42.45
OG0003581 51.96 69.83 55.60 91.38 51.94 74.44
OG0003582 42.27 41.37 41.58 36.81 41.67 37.73
OG0003583 56.09 81.84 53.75 76.13 55.85 81.42
OG0003584 42.11 36.85 41.38 33.20 41.70 36.15
OG0003585 45.78 65.37 44.59 62.49 45.32 62.08
OG0003586 46.21 81.38 46.53 84.72 46.13 76.24
OG0003588 52.20 91.18 52.75 92.84 51.26 86.69
OG0003589 48.25 60.82 47.95 66.08 47.97 60.12
OG0003591 53.55 89.61 56.66 82.45 53.51 89.58
OG0003592 43.83 55.48 45.97 64.52 43.30 54.26
OG0003593 54.48 88.59 51.62 87.83 34.25 44.52
OG0003594 55.87 80.42 52.85 86.91 47.73 74.21
OG0003595 51.59 61.29 50.92 52.65 51.50 52.93
OG0003596 55.44 78.46 56.11 82.29 55.89 79.09
OG0003597 51.13 85.08 51.32 87.04 51.60 85.95
OG0003598 51.26 77.16 51.98 80.45 50.56 78.03
OG0003599 47.20 68.19 46.32 57.09 45.67 58.79
OG0003600 55.79 94.44 56.03 94.42 55.90 94.22
OG0003601 46.15 55.70 46.67 56.56 48.01 60.68
OG0003602 53.79 92.44 54.12 91.11 54.12 92.84
OG0003604 42.95 61.31 43.27 62.03 43.18 61.55
OG0003605 53.93 79.55 52.86 81.92 54.94 79.52
OG0003606 47.47 55.67 49.26 63.46 48.67 71.31
OG0003607 44.05 48.12 44.18 47.92 44.06 47.75
OG0003608 50.95 88.55 44.20 91.30 50.80 86.94
OG0003609 45.85 56.99 47.12 58.65 45.57 57.29
OG0003610 51.14 83.22 51.43 84.29 50.00 69.16
OG0003611 45.24 62.74 48.03 62.38 47.76 61.53
OG0003612 52.48 60.25 52.33 60.87 52.48 59.32
OG0003613 58.17 84.81 52.30 79.74 52.98 80.79
OG0003614 45.21 67.99 47.30 71.60 45.70 67.79
OG0003615 47.38 48.98 47.22 50.16 47.89 48.31
OG0003616 45.11 61.31 44.81 61.27 44.67 60.72
OG0003617 52.52 87.61 53.81 87.89 52.98 89.91
OG0003619 34.65 49.61 37.23 62.77 37.23 61.47
OG0003620 48.80 71.63 45.83 70.42 46.67 67.92
OG0003621 46.10 59.93 46.11 60.78 46.39 59.21
OG0003622 45.74 61.50 45.36 61.95 45.74 62.53
OG0003624 49.21 42.36 47.35 38.70 48.29 39.16
OG0003625 45.00 79.16 45.53 80.98 45.00 79.74
OG0003627 52.69 85.07 52.88 84.70 52.88 85.17
OG0003628 64.18 98.51 62.50 99.19 63.16 99.25
OG0003629 52.94 86.55 53.46 91.06 53.53 87.65
OG0003631 52.38 80.02 55.29 87.43 52.68 81.81
OG0003632 51.54 72.49 51.28 73.40 51.89 75.14
OG0003633 53.10 91.77 52.07 89.33 52.49 90.94
OG0003634 62.17 81.32 60.17 84.47 61.29 83.41
OG0003636 42.01 78.25 41.53 79.68 41.95 78.64
OG0003637 59.99 90.87 62.45 91.67 60.01 91.24
OG0003638 50.14 75.35 51.18 75.29 50.14 74.32
OG0003639 50.00 89.31 52.51 96.18 50.36 90.26
OG0003641 44.44 57.10 45.10 55.81 45.41 59.24
OG0003642 54.47 90.08 54.77 91.63 55.32 92.19
OG0003643 52.98 75.45 52.69 74.27 52.43 75.18
OG0003644 47.62 77.08 48.28 79.78 47.97 75.76
OG0003645 54.30 94.03 53.91 95.95 54.30 94.51
OG0003647 43.24 72.60 47.92 83.40 46.88 78.84
OG0003649 58.54 93.67 61.63 91.16 61.70 80.38
OG0003650 43.04 43.07 42.65 43.75 43.09 43.82
OG0003651 60.42 89.04 62.17 93.04 55.62 89.17
OG0003653 54.48 90.20 55.00 90.03 54.72 89.75
OG0003654 59.53 87.42 60.04 91.86 54.15 85.89
OG0003655 66.33 94.39 68.32 95.29 65.21 88.02
OG0003656 49.37 54.27 50.00 62.47 49.45 61.31
OG0003657 46.59 76.77 47.35 78.17 43.04 68.98
OG0003658 47.55 84.92 49.10 83.72 47.22 82.37
OG0003660 45.32 76.36 48.03 76.97 43.03 74.04
OG0003661 54.87 81.48 55.72 83.36 55.14 82.33
OG0003662 51.42 64.44 51.21 65.72 53.16 87.02
OG0003663 47.80 75.06 45.93 76.56 47.45 74.83
OG0003664 51.39 83.03 50.69 79.94 47.32 67.24
OG0003666 44.99 48.02 46.83 58.14 46.59 54.32
OG0003667 39.96 36.97 40.05 36.44 40.05 36.97
OG0003668 44.44 44.93 44.69 44.93 44.69 44.93
OG0003669 63.24 82.60 58.05 90.78 57.93 87.22
OG0003671 47.50 50.96 46.86 44.52 47.65 50.68
OG0003672 49.92 67.92 52.71 73.90 51.37 71.23
OG0003673 48.55 60.58 47.74 50.32 49.01 71.26
OG0003675 61.17 82.45 58.79 76.73 61.65 82.04
OG0003676 42.25 40.16 44.04 40.41 42.26 41.55
OG0003677 49.34 85.87 49.65 86.62 49.33 84.10
OG0003678 46.02 64.39 46.21 65.53 50.00 84.75
OG0003679 57.02 91.67 55.65 86.72 47.20 71.20
OG0003680 55.18 90.93 55.84 94.92 55.09 91.65
OG0003681 51.94 95.40 52.17 96.39 52.05 95.89
OG0003682 55.02 77.55 57.05 79.66 57.35 76.18
OG0003683 49.60 78.79 50.24 78.95 52.00 74.50
OG0003684 47.01 64.17 46.46 60.35 47.02 63.56
