transcript_BGM_M len_BGM_M n_var_BGM_M
TRINITY_DN105545_c0_g1_i2 388 8
TRINITY_DN10556_c0_g2_i1 604 1
TRINITY_DN1055_c0_g1_i6 1474 5
TRINITY_DN1055_c0_g2_i3 3109 5
TRINITY_DN1055_c0_g3_i1 1150 3
TRINITY_DN1055_c0_g4_i1 1159 1
TRINITY_DN1055_c1_g1_i2 649 1
TRINITY_DN1055_c2_g2_i11 2908 6
TRINITY_DN105653_c0_g1_i4 595 1
TRINITY_DN10565_c0_g1_i4 313 1
TRINITY_DN1056_c0_g1_i7 592 1
TRINITY_DN10571_c0_g1_i5 478 13
TRINITY_DN10573_c0_g1_i10 6721 3
TRINITY_DN10573_c1_g1_i2 1309 3
TRINITY_DN10577_c0_g1_i1 403 13
TRINITY_DN1057_c0_g4_i1 2629 5
TRINITY_DN1057_c1_g2_i2 1105 1
TRINITY_DN10585_c0_g1_i2 589 18
TRINITY_DN105882_c0_g2_i3 622 2
TRINITY_DN1058_c1_g2_i4 331 3
TRINITY_DN105919_c0_g2_i1 358 9
TRINITY_DN105938_c0_g1_i1 373 19
TRINITY_DN10597_c3_g1_i1 391 1
TRINITY_DN10598_c0_g1_i2 1669 9
TRINITY_DN1059_c0_g1_i19 412 12
TRINITY_DN1059_c13_g1_i1 2008 3
TRINITY_DN1059_c2_g2_i4 2008 5
TRINITY_DN10601_c0_g1_i8 328 3
TRINITY_DN10601_c0_g2_i10 931 16
TRINITY_DN106035_c0_g2_i3 421 2
TRINITY_DN10606_c0_g1_i3 727 7
TRINITY_DN10608_c4_g1_i1 1282 1
TRINITY_DN106104_c0_g1_i2 325 13
TRINITY_DN10610_c0_g1_i12 1114 32
TRINITY_DN106145_c0_g1_i5 319 9
TRINITY_DN1061_c0_g1_i28 1261 1
TRINITY_DN1061_c2_g1_i3 1255 5
TRINITY_DN106210_c0_g2_i1 349 10
TRINITY_DN10621_c0_g1_i6 544 25
TRINITY_DN106226_c0_g1_i2 355 13
TRINITY_DN106258_c0_g1_i4 355 16
TRINITY_DN106297_c0_g1_i1 307 15
TRINITY_DN1062_c0_g1_i2 3460 4
TRINITY_DN1062_c12_g1_i1 460 3
TRINITY_DN1062_c2_g4_i1 487 6
TRINITY_DN10631_c0_g2_i1 454 2
TRINITY_DN106341_c0_g1_i1 415 4
TRINITY_DN10635_c0_g3_i5 1111 2
TRINITY_DN106373_c0_g1_i1 310 8
TRINITY_DN1063_c0_g2_i5 997 37
TRINITY_DN10640_c0_g1_i11 1927 1
TRINITY_DN10641_c0_g1_i9 778 2
TRINITY_DN106422_c0_g1_i2 466 20
TRINITY_DN10642_c0_g1_i7 2590 4
TRINITY_DN106481_c0_g1_i2 340 1
TRINITY_DN10648_c0_g1_i3 3544 8
TRINITY_DN1064_c0_g1_i2 478 2
TRINITY_DN1064_c0_g2_i8 1909 4
TRINITY_DN10650_c0_g1_i7 556 1
TRINITY_DN10652_c0_g1_i6 577 3
TRINITY_DN10657_c0_g4_i1 364 2
TRINITY_DN10660_c0_g1_i4 847 25
TRINITY_DN10662_c0_g1_i2 730 2
TRINITY_DN10663_c0_g1_i9 1240 21
TRINITY_DN10665_c1_g1_i2 490 1
TRINITY_DN10666_c0_g1_i7 1723 27
TRINITY_DN106677_c0_g1_i1 316 1
TRINITY_DN106677_c0_g2_i5 310 1
TRINITY_DN1066_c0_g1_i19 4072 6
TRINITY_DN106704_c0_g1_i4 382 15
TRINITY_DN10671_c0_g1_i2 2056 1
TRINITY_DN10675_c0_g1_i13 397 2
TRINITY_DN10676_c0_g1_i7 6802 12
TRINITY_DN106774_c0_g2_i3 745 3
TRINITY_DN1067_c0_g2_i1 781 1
TRINITY_DN1067_c1_g1_i1 376 2
TRINITY_DN1067_c6_g1_i1 3541 17
TRINITY_DN10680_c0_g1_i6 1624 10
TRINITY_DN106835_c0_g1_i5 385 4
TRINITY_DN1068_c0_g1_i10 1339 4
TRINITY_DN106926_c0_g1_i3 1249 1
TRINITY_DN106_c0_g2_i2 634 1
TRINITY_DN106_c6_g1_i5 2128 5
TRINITY_DN106_c9_g1_i6 544 10
TRINITY_DN107055_c0_g1_i1 310 4
TRINITY_DN1070_c1_g1_i9 1765 56
TRINITY_DN107132_c0_g1_i1 565 6
TRINITY_DN10714_c0_g1_i16 1456 24
TRINITY_DN10717_c0_g1_i10 856 2
TRINITY_DN1071_c0_g1_i9 922 2
TRINITY_DN1071_c1_g1_i1 1009 11
TRINITY_DN10722_c0_g3_i3 1162 2
TRINITY_DN10724_c0_g1_i7 1618 2
TRINITY_DN107262_c0_g1_i1 454 1
TRINITY_DN1072_c2_g1_i1 1249 2
TRINITY_DN1072_c2_g3_i1 811 1
TRINITY_DN1072_c8_g1_i1 1918 3
TRINITY_DN10733_c0_g1_i6 1564 4
TRINITY_DN107356_c0_g1_i1 373 19
TRINITY_DN1073_c1_g1_i2 1051 1
TRINITY_DN10745_c0_g1_i2 2560 6
TRINITY_DN10745_c0_g2_i5 1282 1
TRINITY_DN10749_c1_g1_i2 964 2
TRINITY_DN1074_c0_g2_i3 1687 3
TRINITY_DN10751_c0_g1_i1 703 2
TRINITY_DN10751_c1_g1_i2 4930 3
TRINITY_DN10752_c0_g1_i4 502 8
TRINITY_DN10753_c0_g1_i2 673 2
TRINITY_DN107571_c0_g1_i1 331 5
TRINITY_DN107588_c0_g1_i1 313 6
TRINITY_DN1075_c0_g1_i16 1786 8
TRINITY_DN1075_c1_g1_i9 958 10
TRINITY_DN107623_c0_g1_i3 406 20
TRINITY_DN107653_c0_g2_i2 832 2
TRINITY_DN107690_c0_g1_i3 709 4
TRINITY_DN1076_c0_g1_i16 2518 2
TRINITY_DN1076_c2_g1_i5 1024 41
TRINITY_DN1076_c3_g1_i2 1111 22
TRINITY_DN107706_c0_g1_i2 340 15
TRINITY_DN107777_c0_g1_i5 328 9
TRINITY_DN10779_c0_g1_i1 886 18
TRINITY_DN1077_c0_g1_i11 493 2
TRINITY_DN107857_c0_g1_i4 631 23
TRINITY_DN107862_c0_g2_i1 355 1
TRINITY_DN107885_c0_g1_i1 370 20
TRINITY_DN10788_c0_g1_i1 322 11
TRINITY_DN1078_c1_g1_i2 610 5
TRINITY_DN10791_c0_g2_i10 529 4
TRINITY_DN10791_c0_g3_i3 427 2
TRINITY_DN107927_c0_g1_i5 379 3
TRINITY_DN10792_c0_g1_i11 1948 2
TRINITY_DN107931_c0_g1_i1 406 1
TRINITY_DN107932_c0_g1_i1 364 21
TRINITY_DN107934_c1_g1_i1 307 11
TRINITY_DN10796_c0_g2_i3 1603 6
TRINITY_DN107_c0_g1_i7 1399 5
TRINITY_DN10803_c0_g2_i1 733 14
TRINITY_DN108043_c0_g1_i2 325 12
TRINITY_DN10805_c0_g1_i2 1558 28
TRINITY_DN1080_c0_g1_i6 1225 23
TRINITY_DN10811_c0_g1_i4 349 18
TRINITY_DN1081_c0_g2_i7 397 6
TRINITY_DN1081_c0_g3_i2 2422 2
TRINITY_DN108223_c0_g1_i1 574 2
TRINITY_DN10823_c0_g1_i8 952 2
TRINITY_DN108246_c0_g1_i1 340 1
TRINITY_DN108291_c0_g1_i1 349 14
TRINITY_DN1082_c0_g1_i3 853 2
TRINITY_DN10832_c0_g2_i32 1081 9
TRINITY_DN108343_c0_g2_i2 298 5
TRINITY_DN10836_c1_g1_i8 331 8
TRINITY_DN1083_c1_g1_i5 1051 5
TRINITY_DN108569_c0_g1_i7 370 1
TRINITY_DN10856_c0_g1_i1 469 10
TRINITY_DN108632_c0_g1_i3 946 2
TRINITY_DN10864_c1_g2_i2 781 1
TRINITY_DN108678_c0_g1_i3 1537 1
TRINITY_DN108714_c0_g1_i4 334 11
TRINITY_DN108714_c0_g2_i3 409 22
TRINITY_DN10872_c0_g1_i4 466 3
TRINITY_DN10872_c0_g2_i16 1495 6
TRINITY_DN108773_c0_g1_i4 469 19
TRINITY_DN1087_c0_g1_i1 358 2
TRINITY_DN10883_c0_g1_i4 523 1
TRINITY_DN1088_c0_g1_i8 1372 4
TRINITY_DN108997_c0_g1_i1 421 1
TRINITY_DN108_c4_g1_i1 3151 2
TRINITY_DN109027_c0_g1_i1 877 32
TRINITY_DN10902_c0_g2_i1 1135 4
TRINITY_DN10902_c1_g1_i10 1852 1
TRINITY_DN10903_c0_g1_i2 310 5
TRINITY_DN10913_c1_g1_i5 739 2
TRINITY_DN109164_c0_g2_i1 1927 1
TRINITY_DN10917_c1_g1_i4 925 2
TRINITY_DN1091_c0_g1_i2 3202 4
TRINITY_DN1091_c1_g1_i12 304 2
TRINITY_DN10922_c0_g1_i5 415 1
TRINITY_DN10926_c0_g4_i1 355 12
TRINITY_DN1092_c0_g2_i5 535 3
TRINITY_DN10932_c0_g1_i5 682 30
TRINITY_DN10932_c0_g2_i1 418 1
TRINITY_DN109346_c0_g1_i2 568 1
TRINITY_DN10935_c0_g1_i7 358 4
TRINITY_DN109408_c0_g2_i1 667 11
TRINITY_DN109446_c0_g1_i4 385 13
TRINITY_DN1094_c0_g2_i1 2443 1
TRINITY_DN1094_c3_g1_i16 493 16
TRINITY_DN10952_c0_g1_i8 604 2
TRINITY_DN109565_c0_g1_i1 322 5
TRINITY_DN109588_c0_g1_i1 481 20
TRINITY_DN1095_c0_g1_i7 1492 37
TRINITY_DN1095_c0_g2_i2 538 24
TRINITY_DN109619_c0_g1_i2 439 1
TRINITY_DN10965_c0_g1_i6 1063 1
TRINITY_DN109692_c0_g1_i1 559 2
TRINITY_DN10969_c0_g1_i1 418 10
TRINITY_DN10969_c1_g1_i2 349 11
TRINITY_DN1096_c0_g1_i6 865 3
TRINITY_DN1096_c1_g1_i1 1342 2
TRINITY_DN10971_c0_g1_i4 2287 97
TRINITY_DN109723_c0_g1_i1 322 2
TRINITY_DN10972_c3_g1_i1 1306 2
TRINITY_DN10973_c0_g1_i8 979 4
TRINITY_DN109754_c0_g1_i1 397 8
TRINITY_DN109763_c0_g1_i5 700 4
TRINITY_DN10977_c0_g2_i1 1264 1
TRINITY_DN1097_c0_g1_i2 1075 2
TRINITY_DN109824_c0_g2_i1 400 1
TRINITY_DN109860_c0_g1_i1 307 10
TRINITY_DN109865_c0_g1_i1 460 4
TRINITY_DN10986_c0_g1_i29 1297 43
TRINITY_DN10987_c0_g2_i2 913 3
TRINITY_DN1098_c0_g1_i4 346 4
TRINITY_DN109922_c0_g1_i3 838 23
TRINITY_DN10993_c0_g1_i25 3637 9
TRINITY_DN109942_c1_g1_i1 313 12
TRINITY_DN109945_c1_g1_i2 934 4
TRINITY_DN10995_c3_g1_i1 904 1
TRINITY_DN109967_c0_g1_i1 316 13
TRINITY_DN10997_c0_g1_i11 1102 1
TRINITY_DN109_c0_g1_i8 1975 5
TRINITY_DN109_c16_g1_i1 1117 1
TRINITY_DN109_c2_g1_i2 361 7
TRINITY_DN109_c6_g1_i1 1321 6
TRINITY_DN109_c6_g2_i7 2755 34
TRINITY_DN10_c0_g2_i2 3643 4
TRINITY_DN10_c1_g1_i1 1588 1
TRINITY_DN11005_c0_g1_i3 424 2
TRINITY_DN110086_c0_g1_i1 376 12
TRINITY_DN110099_c0_g1_i6 1144 1
TRINITY_DN1100_c0_g1_i5 2845 9
TRINITY_DN1100_c1_g1_i1 1027 4
TRINITY_DN1100_c2_g1_i3 3694 2
TRINITY_DN110105_c0_g2_i2 394 3
TRINITY_DN110152_c0_g1_i4 334 1
TRINITY_DN11018_c1_g2_i1 1714 6
TRINITY_DN1101_c0_g1_i6 2047 15
TRINITY_DN110227_c0_g1_i1 316 8
TRINITY_DN11026_c3_g1_i1 1081 4
TRINITY_DN1102_c0_g1_i1 793 5
TRINITY_DN11031_c0_g1_i7 706 1
TRINITY_DN110320_c0_g1_i1 301 3
TRINITY_DN110359_c0_g1_i5 652 18
TRINITY_DN110359_c0_g2_i1 517 11
TRINITY_DN110363_c0_g1_i1 874 1
TRINITY_DN11036_c0_g1_i1 631 15
TRINITY_DN1103_c5_g1_i4 565 3
TRINITY_DN1103_c5_g2_i3 565 1
TRINITY_DN1104_c0_g2_i3 502 19
TRINITY_DN1104_c1_g1_i3 913 1
TRINITY_DN1104_c2_g2_i3 826 3
TRINITY_DN1104_c2_g4_i2 577 15
TRINITY_DN110581_c0_g1_i1 304 6
TRINITY_DN11058_c0_g1_i35 2647 1
TRINITY_DN11058_c1_g1_i2 619 2
TRINITY_DN1105_c1_g1_i1 1867 4
TRINITY_DN110638_c0_g1_i2 403 6
TRINITY_DN110641_c0_g1_i1 1522 1
TRINITY_DN110652_c0_g2_i1 319 12
TRINITY_DN1106_c0_g1_i4 2311 2
TRINITY_DN1106_c10_g1_i7 1135 25
TRINITY_DN1106_c3_g2_i3 526 5
TRINITY_DN1106_c7_g1_i3 808 5
TRINITY_DN11070_c0_g1_i2 517 2
TRINITY_DN11072_c0_g1_i1 916 1
