transcript_BGM_F len_BGM_F n_var_BGM_F
TRINITY_DN1019_c0_g2_i1 4711 12
TRINITY_DN1019_c0_g3_i1 3256 10
TRINITY_DN1019_c0_g4_i1 6259 7
TRINITY_DN1019_c2_g1_i1 493 3
TRINITY_DN1019_c3_g1_i10 1240 29
TRINITY_DN1019_c4_g1_i2 1399 3
TRINITY_DN101_c1_g1_i3 1765 2
TRINITY_DN101_c1_g2_i5 2317 4
TRINITY_DN101_c1_g4_i1 1939 3
TRINITY_DN101_c4_g1_i3 757 21
TRINITY_DN101_c5_g1_i1 985 4
TRINITY_DN10201_c0_g1_i4 580 22
TRINITY_DN102042_c0_g1_i2 469 1
TRINITY_DN102055_c0_g1_i2 454 10
TRINITY_DN102073_c0_g1_i3 433 8
TRINITY_DN10208_c0_g1_i2 2221 2
TRINITY_DN102109_c0_g2_i1 472 13
TRINITY_DN10210_c0_g1_i9 844 1
TRINITY_DN10210_c0_g2_i1 1756 7
TRINITY_DN102110_c0_g1_i8 310 9
TRINITY_DN10212_c1_g1_i1 562 4
TRINITY_DN10215_c0_g1_i12 316 12
TRINITY_DN102190_c0_g1_i3 358 4
TRINITY_DN10219_c1_g1_i2 3793 2
TRINITY_DN1021_c0_g1_i1 1081 2
TRINITY_DN1021_c1_g1_i6 3466 1
TRINITY_DN1021_c3_g1_i5 2449 7
TRINITY_DN1021_c5_g1_i2 3835 1
TRINITY_DN1021_c5_g4_i2 2830 1
TRINITY_DN10226_c0_g1_i5 1087 1
TRINITY_DN1022_c0_g1_i2 451 1
TRINITY_DN102327_c0_g1_i5 406 1
TRINITY_DN1023_c0_g1_i11 5656 15
TRINITY_DN10248_c0_g1_i7 952 54
TRINITY_DN10255_c0_g1_i2 736 2
TRINITY_DN10258_c0_g2_i1 922 2
TRINITY_DN102621_c0_g2_i1 406 14
TRINITY_DN10264_c0_g1_i4 1546 3
TRINITY_DN1026_c0_g1_i4 1105 2
TRINITY_DN10270_c1_g2_i1 1153 5
TRINITY_DN10270_c2_g3_i3 1444 2
TRINITY_DN102778_c0_g1_i5 460 2
TRINITY_DN10278_c0_g1_i4 961 2
TRINITY_DN1027_c2_g2_i5 1450 13
TRINITY_DN1027_c4_g1_i9 463 8
TRINITY_DN1027_c5_g1_i1 3400 10
TRINITY_DN1027_c6_g1_i3 1780 36
TRINITY_DN1027_c8_g1_i1 1486 6
TRINITY_DN10282_c0_g1_i17 17857 32
TRINITY_DN10282_c4_g1_i1 1537 4
TRINITY_DN10286_c0_g2_i1 892 4
TRINITY_DN102871_c0_g2_i3 328 12
TRINITY_DN1028_c0_g1_i7 2875 42
TRINITY_DN1028_c0_g2_i8 1666 88
TRINITY_DN102939_c0_g1_i1 346 1
TRINITY_DN10294_c0_g1_i15 814 24
TRINITY_DN102963_c0_g1_i1 406 10
TRINITY_DN10298_c0_g1_i3 1159 1
TRINITY_DN1029_c3_g1_i2 619 3
TRINITY_DN102_c0_g2_i6 2077 1
TRINITY_DN102_c1_g1_i11 2026 5
TRINITY_DN102_c5_g1_i1 2233 1
TRINITY_DN103004_c0_g1_i2 2299 3
TRINITY_DN10304_c0_g3_i2 1165 2
TRINITY_DN10304_c1_g1_i2 1084 3
TRINITY_DN10304_c1_g2_i1 811 2
TRINITY_DN103067_c0_g1_i4 556 5
TRINITY_DN10318_c0_g2_i5 2539 1
TRINITY_DN10319_c0_g2_i2 1363 1
TRINITY_DN1031_c0_g1_i7 7618 1
TRINITY_DN1031_c1_g1_i4 1915 1
TRINITY_DN1031_c2_g1_i2 2131 21
TRINITY_DN1031_c2_g2_i1 1894 20
TRINITY_DN1031_c3_g1_i4 1888 7
TRINITY_DN1031_c5_g1_i7 1564 22
TRINITY_DN10320_c0_g1_i1 406 1
TRINITY_DN103242_c0_g2_i1 307 9
TRINITY_DN1032_c0_g1_i8 1294 60
TRINITY_DN1032_c3_g2_i1 358 12
TRINITY_DN103302_c0_g1_i2 427 19
TRINITY_DN103337_c0_g1_i5 367 7
TRINITY_DN103356_c0_g1_i1 685 3
TRINITY_DN103367_c0_g1_i7 313 1
TRINITY_DN1033_c0_g1_i1 1435 3
TRINITY_DN10340_c0_g1_i1 721 39
TRINITY_DN10340_c1_g1_i1 1732 7
TRINITY_DN10344_c0_g1_i1 337 5
TRINITY_DN10344_c0_g4_i1 364 7
TRINITY_DN10345_c0_g2_i7 310 11
TRINITY_DN103464_c3_g1_i2 355 8
TRINITY_DN103481_c0_g1_i2 313 10
TRINITY_DN10350_c0_g1_i1 676 2
TRINITY_DN10350_c3_g2_i1 670 1
TRINITY_DN10354_c0_g1_i1 1030 20
TRINITY_DN103559_c0_g1_i3 3880 10
TRINITY_DN10355_c1_g1_i5 1513 1
TRINITY_DN10355_c1_g4_i2 619 2
TRINITY_DN10356_c0_g1_i18 931 15
TRINITY_DN10358_c0_g1_i2 1093 2
TRINITY_DN10359_c0_g1_i4 1786 4
TRINITY_DN1035_c0_g1_i11 1888 24
TRINITY_DN10361_c0_g1_i1 376 2
TRINITY_DN10361_c0_g2_i1 427 1
TRINITY_DN10361_c1_g1_i4 1093 2
TRINITY_DN103635_c0_g1_i5 349 10
TRINITY_DN1036_c0_g1_i3 1795 4
TRINITY_DN1036_c3_g4_i1 850 11
TRINITY_DN1036_c3_g7_i1 1972 5
TRINITY_DN1036_c5_g1_i2 1087 1
TRINITY_DN10375_c0_g1_i1 1816 4
TRINITY_DN103789_c0_g1_i3 430 18
TRINITY_DN1037_c0_g1_i7 847 13
TRINITY_DN10380_c0_g2_i1 2926 8
TRINITY_DN103892_c0_g1_i3 313 4
TRINITY_DN103892_c1_g1_i1 445 2
TRINITY_DN103906_c0_g1_i6 451 3
TRINITY_DN10390_c0_g1_i2 2263 2
TRINITY_DN10391_c0_g1_i1 442 5
TRINITY_DN103974_c0_g1_i3 361 1
TRINITY_DN103992_c0_g1_i1 382 3
TRINITY_DN1039_c0_g1_i2 388 4
TRINITY_DN104021_c0_g3_i1 307 4
TRINITY_DN104118_c0_g1_i2 307 1
TRINITY_DN10411_c0_g1_i1 550 1
TRINITY_DN104169_c0_g1_i1 325 8
TRINITY_DN1041_c2_g1_i22 2743 16
TRINITY_DN104275_c0_g1_i2 376 15
TRINITY_DN104299_c2_g1_i2 307 10
TRINITY_DN1042_c0_g1_i4 898 2
TRINITY_DN1042_c4_g1_i1 1591 6
TRINITY_DN10436_c0_g1_i4 409 5
TRINITY_DN104381_c0_g1_i1 328 14
TRINITY_DN1043_c1_g1_i14 1693 13
TRINITY_DN10444_c0_g1_i4 379 2
TRINITY_DN104464_c0_g1_i3 385 17
TRINITY_DN1044_c0_g1_i10 3226 3
TRINITY_DN1044_c2_g1_i2 1834 12
TRINITY_DN1044_c3_g1_i4 598 16
TRINITY_DN104504_c0_g1_i4 418 5
TRINITY_DN104523_c0_g1_i1 1705 1
TRINITY_DN104554_c4_g1_i1 508 1
TRINITY_DN10459_c0_g1_i3 1264 1
TRINITY_DN10461_c2_g1_i1 829 1
TRINITY_DN104620_c0_g1_i1 343 4
TRINITY_DN10462_c0_g1_i12 358 2
TRINITY_DN104655_c0_g1_i4 304 3
TRINITY_DN1046_c0_g1_i4 592 5
TRINITY_DN10471_c0_g1_i2 655 25
TRINITY_DN104727_c0_g2_i2 1081 1
TRINITY_DN104748_c0_g1_i2 349 1
TRINITY_DN10474_c0_g1_i8 1012 67
TRINITY_DN10476_c0_g1_i5 412 1
TRINITY_DN104785_c0_g1_i1 667 19
TRINITY_DN104787_c0_g1_i2 1798 20
TRINITY_DN10479_c0_g1_i19 5908 5
TRINITY_DN10479_c0_g4_i1 1033 1
TRINITY_DN10481_c2_g2_i3 1576 3
TRINITY_DN104849_c0_g1_i4 307 9
TRINITY_DN10485_c0_g3_i3 850 7
TRINITY_DN104872_c0_g2_i1 478 1
TRINITY_DN104919_c1_g1_i2 463 3
TRINITY_DN10493_c0_g1_i11 670 26
TRINITY_DN104969_c0_g1_i7 370 15
TRINITY_DN10497_c0_g4_i1 379 1
TRINITY_DN104984_c0_g2_i8 4507 6
TRINITY_DN104984_c0_g3_i1 874 2
TRINITY_DN10498_c0_g1_i3 1015 55
TRINITY_DN1049_c0_g2_i1 2029 6
TRINITY_DN1049_c0_g3_i2 706 8
TRINITY_DN10502_c0_g2_i2 904 1
TRINITY_DN10504_c0_g1_i2 1366 4
TRINITY_DN105096_c0_g1_i1 1363 1
TRINITY_DN10516_c0_g1_i12 2485 3
TRINITY_DN1051_c0_g2_i10 1441 3
TRINITY_DN10522_c2_g2_i3 1624 8
TRINITY_DN105295_c0_g1_i5 505 29
TRINITY_DN105299_c0_g1_i7 310 9
TRINITY_DN1052_c0_g3_i4 487 1
TRINITY_DN1052_c5_g1_i8 709 2
TRINITY_DN105335_c0_g1_i5 511 13
TRINITY_DN10537_c0_g4_i1 706 1
TRINITY_DN10539_c2_g1_i1 1624 2
TRINITY_DN10539_c3_g1_i4 994 21
TRINITY_DN10541_c1_g1_i17 1042 5
TRINITY_DN105446_c0_g4_i1 358 3
TRINITY_DN1054_c1_g1_i11 1390 3
TRINITY_DN10553_c0_g1_i7 427 13
TRINITY_DN105545_c0_g1_i2 388 14
TRINITY_DN10556_c0_g2_i1 604 2
TRINITY_DN1055_c0_g1_i6 1474 5
TRINITY_DN1055_c0_g2_i3 3109 12
TRINITY_DN1055_c0_g3_i1 1150 4
TRINITY_DN1055_c1_g1_i2 649 1
TRINITY_DN1055_c2_g2_i11 2908 5
TRINITY_DN105653_c0_g1_i4 595 2
TRINITY_DN10565_c0_g1_i4 313 1
TRINITY_DN1056_c0_g1_i7 592 1
TRINITY_DN10571_c0_g1_i5 478 14
TRINITY_DN10577_c0_g1_i1 403 14
TRINITY_DN1057_c0_g4_i1 2629 5
TRINITY_DN10585_c0_g1_i2 589 20
TRINITY_DN10587_c1_g1_i1 898 1
TRINITY_DN105882_c0_g2_i3 622 2
TRINITY_DN1058_c1_g2_i4 331 3
TRINITY_DN105919_c0_g2_i1 358 13
TRINITY_DN105938_c0_g1_i1 373 1
TRINITY_DN10598_c0_g1_i2 1669 11
TRINITY_DN1059_c0_g1_i19 412 8
TRINITY_DN1059_c13_g1_i1 2008 3
TRINITY_DN10600_c0_g1_i6 1627 1
TRINITY_DN10601_c0_g1_i8 328 1
TRINITY_DN10601_c0_g2_i10 931 26
TRINITY_DN106035_c0_g2_i3 421 1
TRINITY_DN10606_c0_g1_i3 727 4
TRINITY_DN106104_c0_g1_i2 325 13
TRINITY_DN10610_c0_g1_i12 1114 40
TRINITY_DN106145_c0_g1_i5 319 11
TRINITY_DN1061_c1_g1_i2 922 1
TRINITY_DN1061_c2_g1_i3 1255 9
TRINITY_DN106210_c0_g2_i1 349 13
TRINITY_DN10621_c0_g1_i6 544 9
TRINITY_DN106226_c0_g1_i2 355 8
TRINITY_DN106258_c0_g1_i4 355 16
TRINITY_DN106297_c0_g1_i1 307 10
TRINITY_DN1062_c0_g1_i2 3460 3
TRINITY_DN1062_c12_g1_i1 460 2
TRINITY_DN1062_c2_g4_i1 487 5
TRINITY_DN10631_c0_g2_i1 454 2
TRINITY_DN106341_c0_g1_i1 415 15
TRINITY_DN10635_c0_g3_i5 1111 5
TRINITY_DN106373_c0_g1_i1 310 8
TRINITY_DN1063_c0_g2_i5 997 32
TRINITY_DN10641_c0_g1_i9 778 4
TRINITY_DN106422_c0_g1_i2 466 22
TRINITY_DN10642_c0_g1_i7 2590 3
TRINITY_DN106481_c0_g1_i2 340 1
TRINITY_DN10648_c0_g1_i3 3544 10
TRINITY_DN1064_c0_g1_i2 478 1
TRINITY_DN1064_c0_g2_i8 1909 1
TRINITY_DN10650_c0_g1_i7 556 1
TRINITY_DN10652_c0_g1_i6 577 3
TRINITY_DN10660_c0_g1_i4 847 11
TRINITY_DN10662_c0_g1_i2 730 5
TRINITY_DN10663_c0_g1_i9 1240 6
TRINITY_DN10665_c1_g1_i2 490 1
TRINITY_DN10666_c0_g1_i7 1723 37
TRINITY_DN1066_c0_g1_i19 4072 4
TRINITY_DN106704_c0_g1_i4 382 13
TRINITY_DN10671_c0_g1_i2 2056 2
TRINITY_DN10676_c0_g1_i7 6802 7
TRINITY_DN106774_c0_g2_i3 745 3
TRINITY_DN1067_c1_g1_i1 376 2
TRINITY_DN1067_c5_g1_i1 2740 1
TRINITY_DN1067_c6_g1_i1 3541 6
TRINITY_DN10680_c0_g1_i6 1624 4
TRINITY_DN106835_c0_g1_i5 385 5
TRINITY_DN1068_c0_g1_i10 1339 3
TRINITY_DN106_c0_g2_i2 634 1
TRINITY_DN106_c4_g1_i2 469 1
TRINITY_DN106_c6_g1_i5 2128 7
TRINITY_DN106_c9_g1_i6 544 6
TRINITY_DN107055_c0_g1_i1 310 6
TRINITY_DN1070_c1_g1_i9 1765 63
TRINITY_DN10714_c0_g1_i16 1456 22
TRINITY_DN10717_c0_g1_i10 856 3
TRINITY_DN1071_c0_g1_i9 922 9
TRINITY_DN1071_c1_g1_i1 1009 11
TRINITY_DN10722_c0_g3_i3 1162 4
TRINITY_DN10724_c0_g1_i7 1618 1
TRINITY_DN1072_c2_g1_i1 1249 1
TRINITY_DN1072_c2_g3_i1 811 1
TRINITY_DN1072_c8_g1_i1 1918 11
TRINITY_DN10733_c0_g1_i6 1564 1
TRINITY_DN107356_c0_g1_i1 373 19
TRINITY_DN1073_c0_g1_i2 1228 5
TRINITY_DN1073_c1_g1_i2 1051 1
TRINITY_DN10745_c0_g1_i2 2560 8
TRINITY_DN10749_c1_g1_i2 964 3
TRINITY_DN1074_c0_g2_i3 1687 5
TRINITY_DN10751_c0_g1_i1 703 1
TRINITY_DN10751_c1_g1_i2 4930 2
TRINITY_DN10752_c0_g1_i4 502 3
TRINITY_DN10753_c0_g1_i2 673 2
TRINITY_DN107588_c0_g1_i1 313 4
TRINITY_DN1075_c0_g1_i16 1786 9
TRINITY_DN1075_c1_g1_i9 958 6
TRINITY_DN107607_c0_g1_i1 355 1
TRINITY_DN107623_c0_g1_i3 406 15
TRINITY_DN107653_c0_g2_i2 832 2
TRINITY_DN107690_c0_g1_i3 709 5
TRINITY_DN1076_c0_g1_i16 2518 2
TRINITY_DN1076_c2_g1_i5 1024 50
TRINITY_DN1076_c3_g1_i2 1111 21
TRINITY_DN107706_c0_g1_i2 340 12
TRINITY_DN107777_c0_g1_i5 328 9
TRINITY_DN10779_c0_g1_i1 886 20
TRINITY_DN1077_c0_g1_i11 493 11
TRINITY_DN107857_c0_g1_i4 631 21
TRINITY_DN107862_c0_g2_i1 355 1
TRINITY_DN107885_c0_g1_i1 370 16
TRINITY_DN10788_c0_g1_i1 322 10
TRINITY_DN107893_c0_g1_i2 1864 1
TRINITY_DN1078_c1_g1_i2 610 10
TRINITY_DN10791_c0_g2_i10 529 4
TRINITY_DN107927_c0_g1_i5 379 5
TRINITY_DN10792_c0_g1_i11 1948 2
TRINITY_DN107932_c0_g1_i1 364 20
TRINITY_DN107934_c1_g1_i1 307 12
TRINITY_DN10796_c0_g2_i3 1603 1
TRINITY_DN10803_c0_g2_i1 733 18
TRINITY_DN108043_c0_g1_i2 325 13
TRINITY_DN10805_c0_g1_i2 1558 22
TRINITY_DN10806_c4_g1_i1 304 1
TRINITY_DN1080_c0_g1_i6 1225 29
TRINITY_DN10811_c0_g1_i4 349 10
TRINITY_DN1081_c0_g2_i7 397 8
TRINITY_DN1081_c0_g3_i2 2422 2
TRINITY_DN108223_c0_g1_i1 574 2
TRINITY_DN10823_c0_g1_i8 952 5
TRINITY_DN108280_c0_g2_i1 256 3
TRINITY_DN108291_c0_g1_i1 349 9
TRINITY_DN108296_c0_g1_i2 760 3
TRINITY_DN1082_c0_g1_i3 853 1
TRINITY_DN10832_c0_g2_i32 1081 6
TRINITY_DN108343_c0_g2_i2 298 10
TRINITY_DN10836_c1_g1_i8 331 3
TRINITY_DN1083_c1_g1_i5 1051 4
TRINITY_DN10856_c0_g1_i1 469 8
TRINITY_DN108632_c0_g1_i3 946 1
TRINITY_DN10864_c1_g2_i2 781 1
TRINITY_DN10866_c0_g1_i10 1153 1
TRINITY_DN108678_c0_g1_i3 1537 1
TRINITY_DN108714_c0_g1_i4 334 13
TRINITY_DN108714_c0_g2_i3 409 28
TRINITY_DN10872_c0_g2_i16 1495 7
TRINITY_DN108773_c0_g1_i4 469 11
TRINITY_DN1087_c0_g1_i1 358 2
TRINITY_DN10884_c3_g1_i1 568 2
TRINITY_DN1088_c0_g1_i8 1372 5
TRINITY_DN108997_c0_g1_i1 421 1
TRINITY_DN108_c4_g1_i1 3151 2
TRINITY_DN109027_c0_g1_i1 877 20
TRINITY_DN10902_c0_g2_i1 1135 1
TRINITY_DN10902_c1_g1_i10 1852 2
TRINITY_DN10903_c0_g1_i2 310 4
TRINITY_DN1090_c0_g1_i5 1465 1
TRINITY_DN10913_c1_g1_i5 739 1
TRINITY_DN10917_c1_g1_i4 925 2
TRINITY_DN1091_c0_g1_i2 3202 8
TRINITY_DN1091_c1_g1_i12 304 3
TRINITY_DN10922_c0_g1_i5 415 2
TRINITY_DN10926_c0_g4_i1 355 11
TRINITY_DN1092_c0_g2_i5 535 3
TRINITY_DN10932_c0_g1_i5 682 17
TRINITY_DN10932_c0_g2_i1 418 1
TRINITY_DN109349_c0_g1_i1 310 1
TRINITY_DN10935_c0_g1_i7 358 5
TRINITY_DN109446_c0_g1_i4 385 11
TRINITY_DN1094_c3_g1_i16 493 10
TRINITY_DN10952_c0_g1_i8 604 3
TRINITY_DN10954_c0_g1_i4 328 1
TRINITY_DN109565_c0_g1_i1 322 6
TRINITY_DN109588_c0_g1_i1 481 10
TRINITY_DN1095_c0_g1_i7 1492 36
TRINITY_DN1095_c0_g2_i2 538 22
TRINITY_DN109619_c0_g1_i2 439 4
TRINITY_DN10965_c0_g1_i6 1063 1
TRINITY_DN10969_c0_g1_i1 418 7
TRINITY_DN10969_c1_g1_i2 349 8
TRINITY_DN1096_c0_g1_i6 865 6
TRINITY_DN10970_c0_g1_i1 586 1
TRINITY_DN10971_c0_g1_i4 2287 105
TRINITY_DN109723_c0_g1_i1 322 5
TRINITY_DN10972_c3_g1_i1 1306 2
TRINITY_DN10973_c0_g1_i8 979 4
TRINITY_DN109754_c0_g1_i1 397 4
TRINITY_DN1097_c0_g1_i2 1075 2
TRINITY_DN1097_c1_g1_i1 460 1
TRINITY_DN109824_c0_g2_i1 400 1
TRINITY_DN109860_c0_g1_i1 307 8
TRINITY_DN109865_c0_g1_i1 460 2
TRINITY_DN10986_c0_g1_i29 1297 55
TRINITY_DN10987_c0_g2_i2 913 2
TRINITY_DN109922_c0_g1_i3 838 17
TRINITY_DN10993_c0_g1_i25 3637 6
TRINITY_DN109942_c1_g1_i1 313 14
TRINITY_DN109945_c1_g1_i2 934 9
TRINITY_DN10995_c3_g1_i1 904 2
TRINITY_DN109967_c0_g1_i1 316 12
TRINITY_DN10997_c0_g1_i11 1102 3
TRINITY_DN109_c0_g1_i8 1975 5
TRINITY_DN109_c16_g1_i1 1117 1
TRINITY_DN109_c2_g1_i2 361 2
TRINITY_DN109_c6_g1_i1 1321 7
TRINITY_DN109_c6_g2_i7 2755 27
TRINITY_DN10_c0_g2_i2 3643 5
TRINITY_DN10_c1_g1_i1 1588 1
TRINITY_DN11005_c0_g1_i3 424 6
TRINITY_DN110086_c0_g1_i1 376 16
TRINITY_DN1100_c0_g1_i5 2845 11
TRINITY_DN1100_c1_g1_i1 1027 4
TRINITY_DN1100_c2_g1_i3 3694 2
TRINITY_DN110105_c0_g2_i2 394 6
TRINITY_DN11018_c1_g2_i1 1714 6
TRINITY_DN1101_c0_g1_i6 2047 13
TRINITY_DN110227_c0_g1_i1 316 13
TRINITY_DN11026_c3_g1_i1 1081 4
TRINITY_DN1102_c0_g1_i1 793 6
TRINITY_DN11031_c0_g1_i7 706 1
TRINITY_DN110320_c0_g1_i1 301 2
TRINITY_DN110359_c0_g1_i5 652 10
TRINITY_DN110359_c0_g2_i1 517 7
TRINITY_DN110363_c0_g1_i1 874 2
TRINITY_DN11036_c0_g1_i1 631 18
TRINITY_DN110371_c0_g1_i1 265 4
TRINITY_DN1103_c5_g2_i3 565 2
TRINITY_DN11043_c0_g1_i11 358 1
TRINITY_DN1104_c0_g2_i3 502 19
TRINITY_DN1104_c2_g2_i3 826 2
TRINITY_DN1104_c2_g4_i2 577 14
TRINITY_DN11058_c0_g1_i35 2647 2
TRINITY_DN11058_c1_g1_i2 619 2
TRINITY_DN1105_c1_g1_i1 1867 4
TRINITY_DN110638_c0_g1_i2 403 3
TRINITY_DN110641_c0_g1_i1 1522 4
TRINITY_DN110652_c0_g2_i1 319 10
TRINITY_DN1106_c0_g1_i4 2311 4
TRINITY_DN1106_c10_g1_i7 1135 24
TRINITY_DN1106_c3_g2_i3 526 7
TRINITY_DN1106_c7_g1_i3 808 4
TRINITY_DN11070_c0_g1_i2 517 3
TRINITY_DN11072_c0_g1_i1 916 2
TRINITY_DN11077_c0_g1_i7 445 10
TRINITY_DN11078_c0_g2_i9 853 20
TRINITY_DN11081_c0_g1_i2 2380 6
TRINITY_DN110864_c0_g1_i1 322 2
TRINITY_DN110872_c0_g1_i3 319 10
TRINITY_DN11087_c0_g1_i3 859 5
TRINITY_DN11088_c0_g1_i13 1678 5
TRINITY_DN110895_c0_g1_i1 391 10
TRINITY_DN11090_c0_g2_i3 4264 4
TRINITY_DN110933_c0_g1_i1 301 9
TRINITY_DN11093_c0_g2_i6 316 2
TRINITY_DN110945_c0_g1_i5 484 22
TRINITY_DN11095_c1_g2_i1 373 1
TRINITY_DN11097_c0_g6_i1 388 7
TRINITY_DN1109_c0_g2_i2 1654 3
TRINITY_DN1109_c16_g1_i1 2236 1
TRINITY_DN1109_c6_g1_i1 1645 4
TRINITY_DN1109_c7_g1_i1 613 1
TRINITY_DN110_c0_g2_i8 1183 41
TRINITY_DN110_c10_g1_i6 625 10
TRINITY_DN110_c2_g2_i5 811 1
TRINITY_DN110_c3_g1_i8 7093 47
TRINITY_DN110_c4_g1_i1 5284 7
TRINITY_DN111056_c0_g2_i3 430 2
TRINITY_DN1110_c0_g1_i14 1768 5
TRINITY_DN111133_c0_g2_i1 514 7
TRINITY_DN11117_c0_g1_i1 1588 2
TRINITY_DN1111_c0_g1_i15 2281 26
TRINITY_DN111210_c0_g1_i2 490 14
TRINITY_DN111235_c0_g1_i9 418 7
TRINITY_DN111270_c0_g1_i1 724 13
TRINITY_DN1112_c0_g2_i4 1348 33
TRINITY_DN1112_c2_g1_i11 4108 14
TRINITY_DN1112_c3_g1_i6 736 1
TRINITY_DN1112_c4_g1_i6 328 8
TRINITY_DN1112_c8_g1_i2 1210 5
TRINITY_DN11137_c0_g1_i8 2173 9
TRINITY_DN111399_c0_g1_i1 322 11
TRINITY_DN11139_c0_g1_i7 1396 4
TRINITY_DN11139_c1_g1_i4 643 21
TRINITY_DN11143_c0_g1_i5 2374 1
TRINITY_DN11143_c0_g2_i3 2338 1
TRINITY_DN111470_c0_g1_i3 376 3
TRINITY_DN1114_c0_g2_i1 2245 6
TRINITY_DN11151_c0_g1_i2 1078 1
TRINITY_DN11152_c0_g1_i1 3676 4
TRINITY_DN11152_c0_g2_i15 2869 17
TRINITY_DN11152_c0_g4_i2 3925 3
TRINITY_DN11154_c0_g1_i10 3829 74
TRINITY_DN1115_c0_g1_i9 3778 3
TRINITY_DN11160_c0_g1_i10 745 13
TRINITY_DN11162_c0_g2_i1 1273 2
TRINITY_DN11162_c0_g4_i1 892 9
TRINITY_DN11164_c0_g1_i12 1105 1
TRINITY_DN11165_c0_g1_i6 655 14
