transcript_BRO_F len_BRO_F n_var_BRO_F
TRINITY_DN11203_c0_g1_i4 3418 0
TRINITY_DN11203_c1_g1_i8 739 26
TRINITY_DN112067_c0_g1_i3 496 0
TRINITY_DN11207_c1_g1_i1 2380 0
TRINITY_DN1120_c0_g1_i3 2704 79
TRINITY_DN112153_c0_g1_i1 319 5
TRINITY_DN11221_c0_g2_i3 1408 0
TRINITY_DN1122_c1_g1_i5 1291 29
TRINITY_DN1123_c0_g1_i2 418 11
TRINITY_DN1124_c0_g1_i1 775 6
TRINITY_DN112642_c0_g1_i3 391 5
TRINITY_DN1127_c0_g1_i4 1024 43
TRINITY_DN112937_c0_g1_i1 358 11
TRINITY_DN112947_c0_g1_i1 310 7
TRINITY_DN11309_c0_g1_i1 556 23
TRINITY_DN11310_c0_g2_i2 1039 0
TRINITY_DN11313_c0_g1_i9 415 14
TRINITY_DN11317_c0_g1_i2 1048 2
TRINITY_DN1131_c1_g1_i2 1219 0
TRINITY_DN113311_c0_g2_i3 1138 0
TRINITY_DN11335_c0_g1_i13 559 0
TRINITY_DN11340_c0_g1_i20 1612 0
TRINITY_DN11349_c0_g1_i3 400 0
TRINITY_DN113592_c0_g1_i2 340 11
TRINITY_DN11360_c0_g1_i2 1966 67
TRINITY_DN11361_c0_g1_i6 349 0
TRINITY_DN11364_c0_g1_i1 385 0
TRINITY_DN113668_c0_g1_i4 364 21
TRINITY_DN1136_c1_g1_i2 583 29
TRINITY_DN11381_c0_g1_i1 349 7
TRINITY_DN11383_c1_g1_i2 880 0
TRINITY_DN113982_c0_g2_i2 373 3
TRINITY_DN11400_c0_g1_i1 358 3
TRINITY_DN11402_c0_g1_i2 1120 0
TRINITY_DN11405_c0_g1_i2 3496 0
TRINITY_DN114079_c0_g1_i1 505 3
TRINITY_DN114113_c0_g1_i1 772 0
TRINITY_DN11413_c1_g1_i2 655 2
TRINITY_DN11417_c0_g1_i1 337 8
TRINITY_DN114212_c0_g1_i1 382 0
TRINITY_DN114212_c0_g2_i1 304 0
TRINITY_DN114239_c0_g1_i6 391 16
TRINITY_DN114321_c0_g1_i2 340 8
TRINITY_DN114321_c0_g2_i1 328 0
TRINITY_DN114350_c0_g1_i1 442 15
TRINITY_DN114394_c0_g1_i1 721 0
TRINITY_DN1143_c0_g2_i1 565 5
TRINITY_DN1143_c2_g1_i3 415 1
TRINITY_DN11440_c0_g1_i4 634 0
TRINITY_DN114582_c0_g1_i2 349 0
TRINITY_DN11459_c0_g1_i2 418 7
TRINITY_DN114604_c0_g1_i2 475 16
TRINITY_DN1146_c0_g1_i2 487 8
TRINITY_DN1146_c1_g1_i1 1501 25
TRINITY_DN1146_c3_g1_i15 4591 128
TRINITY_DN1146_c4_g1_i1 346 1
TRINITY_DN1146_c4_g2_i1 2116 99
TRINITY_DN1146_c6_g1_i6 397 8
TRINITY_DN11481_c0_g1_i1 1243 1
TRINITY_DN11482_c0_g2_i7 679 10
TRINITY_DN114852_c0_g2_i1 475 17
TRINITY_DN114852_c1_g1_i1 301 0
TRINITY_DN11485_c0_g1_i7 1309 2
TRINITY_DN114869_c0_g1_i1 727 0
TRINITY_DN114926_c0_g1_i1 364 0
TRINITY_DN11495_c0_g1_i7 442 0
TRINITY_DN114_c1_g2_i16 805 31
TRINITY_DN114_c5_g1_i7 919 23
TRINITY_DN115183_c0_g1_i1 307 13
TRINITY_DN11520_c1_g1_i6 715 0
TRINITY_DN11522_c0_g1_i8 382 0
TRINITY_DN11530_c0_g1_i3 478 0
TRINITY_DN11538_c2_g1_i5 697 0
TRINITY_DN1153_c0_g1_i1 682 1
TRINITY_DN1153_c0_g2_i1 424 0
TRINITY_DN1153_c0_g3_i3 322 0
TRINITY_DN1154_c1_g1_i7 1483 2
TRINITY_DN1154_c2_g1_i2 802 1
TRINITY_DN11551_c0_g1_i6 1444 37
TRINITY_DN11553_c0_g2_i8 1225 1
TRINITY_DN11574_c0_g1_i1 757 3
TRINITY_DN11574_c0_g4_i6 757 0
TRINITY_DN11578_c0_g1_i6 664 25
TRINITY_DN1157_c3_g1_i3 928 37
TRINITY_DN11582_c1_g3_i1 325 0
TRINITY_DN11582_c2_g1_i2 901 2
TRINITY_DN116013_c0_g1_i1 418 0
TRINITY_DN1160_c0_g2_i2 1834 0
TRINITY_DN116113_c0_g1_i1 544 0
TRINITY_DN11612_c0_g1_i8 1195 14
TRINITY_DN11621_c0_g1_i8 1543 0
TRINITY_DN1164_c0_g1_i4 325 8
TRINITY_DN1164_c5_g1_i2 616 12
TRINITY_DN11650_c0_g1_i4 499 3
TRINITY_DN11653_c1_g1_i3 646 0
TRINITY_DN1165_c0_g1_i2 2845 1
TRINITY_DN116611_c0_g1_i4 508 0
TRINITY_DN11666_c0_g1_i7 802 27
TRINITY_DN11683_c0_g1_i1 307 3
TRINITY_DN11687_c0_g1_i12 604 15
TRINITY_DN1168_c0_g1_i7 1522 4
TRINITY_DN1170_c0_g1_i5 2851 84
TRINITY_DN1170_c1_g1_i3 2053 21
TRINITY_DN1170_c1_g2_i1 1441 31
TRINITY_DN1170_c1_g3_i1 571 13
TRINITY_DN1170_c2_g1_i4 319 0
TRINITY_DN117103_c0_g2_i1 397 18
TRINITY_DN11718_c0_g1_i2 574 20
TRINITY_DN11722_c2_g2_i3 820 0
TRINITY_DN11740_c0_g1_i3 1654 1
TRINITY_DN11744_c1_g1_i7 691 14
TRINITY_DN117483_c1_g1_i1 325 13
TRINITY_DN117499_c0_g1_i1 301 0
TRINITY_DN1174_c0_g1_i2 3295 22
TRINITY_DN117548_c0_g1_i2 319 2
TRINITY_DN117548_c1_g1_i1 304 0
TRINITY_DN1175_c0_g1_i16 4069 64
TRINITY_DN1175_c1_g1_i9 3025 47
TRINITY_DN117704_c0_g1_i2 316 9
TRINITY_DN1177_c1_g1_i15 1735 42
TRINITY_DN117881_c0_g3_i2 1444 0
TRINITY_DN11797_c0_g1_i8 2230 30
TRINITY_DN117_c0_g2_i3 487 7
TRINITY_DN1180_c1_g3_i4 1486 3
TRINITY_DN11810_c0_g1_i1 529 2
TRINITY_DN11817_c0_g1_i11 469 8
TRINITY_DN1181_c1_g1_i2 592 0
TRINITY_DN1182_c0_g3_i3 685 0
TRINITY_DN11833_c0_g1_i3 355 0
TRINITY_DN118364_c0_g1_i4 328 17
TRINITY_DN11842_c0_g1_i4 1300 0
TRINITY_DN118481_c0_g1_i1 460 10
TRINITY_DN11849_c0_g4_i1 331 0
TRINITY_DN11853_c0_g2_i5 1108 30
TRINITY_DN11855_c0_g1_i6 457 15
TRINITY_DN118573_c0_g1_i1 334 9
TRINITY_DN11859_c2_g1_i6 481 0
TRINITY_DN1185_c0_g1_i5 484 11
TRINITY_DN118629_c0_g1_i1 505 17
TRINITY_DN118677_c0_g1_i1 418 17
TRINITY_DN11869_c0_g1_i14 7006 3
TRINITY_DN11878_c0_g2_i1 310 17
TRINITY_DN118817_c0_g1_i3 1495 13
TRINITY_DN118840_c0_g1_i1 373 0
TRINITY_DN11889_c0_g1_i1 439 5
TRINITY_DN1189_c0_g3_i3 1555 14
TRINITY_DN118_c0_g1_i14 2341 62
TRINITY_DN118_c12_g1_i1 952 1
TRINITY_DN1190_c0_g1_i7 7276 6
TRINITY_DN119108_c0_g1_i8 382 0
TRINITY_DN11912_c0_g1_i1 451 6
TRINITY_DN11919_c0_g1_i10 1069 30
TRINITY_DN11924_c0_g1_i2 1405 0
TRINITY_DN11938_c0_g2_i10 6457 0
TRINITY_DN11939_c0_g1_i11 1249 44
TRINITY_DN1193_c1_g1_i1 691 26
TRINITY_DN1194_c0_g2_i1 682 0
TRINITY_DN119532_c0_g3_i3 1102 0
TRINITY_DN11955_c0_g1_i9 595 1
TRINITY_DN1195_c0_g1_i8 526 17
TRINITY_DN11961_c0_g2_i1 391 19
TRINITY_DN1196_c0_g3_i3 637 2
TRINITY_DN1198_c0_g1_i16 553 0
TRINITY_DN119_c1_g1_i4 2626 0
TRINITY_DN119_c2_g1_i2 4282 0
TRINITY_DN11_c2_g1_i5 3568 1
TRINITY_DN120153_c0_g1_i1 454 0
TRINITY_DN12018_c0_g1_i10 466 13
TRINITY_DN1203_c3_g1_i4 1081 6
TRINITY_DN12041_c0_g1_i1 2143 37
TRINITY_DN12051_c0_g1_i7 325 0
TRINITY_DN120742_c0_g1_i5 349 14
TRINITY_DN120908_c0_g1_i2 1288 0
TRINITY_DN120950_c0_g1_i2 316 7
TRINITY_DN12096_c0_g1_i6 1036 14
TRINITY_DN120_c2_g1_i1 421 1
TRINITY_DN120_c4_g1_i3 334 3
TRINITY_DN121179_c0_g1_i2 358 0
TRINITY_DN12121_c0_g1_i1 1225 5
TRINITY_DN121413_c0_g1_i1 310 0
TRINITY_DN1214_c1_g1_i6 2398 56
TRINITY_DN12150_c0_g1_i7 1117 12
TRINITY_DN121511_c0_g1_i1 325 0
TRINITY_DN12151_c0_g1_i4 1159 15
TRINITY_DN12155_c0_g1_i6 1723 0
TRINITY_DN121575_c0_g1_i1 448 13
TRINITY_DN12162_c0_g2_i3 697 0
TRINITY_DN12163_c0_g1_i2 412 0
TRINITY_DN12168_c0_g1_i7 439 2
TRINITY_DN121700_c0_g1_i8 649 13
TRINITY_DN121760_c0_g1_i2 427 0
TRINITY_DN121775_c0_g1_i1 451 0
TRINITY_DN1217_c0_g1_i3 427 20
TRINITY_DN12180_c0_g1_i15 1627 0
TRINITY_DN121814_c0_g1_i4 445 0
TRINITY_DN121854_c0_g1_i1 349 0
TRINITY_DN1218_c0_g1_i3 994 0
TRINITY_DN12190_c0_g1_i1 1234 0
TRINITY_DN12190_c0_g2_i3 484 0
TRINITY_DN12192_c0_g1_i8 2104 0
TRINITY_DN121953_c0_g2_i1 526 0
TRINITY_DN121_c1_g1_i1 1753 1
TRINITY_DN12200_c0_g1_i6 553 20
TRINITY_DN12204_c0_g1_i2 619 19
TRINITY_DN1220_c2_g1_i1 1543 2
TRINITY_DN122125_c0_g1_i3 502 22
TRINITY_DN122132_c1_g1_i1 298 6
TRINITY_DN122140_c3_g1_i3 466 2
TRINITY_DN1221_c1_g2_i4 982 1
TRINITY_DN12222_c0_g1_i4 316 6
TRINITY_DN12222_c0_g3_i4 478 20
TRINITY_DN12222_c0_g4_i1 463 14
