OG BAT_bs_omega_model BAT_bs_omega_sites BRO_bs_omega_model BRO_bs_omega_sites BGM_bs_omega_model BGM_bs_omega_sites
OG0002912 general 0 alternative 6 general 0
OG0002914 general 0 general 0 general 0
OG0002915 general 0 general 0 alternative 5
OG0002916 alternative 14 general 0 general 0
OG0002917 alternative 35 general 0 general 0
OG0002918 general 0 general 0 general 0
OG0002919 general 0 general 0 general 0
OG0002920 general 0 general 0 general 0
OG0002921 general 0 general 0 alternative 2
OG0002922 general 0 general 0 alternative 4
OG0002923 general 0 general 0 NA NA
OG0002924 general 0 general 0 general 0
OG0002925 general 0 general 0 general 0
OG0002927 general 0 general 0 general 0
OG0002928 general 0 general 0 general 0
OG0002929 general 0 general 0 general 0
OG0002930 general 0 general 0 general 0
OG0002931 general 0 general 0 general 0
OG0002932 general 0 general 0 alternative 3
OG0002933 general 0 alternative 10 alternative 5
OG0002934 general 0 general 0 general 0
OG0002935 general 0 general 0 alternative 2
OG0002936 general 0 general 0 general 0
OG0002937 general 0 general 0 general 0
OG0002940 general 0 general 0 general 0
OG0002942 general 0 general 0 general 0
OG0002943 general 0 general 0 general 0
OG0002944 general 0 general 0 general 0
OG0002945 general 0 general 0 alternative 6
OG0002946 general 0 general 0 general 0
OG0002947 alternative 5 alternative 0 general 0
OG0002948 general 0 general 0 general 0
OG0002949 alternative 7 general 0 alternative 15
OG0002950 general 0 general 0 general 0
OG0002951 general 0 general 0 general 0
OG0002953 general 0 general 0 general 0
OG0002954 general 0 general 0 general 0
OG0002955 general 0 general 0 general 0
OG0002956 general 0 general 0 general 0
OG0002957 general 0 alternative 1 alternative 3
OG0002958 general 0 general 0 general 0
OG0002959 NA NA general 0 general 0
OG0002960 alternative 12 general 0 alternative 3
OG0002961 general 0 general 0 general 0
OG0002962 general 0 general 0 general 0
OG0002963 general 0 general 0 general 0
OG0002965 general 0 general 0 general 0
OG0002967 alternative 7 general 0 alternative 6
OG0002968 general 0 general 0 general 0
OG0002970 NA NA general 0 alternative 4
OG0002971 general 0 general 0 general 0
OG0002973 general 0 general 0 general 0
OG0002974 general 0 general 0 general 0
OG0002979 general 0 general 0 alternative 5
OG0002980 general 0 general 0 alternative 12
OG0002981 general 0 general 0 general 0
OG0002982 general 0 general 0 general 0
OG0002984 general 0 general 0 general 0
OG0002986 general 0 general 0 general 0
OG0002987 alternative 95 general 0 general 0
OG0002988 general 0 general 0 general 0
OG0002989 alternative 0 alternative 2 general 0
OG0002993 general 0 general 0 general 0
OG0002994 general 0 general 0 general 0
OG0002995 alternative 3 general 0 general 0
OG0002996 alternative 1 alternative 2 general 0
OG0002998 general 0 general 0 general 0
OG0002999 general 0 general 0 general 0
OG0003000 general 0 general 0 alternative 5
OG0003001 alternative 0 general 0 alternative 4
OG0003002 general 0 general 0 alternative 0
OG0003003 general 0 general 0 alternative 18
OG0003004 general 0 general 0 general 0
OG0003006 general 0 general 0 general 0
OG0003007 general 0 alternative 15 general 0
OG0003008 general 0 general 0 general 0
OG0003012 general 0 general 0 general 0
OG0003013 general 0 general 0 general 0
OG0003014 general 0 alternative 5 general 0
OG0003016 general 0 general 0 general 0
OG0003017 general 0 alternative 7 general 0
OG0003020 general 0 general 0 alternative 9
OG0003021 alternative 27 general 0 general 0
OG0003022 general 0 general 0 general 0
OG0003024 general 0 general 0 general 0
OG0003025 NA NA general 0 general 0
OG0003026 general 0 general 0 general 0
OG0003028 general 0 general 0 general 0
OG0003029 general 0 alternative 4 general 0
OG0003030 general 0 alternative 21 general 0
OG0003032 general 0 general 0 general 0
OG0003033 NA NA general 0 general 0
OG0003034 general 0 general 0 general 0
OG0003035 general 0 general 0 general 0
OG0003036 general 0 general 0 general 0
OG0003037 general 0 general 0 general 0
OG0003039 general 0 general 0 general 0
OG0003040 general 0 general 0 general 0
OG0003041 alternative 9 general 0 general 0
OG0003045 general 0 general 0 general 0
OG0003046 alternative 10 general 0 NA NA
OG0003047 general 0 general 0 alternative 2
OG0003049 general 0 general 0 general 0
OG0003051 general 0 general 0 general 0
OG0003052 general 0 general 0 general 0
OG0003054 general 0 alternative 13 general 0
OG0003055 general 0 general 0 general 0
OG0003056 general 0 general 0 general 0
OG0003057 general 0 general 0 general 0
OG0003058 general 0 general 0 general 0
OG0003059 general 0 alternative 11 alternative 0
OG0003060 general 0 general 0 general 0
OG0003063 general 0 general 0 general 0
OG0003064 general 0 general 0 general 0
OG0003065 general 0 general 0 general 0
OG0003067 general 0 general 0 general 0
OG0003068 general 0 general 0 alternative 2
OG0003069 general 0 general 0 general 0
OG0003070 general 0 general 0 general 0
OG0003072 general 0 general 0 general 0
OG0003074 general 0 alternative 11 general 0
OG0003075 general 0 general 0 general 0
OG0003076 general 0 general 0 general 0
OG0003077 general 0 general 0 general 0
OG0003078 general 0 general 0 general 0
OG0003080 general 0 general 0 alternative 8
OG0003081 general 0 alternative 31 general 0
OG0003082 alternative 15 general 0 general 0
OG0003083 general 0 general 0 alternative 2
OG0003084 general 0 general 0 general 0
OG0003086 general 0 general 0 general 0
OG0003087 general 0 general 0 general 0
OG0003088 general 0 general 0 general 0
OG0003089 general 0 general 0 general 0
OG0003091 general 0 general 0 general 0
OG0003092 alternative 18 general 0 general 0
OG0003093 general 0 general 0 general 0
OG0003094 alternative 2 general 0 general 0
OG0003096 general 0 alternative 0 general 0
OG0003097 alternative 4 alternative 9 general 0
OG0003098 alternative 0 general 0 general 0
OG0003099 general 0 general 0 general 0
OG0003100 alternative 2 general 0 NA NA
OG0003101 general 0 general 0 general 0
OG0003103 general 0 general 0 general 0
OG0003105 general 0 alternative 0 general 0
OG0003108 general 0 NA NA alternative 7
OG0003109 general 0 general 0 general 0
OG0003111 alternative 5 general 0 general 0
OG0003112 general 0 general 0 general 0
OG0003113 general 0 NA NA general 0
OG0003114 general 0 general 0 general 0
OG0003117 general 0 NA NA general 0
OG0003119 general 0 general 0 general 0
OG0003120 general 0 general 0 alternative 16
OG0003121 general 0 general 0 general 0
OG0003122 alternative 14 general 0 general 0
OG0003127 general 0 alternative 8 alternative 1
OG0003129 general 0 alternative 2 general 0
OG0003130 general 0 alternative 11 general 0
OG0003131 alternative 8 general 0 general 0
OG0003132 general 0 general 0 general 0
OG0003133 general 0 general 0 alternative 0
OG0003136 general 0 general 0 general 0
OG0003137 general 0 alternative 8 general 0
OG0003138 general 0 general 0 NA NA
OG0003139 general 0 alternative 0 alternative 1
OG0003140 general 0 general 0 general 0
OG0003141 general 0 alternative 10 general 0
OG0003142 general 0 general 0 general 0
OG0003144 general 0 general 0 general 0
OG0003145 general 0 alternative 0 general 0
OG0003146 general 0 general 0 alternative 5
OG0003148 general 0 general 0 general 0
OG0003151 general 0 general 0 general 0
OG0003152 NA NA general 0 general 0
OG0003153 general 0 general 0 general 0
OG0003154 general 0 general 0 general 0
OG0003156 general 0 general 0 general 0
OG0003157 general 0 general 0 general 0
OG0003159 general 0 general 0 general 0
OG0003160 general 0 general 0 general 0
OG0003161 NA NA general 0 general 0
OG0003162 general 0 general 0 general 0
OG0003163 general 0 alternative 0 general 0
OG0003165 general 0 general 0 general 0
OG0003166 general 0 general 0 general 0
OG0003169 general 0 general 0 general 0
OG0003170 general 0 general 0 general 0
OG0003172 general 0 general 0 general 0
OG0003174 general 0 general 0 alternative 8
OG0003175 general 0 general 0 general 0
OG0003176 general 0 general 0 general 0
OG0003177 general 0 general 0 general 0
OG0003178 general 0 NA NA general 0
OG0003179 general 0 general 0 general 0
OG0003180 general 0 general 0 general 0
OG0003182 general 0 general 0 general 0
OG0003183 general 0 general 0 general 0
OG0003184 general 0 general 0 general 0
OG0003185 general 0 general 0 general 0
OG0003186 general 0 general 0 general 0
OG0003187 general 0 general 0 general 0
OG0003188 general 0 general 0 general 0
OG0003189 general 0 general 0 general 0
OG0003190 general 0 general 0 general 0
OG0003194 general 0 general 0 alternative 13
OG0003195 general 0 alternative 26 general 0
OG0003196 general 0 general 0 general 0
OG0003197 NA NA general 0 general 0
OG0003198 general 0 general 0 general 0
OG0003200 general 0 general 0 general 0
OG0003201 general 0 general 0 general 0
OG0003205 general 0 general 0 general 0
OG0003207 general 0 general 0 general 0
OG0003208 general 0 general 0 general 0
OG0003209 general 0 general 0 general 0
OG0003210 general 0 general 0 general 0
OG0003211 general 0 general 0 general 0
OG0003213 general 0 general 0 alternative 7
OG0003214 general 0 alternative 1 general 0
OG0003215 general 0 general 0 general 0
OG0003217 general 0 general 0 general 0
OG0003218 general 0 general 0 general 0
OG0003221 alternative 4 general 0 general 0
OG0003223 general 0 general 0 general 0
OG0003224 general 0 general 0 alternative 0
OG0003225 general 0 general 0 general 0
OG0003226 alternative 2 general 0 general 0
OG0003227 general 0 general 0 general 0
OG0003228 alternative 22 general 0 general 0
OG0003230 general 0 general 0 general 0
OG0003231 general 0 general 0 general 0
OG0003232 general 0 general 0 general 0
OG0003233 general 0 alternative 0 general 0
OG0003234 general 0 general 0 general 0
OG0003235 general 0 general 0 general 0
OG0003236 general 0 general 0 general 0
OG0003237 general 0 general 0 general 0
OG0003238 general 0 general 0 general 0
OG0003239 general 0 alternative 0 general 0
OG0003240 general 0 general 0 alternative 0
OG0003241 general 0 general 0 general 0
OG0003242 general 0 general 0 general 0
OG0003243 general 0 general 0 general 0
OG0003244 general 0 general 0 general 0
OG0003246 general 0 alternative 2 general 0
OG0003247 general 0 general 0 general 0
OG0003250 general 0 general 0 general 0
OG0003251 general 0 general 0 general 0
OG0003252 general 0 general 0 alternative 2
OG0003254 general 0 general 0 NA NA
OG0003255 general 0 general 0 general 0
OG0003256 general 0 alternative 0 general 0
OG0003257 general 0 alternative 0 general 0
OG0003258 general 0 general 0 alternative 10
OG0003260 general 0 general 0 alternative 7
OG0003261 general 0 general 0 general 0
OG0003262 general 0 general 0 general 0
OG0003263 general 0 general 0 general 0
OG0003266 general 0 general 0 alternative 2
OG0003267 alternative 0 alternative 1 general 0
OG0003268 general 0 general 0 general 0
OG0003269 general 0 general 0 general 0
OG0003270 general 0 general 0 general 0
OG0003271 general 0 general 0 general 0
OG0003272 alternative 2 general 0 general 0
OG0003273 general 0 general 0 general 0
OG0003274 general 0 general 0 general 0
OG0003275 general 0 general 0 general 0
OG0003276 general 0 general 0 general 0
OG0003277 general 0 general 0 general 0
OG0003278 general 0 general 0 general 0
OG0003279 general 0 general 0 general 0
OG0003280 general 0 general 0 general 0
OG0003281 general 0 general 0 general 0
OG0003282 general 0 general 0 NA NA
OG0003283 general 0 alternative 2 general 0
OG0003286 general 0 general 0 general 0
OG0003287 general 0 general 0 general 0
OG0003288 general 0 general 0 alternative 7
OG0003290 alternative 4 general 0 general 0
OG0003291 general 0 general 0 general 0
OG0003292 general 0 general 0 general 0
OG0003293 general 0 general 0 general 0
OG0003295 general 0 general 0 NA NA
OG0003302 general 0 general 0 general 0
OG0003303 general 0 general 0 general 0
OG0003304 general 0 alternative 3 general 0
OG0003305 general 0 general 0 general 0
OG0003306 general 0 general 0 general 0
OG0003307 general 0 general 0 general 0
OG0003308 general 0 general 0 general 0
OG0003309 general 0 general 0 general 0
OG0003311 general 0 alternative 23 alternative 0
OG0003312 general 0 general 0 general 0
OG0003313 general 0 general 0 alternative 0
OG0003316 alternative 42 general 0 general 0
OG0003317 general 0 general 0 general 0
OG0003319 general 0 general 0 alternative 0
OG0003321 general 0 general 0 general 0
OG0003322 alternative 7 general 0 alternative 15
OG0003326 general 0 alternative 8 general 0
OG0003327 general 0 general 0 general 0
OG0003328 general 0 alternative 10 general 0
OG0003329 alternative 1 alternative 3 general 0
OG0003330 general 0 general 0 NA NA
OG0003332 general 0 general 0 general 0
OG0003334 alternative 8 general 0 alternative 0
OG0003336 general 0 general 0 general 0
OG0003339 general 0 general 0 general 0
OG0003340 general 0 general 0 general 0
OG0003341 general 0 general 0 general 0
OG0003342 general 0 general 0 general 0
OG0003343 general 0 general 0 general 0
OG0003345 general 0 general 0 alternative 2
OG0003346 general 0 general 0 general 0
OG0003347 general 0 general 0 alternative 4
OG0003348 general 0 general 0 general 0
OG0003349 general 0 general 0 general 0
OG0003350 general 0 general 0 alternative 14
OG0003351 general 0 general 0 general 0
OG0003352 general 0 general 0 general 0
OG0003353 alternative 14 general 0 general 0
OG0003354 general 0 general 0 general 0
OG0003355 general 0 general 0 alternative 17
OG0003356 general 0 general 0 alternative 17
OG0003357 general 0 general 0 general 0
OG0003358 general 0 general 0 general 0
OG0003360 alternative 3 general 0 alternative 0
OG0003361 general 0 general 0 general 0
OG0003362 general 0 general 0 general 0
OG0003364 general 0 general 0 general 0
OG0003365 alternative 0 general 0 alternative 3
OG0003366 general 0 alternative 0 alternative 1
OG0003368 general 0 alternative 0 general 0
OG0003369 general 0 general 0 alternative 1
OG0003371 general 0 general 0 general 0
OG0003372 general 0 general 0 general 0
OG0003373 general 0 general 0 general 0
OG0003375 general 0 general 0 general 0
OG0003376 alternative 19 general 0 alternative 2
OG0003377 general 0 general 0 general 0
OG0003378 general 0 general 0 alternative 2
OG0003379 general 0 general 0 general 0
OG0003382 general 0 general 0 general 0
OG0003384 general 0 general 0 general 0
OG0003385 general 0 general 0 general 0
OG0003387 general 0 general 0 general 0
OG0003388 general 0 general 0 general 0
OG0003389 general 0 general 0 general 0
OG0003390 general 0 general 0 general 0
OG0003391 alternative 1 general 0 general 0
OG0003392 general 0 alternative 7 general 0
OG0003393 general 0 alternative 0 general 0
OG0003394 general 0 general 0 general 0
OG0003395 general 0 general 0 alternative 4
OG0003397 alternative 1 general 0 general 0
OG0003398 general 0 alternative 0 general 0
OG0003399 general 0 general 0 general 0
OG0003400 general 0 general 0 general 0
OG0003401 alternative 0 alternative 5 alternative 12
OG0003402 general 0 general 0 general 0
OG0003403 general 0 general 0 general 0
OG0003404 alternative 4 alternative 0 general 0
OG0003406 general 0 general 0 general 0
OG0003407 general 0 general 0 general 0
OG0003408 general 0 general 0 general 0
OG0003411 alternative 10 general 0 general 0
OG0003412 general 0 general 0 general 0
OG0003413 general 0 general 0 alternative 2
OG0003414 general 0 general 0 general 0
OG0003415 general 0 alternative 1 general 0
OG0003416 general 0 general 0 general 0
OG0003417 general 0 general 0 general 0
OG0003420 general 0 alternative 5 alternative 15
OG0003422 general 0 general 0 general 0
OG0003424 general 0 general 0 general 0
OG0003425 general 0 general 0 general 0
OG0003427 general 0 general 0 general 0
OG0003430 general 0 alternative 3 alternative 2
OG0003431 general 0 general 0 general 0
OG0003432 general 0 general 0 general 0
OG0003433 general 0 general 0 general 0
OG0003434 general 0 general 0 general 0
OG0003435 general 0 general 0 general 0
OG0003436 general 0 general 0 general 0
OG0003438 general 0 general 0 general 0
OG0003441 general 0 general 0 general 0
OG0003442 general 0 general 0 general 0
OG0003443 general 0 general 0 general 0
OG0003444 general 0 general 0 general 0
OG0003445 general 0 general 0 general 0
OG0003446 general 0 general 0 alternative 0
OG0003447 general 0 general 0 general 0
OG0003449 general 0 general 0 general 0
OG0003450 general 0 general 0 general 0
OG0003451 general 0 general 0 general 0
OG0003453 general 0 general 0 general 0
OG0003454 general 0 alternative 15 alternative 0
OG0003458 general 0 general 0 general 0
OG0003459 general 0 general 0 general 0
OG0003460 general 0 general 0 general 0
OG0003461 general 0 general 0 general 0
OG0003462 general 0 general 0 general 0
OG0003466 general 0 general 0 general 0
OG0003467 general 0 general 0 alternative 0
OG0003468 general 0 general 0 alternative 5
OG0003469 alternative 10 general 0 general 0
OG0003470 general 0 general 0 general 0
OG0003471 general 0 general 0 alternative 12
OG0003472 general 0 general 0 general 0
OG0003473 general 0 general 0 general 0
OG0003474 alternative 0 alternative 4 alternative 0
OG0003475 general 0 general 0 general 0
OG0003476 general 0 alternative 0 general 0
OG0003478 general 0 general 0 alternative 1
OG0003479 general 0 alternative 10 general 0
OG0003480 general 0 alternative 2 general 0
OG0003481 general 0 general 0 general 0
OG0003482 general 0 general 0 general 0
OG0003483 general 0 general 0 general 0
OG0003484 alternative 1 general 0 general 0
OG0003485 general 0 general 0 general 0
OG0003486 general 0 alternative 2 alternative 2
OG0003487 general 0 alternative 10 general 0
OG0003488 general 0 general 0 general 0
OG0003489 general 0 general 0 general 0
OG0003492 general 0 general 0 general 0
OG0003493 general 0 general 0 general 0
OG0003495 general 0 general 0 general 0
OG0003496 general 0 general 0 general 0
OG0003499 general 0 general 0 general 0
OG0003500 general 0 general 0 general 0
OG0003501 general 0 general 0 general 0
OG0003502 general 0 general 0 alternative 12
OG0003503 general 0 general 0 general 0
OG0003505 general 0 general 0 general 0
OG0003506 general 0 general 0 general 0
OG0003507 general 0 general 0 general 0
OG0003508 general 0 general 0 general 0
OG0003510 general 0 general 0 general 0
OG0003511 general 0 general 0 general 0
OG0003514 general 0 general 0 general 0
OG0003516 general 0 general 0 general 0
OG0003517 general 0 general 0 general 0
OG0003518 general 0 general 0 general 0
OG0003519 alternative 12 general 0 general 0
OG0003520 alternative 14 general 0 general 0
OG0003521 general 0 general 0 general 0
OG0003524 general 0 general 0 general 0
OG0003525 general 0 general 0 alternative 7
OG0003526 general 0 general 0 general 0
OG0003527 general 0 general 0 general 0
OG0003528 general 0 general 0 general 0
OG0003529 general 0 general 0 general 0
OG0003530 general 0 general 0 general 0
OG0003531 general 0 alternative 13 alternative 6
OG0003532 general 0 general 0 general 0
OG0003534 general 0 general 0 general 0
OG0003535 general 0 general 0 general 0
OG0003536 general 0 general 0 general 0
OG0003538 general 0 general 0 alternative 6
OG0003539 general 0 general 0 general 0
OG0003540 general 0 general 0 alternative 5
OG0003541 general 0 general 0 general 0
OG0003542 general 0 general 0 general 0
OG0003544 general 0 general 0 alternative 9
OG0003545 alternative 0 general 0 general 0
OG0003547 general 0 general 0 general 0
OG0003548 general 0 general 0 alternative 15
OG0003550 general 0 general 0 general 0
OG0003551 general 0 general 0 general 0
OG0003552 general 0 general 0 general 0
OG0003553 general 0 general 0 general 0
OG0003554 general 0 general 0 general 0
OG0003555 general 0 general 0 general 0
OG0003557 alternative 8 general 0 general 0
OG0003558 general 0 NA NA NA NA
OG0003559 NA NA general 0 NA NA
OG0003560 general 0 general 0 general 0
OG0003561 general 0 general 0 general 0
OG0003562 general 0 general 0 general 0
OG0003563 general 0 alternative 1 general 0
OG0003564 alternative 13 general 0 general 0
OG0003565 general 0 general 0 alternative 6
OG0003567 general 0 general 0 general 0
OG0003571 alternative 6 general 0 general 0
OG0003572 general 0 general 0 alternative 32
OG0003573 general 0 general 0 general 0
OG0003576 general 0 general 0 alternative 4
OG0003577 general 0 general 0 general 0
OG0003578 general 0 general 0 general 0
OG0003579 general 0 general 0 general 0
OG0003580 alternative 13 general 0 general 0
OG0003581 general 0 NA NA general 0
OG0003583 alternative 0 general 0 general 0
OG0003585 general 0 general 0 general 0
OG0003586 general 0 general 0 general 0
OG0003587 alternative 1 alternative 2 general 0
OG0003589 alternative 2 general 0 general 0
OG0003590 general 0 general 0 general 0
OG0003591 general 0 general 0 general 0
OG0003592 general 0 general 0 general 0
OG0003593 general 0 general 0 alternative 1
OG0003594 general 0 general 0 general 0
OG0003595 general 0 general 0 general 0
OG0003596 general 0 alternative 0 general 0
OG0003597 general 0 general 0 general 0
OG0003598 general 0 general 0 general 0
OG0003599 general 0 general 0 alternative 12
OG0003600 general 0 alternative 0 general 0
OG0003601 general 0 general 0 general 0
OG0003602 general 0 general 0 general 0
OG0003603 general 0 alternative 16 general 0
OG0003604 general 0 general 0 general 0
OG0003605 general 0 general 0 general 0
OG0003606 general 0 general 0 general 0
OG0003608 general 0 general 0 general 0
OG0003609 alternative 7 general 0 general 0
OG0003611 general 0 general 0 general 0
OG0003612 general 0 general 0 NA NA
OG0003613 general 0 general 0 general 0
OG0003615 NA NA general 0 alternative 19
OG0003616 general 0 general 0 alternative 1
OG0003618 general 0 general 0 general 0
OG0003620 general 0 general 0 general 0
OG0003621 general 0 general 0 general 0
OG0003622 alternative 4 alternative 0 alternative 0
OG0003623 general 0 general 0 alternative 1
OG0003624 general 0 alternative 10 general 0
OG0003625 alternative 0 general 0 alternative 5
OG0003626 general 0 general 0 general 0
OG0003627 general 0 general 0 general 0
OG0003629 general 0 general 0 general 0
OG0003630 alternative 15 general 0 general 0
OG0003631 general 0 general 0 general 0
OG0003633 general 0 alternative 9 alternative 1
OG0003635 general 0 general 0 general 0
OG0003636 general 0 NA NA general 0
OG0003637 alternative 8 general 0 alternative 8
OG0003638 general 0 general 0 general 0
OG0003639 general 0 general 0 alternative 6
OG0003640 general 0 general 0 general 0
OG0003641 alternative 0 alternative 0 alternative 4
OG0003644 alternative 1 alternative 4 alternative 0
OG0003645 general 0 general 0 general 0
OG0003646 general 0 general 0 general 0
OG0003647 general 0 general 0 general 0
OG0003648 general 0 general 0 general 0
OG0003649 alternative 1 general 0 general 0
OG0003650 general 0 alternative 1 general 0
OG0003651 general 0 general 0 general 0
OG0003652 alternative 5 general 0 general 0
OG0003655 general 0 general 0 alternative 3
OG0003656 general 0 NA NA general 0
OG0003657 general 0 general 0 general 0
OG0003658 general 0 general 0 general 0
OG0003659 NA NA general 0 alternative 5
OG0003660 general 0 general 0 general 0
OG0003661 general 0 general 0 general 0
OG0003662 general 0 general 0 general 0
OG0003663 general 0 alternative 11 general 0
OG0003664 general 0 general 0 general 0
OG0003666 general 0 alternative 1 general 0
OG0003667 general 0 general 0 alternative 22
OG0003669 general 0 general 0 general 0
OG0003670 general 0 general 0 alternative 8
OG0003672 general 0 NA NA general 0
OG0003675 general 0 general 0 general 0
OG0003676 general 0 general 0 general 0
OG0003677 general 0 general 0 alternative 2
OG0003679 general 0 general 0 general 0
OG0003680 general 0 general 0 general 0
OG0003681 alternative 2 general 0 general 0
OG0003682 general 0 alternative 2 general 0
OG0003684 general 0 general 0 alternative 20
OG0003685 general 0 general 0 general 0
OG0003689 general 0 general 0 general 0
OG0003690 general 0 general 0 general 0
OG0003691 general 0 general 0 general 0
OG0003692 general 0 general 0 general 0
OG0003693 general 0 general 0 general 0
OG0003694 general 0 general 0 general 0
OG0003695 general 0 general 0 general 0
OG0003697 general 0 general 0 general 0
OG0003698 general 0 general 0 general 0
OG0003699 general 0 general 0 general 0
OG0003701 general 0 general 0 general 0
OG0003702 general 0 general 0 general 0
OG0003703 general 0 general 0 general 0
OG0003707 general 0 general 0 general 0
OG0003708 NA NA general 0 general 0
OG0003710 general 0 general 0 general 0
OG0003711 general 0 general 0 general 0
OG0003712 general 0 general 0 general 0
OG0003713 general 0 general 0 general 0
OG0003716 general 0 general 0 general 0
OG0003717 general 0 general 0 general 0
OG0003718 general 0 general 0 general 0
OG0003720 general 0 general 0 general 0
OG0003721 general 0 general 0 general 0
OG0003722 general 0 general 0 alternative 10
OG0003723 general 0 NA NA general 0
OG0003724 general 0 general 0 general 0
OG0003726 general 0 alternative 15 general 0
OG0003727 general 0 general 0 general 0
OG0003728 general 0 general 0 general 0
OG0003729 general 0 general 0 general 0
OG0003730 general 0 alternative 0 alternative 0
OG0003731 general 0 general 0 alternative 1
OG0003732 general 0 general 0 general 0
OG0003733 general 0 general 0 general 0
OG0003734 general 0 general 0 NA NA
OG0003735 general 0 general 0 general 0
OG0003736 general 0 general 0 general 0
OG0003737 general 0 alternative 5 general 0
OG0003739 alternative 9 general 0 general 0
OG0003740 general 0 general 0 general 0
OG0003741 general 0 general 0 general 0
OG0003742 general 0 general 0 general 0
OG0003743 general 0 general 0 NA NA
OG0003744 general 0 general 0 general 0
OG0003745 NA NA general 0 alternative 2
OG0003747 general 0 general 0 general 0
OG0003748 general 0 general 0 general 0
OG0003749 general 0 general 0 alternative 6
OG0003750 general 0 general 0 general 0
OG0003751 general 0 general 0 general 0
OG0003752 alternative 2 alternative 0 general 0
OG0003753 general 0 general 0 general 0
OG0003755 general 0 general 0 general 0
OG0003756 general 0 general 0 general 0
OG0003757 NA NA alternative 1 general 0
OG0003758 general 0 general 0 NA NA
OG0003759 general 0 general 0 general 0
OG0003761 general 0 general 0 general 0
OG0003763 general 0 general 0 alternative 2
OG0003765 general 0 general 0 general 0
OG0003766 alternative 1 general 0 general 0
OG0003768 general 0 general 0 alternative 1
OG0003769 general 0 general 0 general 0
OG0003770 general 0 general 0 NA NA
OG0003771 general 0 general 0 NA NA
OG0003774 general 0 general 0 alternative 9
OG0003777 general 0 general 0 general 0
OG0003778 general 0 general 0 general 0
OG0003780 NA NA general 0 general 0
OG0003781 alternative 0 general 0 alternative 0
OG0003782 general 0 general 0 general 0
OG0003783 general 0 general 0 general 0
OG0003785 alternative 2 general 0 general 0
OG0003786 general 0 alternative 5 general 0
OG0003787 general 0 general 0 general 0
OG0003788 general 0 general 0 general 0
OG0003789 general 0 general 0 general 0
OG0003790 general 0 general 0 general 0
OG0003792 general 0 general 0 general 0
OG0003794 general 0 general 0 alternative 3
OG0003795 general 0 general 0 general 0
OG0003796 general 0 general 0 general 0
OG0003797 general 0 general 0 alternative 1
OG0003798 general 0 general 0 general 0
