OG BRO-BGM BAT-BGM BAT-BRO
OG0003398 9.49 4.40 6.08
OG0003399 5.31 19.31 9.08
OG0003400 2.51 1.28 2.58
OG0003401 6.79 4.03 7.18
OG0003402 4.51 2.18 5.08
OG0003403 2.88 1.40 2.73
OG0003404 5.36 2.59 6.79
OG0003405 3.85 1.49 3.73
OG0003406 9.51 5.61 5.21
OG0003407 1.16 3.22 2.14
OG0003408 4.26 3.71 4.87
OG0003409 15.39 -nan 2.85
OG0003410 3.78 4.02 4.85
OG0003411 10.64 10.64 1.24
OG0003412 10.45 3.72 10.45
OG0003413 3.24 1.17 3.96
OG0003414 3.95 1.29 3.72
OG0003415 0.65 0.80 1.91
OG0003416 2.64 1.06 3.07
OG0003418 6.69 2.48 6.05
OG0003419 6.91 12.41 16.12
OG0003421 11.84 7.88 6.58
OG0003422 2.63 52.75 3.00
OG0003424 6.14 5.37 2.98
OG0003426 3.30 1.71 3.98
OG0003427 1.79 0.92 1.71
OG0003428 5.98 4.03 6.39
OG0003429 2.82 0.47 2.01
OG0003430 10.07 5.69 12.43
OG0003431 7.48 1.92 7.71
OG0003432 4.77 2.51 4.71
OG0003433 5.75 1.97 5.88
OG0003434 3.52 1.25 3.42
OG0003435 17.39 17.58 2.82
OG0003436 8.77 5.39 9.84
OG0003437 2.71 2.06 3.67
OG0003438 3.02 23.31 19.90
OG0003439 4.24 5.62 8.33
OG0003440 4.52 2.04 4.18
OG0003441 0.74 2.34 1.11
OG0003442 4.08 6.98 10.49
OG0003443 1.64 1.32 3.14
OG0003444 1.00 1.00 1.61
OG0003446 16.30 12.38 3.58
OG0003447 3.15 0.48 1.96
OG0003448 6.03 3.58 5.90
OG0003449 30.41 13.73 30.01
OG0003450 7.93 15.17 15.55
OG0003451 1.99 0.66 1.65
OG0003452 2.82 0.90 2.55
OG0003453 11.31 13.67 8.83
OG0003454 10.41 4.77 12.59
OG0003455 6.21 3.78 6.66
OG0003456 11.64 2.66 12.80
OG0003457 2.09 0.80 2.02
OG0003458 3.19 1.35 3.42
OG0003459 1.89 1.15 2.03
OG0003460 5.81 3.79 3.07
OG0003461 7.05 4.61 7.26
OG0003462 6.20 3.58 4.85
OG0003463 2.89 3.09 2.76
OG0003464 107.63 6.51 2.71
OG0003465 1.33 0.89 1.44
OG0003466 7.20 2.47 12.88
OG0003467 2.84 1.11 2.00
OG0003469 4.40 2.12 5.01
OG0003470 5.86 3.36 5.86
OG0003471 19.46 17.77 11.56
OG0003472 3.17 2.83 4.03
OG0003473 2.29 1.71 1.81
OG0003474 7.79 1.15 6.18
OG0003475 1.32 0.44 0.88
OG0003476 2.47 1.54 2.35
OG0003477 0.66 0.79 1.68
OG0003478 4.29 2.50 3.44
OG0003479 14.89 3.72 15.40
OG0003480 10.08 10.19 8.08
OG0003482 3.20 2.72 2.22
OG0003483 2.27 1.46 2.14
OG0003484 1.33 0.66 1.33
OG0003485 2.79 1.11 2.99
OG0003486 3.49 1.15 3.65
OG0003487 3.81 2.79 3.20
OG0003488 1.35 1.12 2.26
OG0003489 10.83 6.13 11.81
OG0003490 1.78 0.95 3.51
OG0003491 7.47 1.02 8.33
OG0003493 17.52 19.30 3.96
OG0003494 3.99 2.10 3.49
OG0003495 2.79 1.55 2.81
OG0003496 3.06 1.95 3.54
OG0003497 10.86 8.73 2.26
OG0003498 9.89 6.59 9.73
OG0003499 4.92 15.41 18.75
OG0003500 3.87 1.82 3.91
OG0003501 1.57 1.41 2.08
OG0003502 19.60 3.37 3.94
OG0003503 1.69 0.72 1.45
OG0003504 1.74 1.24 2.06
OG0003505 5.56 4.41 2.89
OG0003506 3.91 2.65 3.55
OG0003507 2.90 2.08 3.81
OG0003508 4.36 2.83 3.11
OG0003509 3.99 1.56 2.71
OG0003510 6.91 1.70 6.75
OG0003513 4.12 1.35 4.36
OG0003514 1.95 0.93 2.50
OG0003515 2.55 2.57 1.41
OG0003516 1.17 0.83 1.17
OG0003517 3.31 2.75 6.58
OG0003519 7.49 2.81 7.07
OG0003520 6.82 2.60 7.50
OG0003521 70.72 1.48 22.85
OG0003522 10.30 1.13 10.35
OG0003523 14.86 6.02 10.40
OG0003524 2.30 1.37 2.30
OG0003525 2.50 1.15 2.92
OG0003526 10.19 6.33 3.28
OG0003527 2.63 2.52 2.06
OG0003528 4.86 1.32 5.07
OG0003529 2.51 0.87 2.51
OG0003530 6.54 1.94 6.43
OG0003531 0.83 0.71 1.21
OG0003532 2.72 1.16 2.77
OG0003533 2.66 1.28 2.74
OG0003534 3.01 1.83 2.42
OG0003535 4.49 14.13 7.80
OG0003536 2.23 1.23 1.96
OG0003537 26.73 2.26 25.98
OG0003538 1.98 0.72 1.56
OG0003539 0.86 5.77 6.21
OG0003540 4.03 2.59 2.33
OG0003541 7.39 3.79 8.13
OG0003542 1.69 0.36 1.69
OG0003543 1.14 1.91 1.30
OG0003544 2.54 0.73 2.47
OG0003545 0.67 0.76 0.67
OG0003546 1.05 0.64 0.99
OG0003547 5.98 2.75 4.01
OG0003548 3.46 1.10 4.52
OG0003549 5.32 1.55 5.56
OG0003550 33.25 2.44 29.15
OG0003551 3.38 9.72 2.13
OG0003552 4.64 2.51 3.15
OG0003553 4.60 1.25 4.01
OG0003554 1.60 1.14 1.83
OG0003555 3.76 1.24 3.89
OG0003556 1.24 0.70 1.59
OG0003557 2.72 1.42 3.05
OG0003558 3.49 1.88 4.48
OG0003559 4.58 2.39 4.15
OG0003560 3.26 2.98 4.48
OG0003561 2.78 1.41 2.60
OG0003562 1.74 0.79 1.55
OG0003564 3.34 1.04 3.56
OG0003565 2.76 1.68 3.15
OG0003566 2.25 0.84 2.34
OG0003567 5.70 0.56 1.49
OG0003568 2.65 1.01 2.66
OG0003569 2.78 0.42 2.78
OG0003570 1.79 0.80 2.14
OG0003571 1.34 0.55 1.42
OG0003572 27.24 9.31 22.29
OG0003573 4.27 3.35 3.59
OG0003574 1.96 0.80 2.49
OG0003575 2.31 1.28 2.04
OG0003576 8.01 5.06 5.02
OG0003577 7.03 5.03 8.26
OG0003578 12.38 3.27 12.92
OG0003579 4.29 2.00 3.80
OG0003580 18.33 0.96 9.86
OG0003581 4.48 3.45 5.10
OG0003582 4.28 2.32 4.08
OG0003583 5.47 2.24 5.61
OG0003584 2.10 0.70 2.02
OG0003585 4.04 1.47 4.60
OG0003586 3.58 0.70 3.83
OG0003588 8.83 6.13 2.81
OG0003589 4.03 1.39 4.23
OG0003590 5.71 2.97 6.21
OG0003591 11.17 3.00 10.93
OG0003592 7.10 15.93 3.04
OG0003593 40.19 36.61 4.01
OG0003594 7.89 3.28 6.79
OG0003595 3.11 2.23 2.75
OG0003596 3.33 2.57 3.26
OG0003597 3.01 1.22 3.10
OG0003598 4.49 2.31 4.39
OG0003599 1.86 45.34 47.29
OG0003600 1.28 0.45 1.28
OG0003601 3.94 1.73 4.27
OG0003602 2.88 0.95 3.11
OG0003604 2.30 1.42 2.46
OG0003605 6.12 3.96 5.61
OG0003606 2.39 5.47 5.72
OG0003607 1.77 1.04 1.92
OG0003608 9.42 7.21 9.87
OG0003609 6.18 1.41 5.40
OG0003610 6.13 4.20 2.42
OG0003611 1.83 1.03 2.02
OG0003612 1.89 0.84 1.47
OG0003613 1.35 2.49 2.95
OG0003614 11.00 7.42 6.69
OG0003615 4.58 2.89 4.69
OG0003616 3.01 1.88 3.28
OG0003617 4.27 1.71 4.76
OG0003619 1.02 3.80 4.64
OG0003620 3.86 2.62 5.69
OG0003621 1.43 1.01 1.62
OG0003622 3.09 2.19 3.81
OG0003623 2.73 2.94 2.47
OG0003624 4.06 3.51 4.16
OG0003625 3.56 2.02 3.91
OG0003627 4.98 1.78 4.58
OG0003628 1.67 1.27 2.52
OG0003629 11.56 8.34 8.59
OG0003631 6.31 1.93 6.31
OG0003632 4.18 3.51 1.83
OG0003633 3.52 1.96 3.70
OG0003634 2.19 0.74 2.65
OG0003635 1.71 2.00 2.59
OG0003636 1.77 0.82 1.77
OG0003637 5.17 2.35 5.99
OG0003638 1.59 9.00 9.46
OG0003639 8.45 2.09 8.72
OG0003641 3.04 2.91 2.95
OG0003642 1.35 1.35 1.91
OG0003643 3.96 1.65 3.71
OG0003644 11.62 10.21 4.29
OG0003645 1.27 0.56 1.27
OG0003646 90.68 108.57 124.37
OG0003647 4.62 0.99 5.07
OG0003649 11.48 1.50 3.03
OG0003650 2.50 0.99 2.25
OG0003651 5.97 2.73 6.69
OG0003652 0.44 -0.00 0.47
OG0003653 2.66 1.23 2.77
OG0003654 13.91 13.66 5.55
OG0003655 7.20 5.54 7.73
OG0003656 3.18 10.08 11.26
OG0003657 8.73 6.69 4.47
OG0003658 4.32 1.39 2.41
OG0003660 2.45 0.89 3.13
OG0003661 4.73 1.11 5.17
OG0003662 1.42 1.30 1.10
OG0003663 10.47 1.17 10.11
OG0003664 6.20 2.56 3.91
OG0003665 26.35 11.39 25.40
OG0003666 3.74 3.89 6.15
OG0003667 1.01 0.59 0.95
OG0003668 2.63 1.47 3.65
OG0003669 7.44 3.01 5.52
OG0003671 2.17 1.19 2.18
OG0003672 3.08 1.15 3.78
OG0003673 115.04 0.80 9.44
OG0003674 4.74 4.03 3.62
OG0003675 11.99 2.81 10.38
OG0003676 1.94 37.13 45.05
OG0003677 2.77 1.66 2.87
OG0003678 4.17 2.06 3.24
OG0003679 3.86 44.08 8.42
OG0003680 4.38 1.60 4.90
OG0003681 1.39 1.06 1.64
OG0003682 7.68 4.63 5.21
OG0003683 4.43 2.60 3.66
OG0003684 2.40 0.99 2.09
OG0003687 3.90 29.79 31.67
OG0003688 5.01 1.85 5.17
OG0003689 2.19 1.81 2.75
OG0003690 5.98 3.68 7.08
OG0003691 6.38 3.59 4.72
OG0003692 1.10 0.86 1.55
OG0003693 12.11 5.26 9.34
OG0003694 7.70 2.32 7.88
OG0003695 4.13 0.84 3.34
OG0003696 0.48 0.16 1.45
OG0003697 5.59 1.34 5.51
OG0003698 9.12 2.62 4.00
OG0003699 4.23 2.47 4.13
OG0003700 6.06 4.04 4.04
OG0003701 2.53 1.93 1.43
OG0003702 1.74 1.19 1.92
OG0003703 3.69 1.13 3.46
OG0003704 26.04 10.01 27.47
OG0003705 2.61 3.07 3.78
OG0003706 26.78 20.63 10.62
OG0003708 6.93 2.45 7.44
OG0003709 4.26 1.66 3.75
OG0003710 2.86 2.24 2.57
OG0003712 8.17 1.32 8.32
OG0003713 2.63 1.28 2.23
OG0003714 3.01 49.63 53.57
OG0003715 3.86 2.74 3.48
OG0003716 2.33 2.33 3.26
OG0003717 2.01 1.19 2.20
OG0003718 17.73 2.59 17.95
OG0003719 4.64 3.13 5.50
OG0003720 82.40 10.79 78.27
OG0003721 4.32 1.44 3.60
OG0003722 1.88 0.83 2.09
OG0003723 1.94 2.35 7.51
OG0003724 2.10 1.03 1.88
OG0003726 5.39 2.16 5.39
OG0003727 5.75 3.85 6.06
OG0003728 1.62 1.05 1.68
OG0003729 2.79 1.78 3.16
OG0003730 1.59 3.41 0.89
OG0003731 2.96 1.89 2.89
OG0003732 3.57 1.39 3.89
OG0003733 9.55 3.91 8.69
OG0003734 18.53 4.29 9.78
OG0003735 3.30 10.19 9.11
OG0003736 6.11 1.34 6.32
OG0003737 1.58 0.74 1.70
OG0003738 3.69 2.44 3.74
OG0003739 6.34 3.29 6.34
OG0003740 4.39 1.42 4.22
OG0003741 2.84 0.94 2.84
OG0003742 1.48 1.28 1.61
OG0003743 1.84 1.84 1.16
OG0003745 3.11 0.92 3.05
OG0003746 1.98 1.25 2.89
OG0003747 2.23 1.69 2.65
OG0003748 9.16 3.34 4.58
OG0003749 3.82 2.56 4.04
OG0003750 3.33 1.01 2.81
OG0003751 2.87 1.20 3.21
OG0003752 49.97 3.24 49.69
OG0003753 3.75 2.11 4.52
OG0003754 1.51 0.80 2.15
OG0003755 2.20 1.19 2.58
OG0003756 1.36 5.79 5.56
OG0003758 3.39 4.18 6.54
OG0003759 77.04 5.13 8.24
OG0003760 4.63 8.25 4.24
OG0003762 4.10 0.95 4.10
OG0003763 12.45 1.69 12.84
OG0003764 2.98 1.90 2.51
OG0003765 3.12 1.21 3.49
OG0003766 1.30 0.72 1.28
OG0003767 5.00 3.55 8.66
OG0003768 3.21 1.91 2.88
OG0003769 8.25 1.50 1.90
OG0003770 3.07 0.48 2.83
OG0003771 5.35 4.54 2.26
OG0003772 2.37 1.20 2.55
OG0003773 4.62 2.75 4.84
OG0003774 3.88 1.55 4.39
OG0003775 1.92 0.69 2.10
OG0003776 2.07 2.52 2.12
OG0003777 8.38 34.18 35.56
OG0003778 4.29 2.99 4.64
OG0003779 2.24 1.62 1.69
OG0003780 1.97 0.75 1.90
OG0003781 2.15 1.37 2.22
OG0003782 3.36 0.48 3.36
OG0003783 4.81 3.00 5.33
OG0003784 1.94 0.78 1.65
OG0003785 2.35 1.69 2.57
OG0003786 1.84 1.42 1.33
OG0003787 35.11 1.03 35.57
OG0003788 84.55 84.55 2.26
OG0003789 4.99 20.45 12.37
OG0003790 10.26 7.32 4.15
OG0003791 19.90 19.65 13.41
OG0003792 2.73 2.02 2.62
OG0003793 32.69 4.92 119.46
OG0003794 15.33 6.74 14.25
OG0003795 2.96 2.45 3.36
OG0003796 6.43 2.03 6.07
OG0003797 2.10 1.69 2.33
OG0003798 4.63 11.76 9.25
OG0003800 1.97 1.17 1.47
OG0003801 3.28 1.60 3.54
OG0003802 6.63 5.16 6.15
OG0003803 3.99 1.32 4.42
OG0003804 4.07 1.62 3.56
OG0003805 2.75 0.23 2.67
OG0003807 2.40 1.94 2.20
OG0003808 2.86 1.21 2.72
OG0003811 3.88 1.82 4.92
OG0003812 2.97 1.56 2.78
OG0003813 8.22 6.74 6.71
OG0003814 2.56 6.27 7.53
OG0003815 1.95 2.08 2.79
OG0003816 1.16 0.71 1.16
OG0003817 8.77 3.22 68.54
OG0003818 3.81 1.69 3.91
OG0003819 2.78 1.44 2.32
OG0003821 4.39 2.27 3.72
OG0003822 1.24 0.90 1.92
OG0003823 10.85 1.24 11.32
OG0003824 2.99 2.64 4.78
OG0003825 2.88 1.92 3.31
OG0003826 6.63 4.30 7.21
OG0003827 6.15 7.15 9.10
OG0003828 3.59 9.99 2.75
OG0003829 5.68 0.28 5.96
OG0003830 4.73 2.33 4.70
OG0003831 3.40 1.47 3.16
OG0003834 4.09 3.63 5.07
OG0003836 2.62 1.30 2.68
OG0003837 4.27 8.67 3.15
OG0003838 1.51 0.67 1.47
OG0003840 7.00 3.11 6.82
OG0003841 1.95 3.15 4.98
OG0003843 7.42 1.19 7.29
OG0003844 4.39 1.41 5.25
OG0003845 3.37 1.17 3.21
OG0003846 5.32 0.84 5.98
OG0003847 -nan 1.88 3.19
OG0003849 4.06 1.88 3.82
OG0003850 1.71 1.33 2.22
OG0003851 1.01 0.54 1.15
OG0003852 3.72 1.76 4.45
OG0003853 2.86 0.74 2.86
OG0003854 2.76 1.79 3.74
OG0003855 6.43 3.05 5.53
OG0003856 10.04 5.01 9.53
OG0003857 4.44 3.68 2.86
OG0003858 15.38 1.20 15.79
OG0003859 2.61 1.68 2.54
OG0003860 2.46 1.04 2.15
OG0003861 3.61 2.01 3.61
OG0003862 3.25 9.59 3.75
OG0003863 2.86 1.26 3.43
OG0003864 3.84 1.96 3.71
OG0003865 4.84 1.35 5.15
OG0003866 6.05 16.46 18.45
OG0003867 1.87 1.24 1.60
OG0003868 2.38 0.56 2.77
OG0003869 4.65 1.07 4.42
OG0003870 10.67 2.46 11.29
OG0003871 2.73 1.47 2.22
OG0003872 3.12 1.83 3.73
OG0003873 6.38 2.65 5.72
OG0003874 1.49 0.80 1.52
OG0003875 101.96 101.96 2.10
OG0003876 3.52 0.79 5.35
OG0003877 3.22 1.94 3.57
OG0003879 23.26 3.35 3.80
OG0003880 3.39 2.24 3.01
OG0003881 3.61 2.46 4.19
OG0003882 3.91 2.52 1.98
OG0003883 2.44 0.92 2.67
OG0003884 3.67 1.51 4.30
OG0003885 7.77 2.58 6.84
OG0003887 3.81 1.92 3.81
OG0003888 2.22 1.41 2.02
OG0003889 4.48 4.23 4.65
OG0003890 101.24 1.22 4.24
OG0003891 9.15 6.48 4.89
OG0003892 5.54 2.48 6.11
OG0003893 3.36 3.09 4.29
OG0003894 11.78 29.75 4.40
OG0003895 1.65 0.95 1.34
OG0003896 4.84 3.05 5.47
OG0003897 4.22 1.71 4.15
OG0003899 3.07 1.78 3.86
OG0003900 1.16 0.49 1.66
OG0003901 20.16 11.34 32.01
OG0003903 5.47 1.97 4.94
OG0003904 5.44 2.61 6.98
OG0003905 2.74 1.37 2.69
OG0003906 2.81 1.54 3.51
OG0003907 5.01 2.63 3.98
OG0003908 2.65 1.05 2.11
OG0003909 2.98 1.78 2.38
OG0003911 25.67 4.47 24.13
OG0003912 7.23 3.13 6.76
OG0003913 1.13 0.96 1.18
OG0003914 3.04 4.51 7.11
OG0003915 2.60 1.48 2.45
OG0003916 2.20 0.95 2.40
OG0003917 2.75 1.21 2.75
OG0003918 1.60 0.48 1.93
OG0003919 2.77 1.02 2.73
OG0003920 2.63 1.96 3.17
OG0003921 10.85 15.94 17.17
OG0003922 1.76 0.86 2.44
OG0003923 6.85 2.88 6.34
OG0003924 1.70 1.31 1.47
OG0003925 74.89 1.71 6.73
OG0003926 5.03 1.15 4.42
OG0003927 2.48 1.30 3.19
OG0003928 12.19 1.54 6.85
OG0003929 1.97 1.38 2.25
OG0003930 2.71 0.93 2.41
OG0003932 82.40 82.72 4.63
OG0003933 3.59 1.91 3.73
OG0003934 0.68 0.81 1.02
OG0003935 4.80 4.80 5.47
OG0003936 1.11 0.28 1.39
OG0003937 6.26 7.27 4.05
OG0003938 6.41 2.22 5.82
OG0003939 7.29 5.47 2.84
OG0003940 4.10 3.11 5.24
OG0003941 2.27 1.20 1.68
OG0003942 1.20 0.60 1.81
OG0003943 0.95 1.52 0.95
OG0003945 0.84 1.08 1.20
OG0003946 13.67 8.35 12.25
OG0003948 3.63 1.31 4.01
OG0003949 2.77 21.07 21.83
OG0003950 2.48 1.44 2.72
OG0003951 11.78 41.71 8.96
OG0003953 82.40 0.74 5.29
OG0003954 1.73 1.09 1.68
OG0003955 4.08 1.17 3.80
OG0003956 4.82 2.10 5.06
OG0003957 2.28 10.33 10.54
OG0003958 3.43 1.65 3.62
OG0003959 5.74 2.31 8.19
OG0003961 0.97 0.97 0.97
OG0003962 2.77 9.22 9.80
OG0003963 4.23 2.09 4.89
OG0003964 2.63 0.30 2.63
OG0003965 3.13 1.27 3.49
OG0003966 3.17 1.52 3.17
OG0003967 110.11 3.44 20.92
OG0003968 4.20 3.24 4.58
OG0003969 5.67 1.41 5.98
OG0003970 4.12 0.66 3.88
OG0003971 0.95 0.10 1.05
OG0003972 2.31 0.86 1.92
OG0003973 6.88 3.01 5.41
OG0003975 3.23 1.49 2.85
