OG BAT_W-S BAT_S-W BRO_W-S BRO_S-W BGM_W-S BGM_S-W BGC_BAT BGC_BAT_pval BGC_BRO BGC_BRO_pval BGC_BGM BGC_BGM_pval ENC_BAT ENC_BRO ENC_BGM SCUO_BAT SCUO_BRO SCUO_BGM MILC_BAT MILC_BRO MILC_BGM BAT_4FDS BRO_4FDS BGM_4FDS
OG0002821 0.3017209 1.511984 18.36971 8.766712 4.028057 1.10484 NA 0.986253 NA 0.04125593 NA 0.1717176 59.97048 59.18422 61 0.07087591 0.1036185 0.07087591 0.4110853 0.4414033 0.4110853 0.5555556 0.5763889 0.5694444
OG0002822 0.1493393 1.12879 4.70085 4.91594 1.27716 2.114572 NA 0.9996256 NA 0.9996256 NA 0.9996256 61 61 61 0.08707564 0.08808361 0.08707564 0.2751203 0.2907064 0.2751203 0.4468085 0.4255319 0.4680851
OG0002823 1.801229 22.11031 50.74752 28.45054 10.44272 25.71698 NA 0.9994467 NA 0.004499167 NA 0.9994402 32.68202 30.98793 32.05229 0.5030109 0.5448112 0.5030109 0.5060622 0.5220799 0.5060622 0.9060403 0.9328859 0.9149888
OG0002824 0.3530325 2.69722 8.472303 3.998709 0.085049 3.611455 NA 1 NA 0.1324794 NA 1 37.73441 38.00277 38.14382 0.4244389 0.4774406 0.4244389 0.4552751 0.5166984 0.4552751 0.8712871 0.9108911 0.8811881
OG0002825 0.02773345 5.991571 42.15923 6.147479 1.00226 5.021463 NA 0.998954 2.266324 2.376665e-09 NA 0.998954 48.37269 43.69857 46.8764 0.1616064 0.2338123 0.1616064 0.4492856 0.4682998 0.4492856 0.7142857 0.7545788 0.7216117
OG0002826 3.090096 7.985126 21.29899 17.5207 4.250462 5.205357 NA 0.9790073 NA 0.4440706 NA 0.9790073 50.77092 45.67057 50.08488 0.1667079 0.2643377 0.1667079 0.4387133 0.5036141 0.4387133 0.7319588 0.742268 0.7525773
OG0002827 4.317507 6.69578 45.14247 11.28845 1.733662 5.204248 NA 1 1.581776 2.688684e-08 NA 1 40.79393 33.92143 38.68133 0.3647661 0.4868286 0.3647661 0.4664653 0.6043479 0.4664653 0.8227848 0.8860759 0.835443
OG0002829 3.405976 1.971363 18.04187 28.40875 1.509853 2.631682 NA 0.3734593 NA 0.9994746 NA 0.9994742 28.37924 31.954 29.70784 0.589364 0.5290799 0.589364 0.433301 0.4344103 0.433301 0.8571429 0.7142857 0.8571429
OG0002830 1.602607 14.98298 48.96577 20.36136 5.218742 6.764918 NA 0.9708176 0.9480011 0.0001540262 NA 0.9708177 42.95153 38.78216 41.73162 0.2475463 0.2796588 0.2475463 0.4795053 0.4948959 0.4795053 0.832021 0.8661417 0.8425197
OG0002831 7.606104 11.38622 40.32067 26.12992 2.07374 7.526518 NA 0.9991406 NA 0.01085655 NA 0.9991407 43.06138 39.84657 42.95883 0.2385255 0.3089682 0.2385255 0.4667364 0.5389945 0.4667364 0.8197674 0.8604651 0.8313953
OG0002832 0.2863694 0.164775 49.67922 48.19716 15.79283 21.72791 NA 0.6578041 NA 0.4697172 NA 0.9998243 54.36536 49.2895 56.00677 0.1022397 0.212094 0.1022397 0.4421298 0.5424406 0.4421298 0.7272727 0.5454545 0.7272727
OG0002834 12.80831 12.96044 35.66301 29.07831 7.129027 11.44449 NA 0.9995455 NA 0.3027523 NA 0.9995449 54.88327 54.16163 53.88602 0.09273275 0.09872378 0.09273275 0.4559433 0.4656433 0.4559433 0.6315789 0.7105263 0.6973684
OG0002835 1.089401 2.758076 3.140228 7.027451 0.06576136 3.966997 NA 0.9997267 NA 0.9997267 NA 0.9997267 49.62694 51.37887 51.39144 0.1435138 0.1373869 0.1435138 0.4141736 0.415886 0.4141736 0.5612245 0.5612245 0.5510204
OG0002837 11.74804 13.97024 32.35697 26.71986 1.976073 3.071709 NA 0.9965715 NA 0.278198 NA 0.9965715 45.41748 40.60928 41.64935 0.3823128 0.3558207 0.3823128 0.4609524 0.4606752 0.4609524 0.8076923 0.8589744 0.8589744
OG0002838 19.93838 22.83078 12.8866 4.589578 3.842994 7.321807 NA 0.9994389 NA 0.008925997 NA 0.9994388 38.25379 35.60413 33.28708 0.4884304 0.3737252 0.4884304 0.5563635 0.483916 0.5563635 0.9294118 0.9764706 0.9294118
OG0002840 4.655855 8.87837 9.344697 9.778637 2.15694 1.607238 NA 1 NA 0.7400905 NA 0.6099174 38.46638 37.98713 36.75532 0.3951944 0.3741751 0.3951944 0.4513695 0.4316076 0.4513695 0.8165138 0.8073394 0.8256881
OG0002841 1.280021 5.052306 1.119187 4.872793 4.28411 0.06370217 NA 0.9999814 NA 0.9999814 NA 0.0262286 47.79689 43.65505 43.0156 0.2735933 0.2536302 0.2735933 0.4439994 0.4167514 0.4439994 0.7473684 0.7894737 0.8105263
OG0002842 2.826193 5.564412 73.60442 51.16575 1.8449 3.479273 NA 0.9994997 NA 0.004531897 NA 0.9994999 31.80462 30.95163 31.16553 0.5231812 0.5210722 0.5231812 0.4742427 0.4728878 0.4742427 1 0.8571429 1
OG0002844 6.001871 6.538625 30.96038 16.54732 178.5533 160.6891 NA 0.999107 NA 0.02260956 NA 0.4150216 56.86295 55.36537 58.05155 0.04411173 0.06163624 0.04411173 0.4663902 0.4588787 0.4663902 0.4 0.4 0.25
OG0002846 0.08425863 1.319776 2.004358 0.0312408 -2.85943e-15 -2.634316e-13 NA 1 NA 0.11489 NA 1 32.15212 32.29525 32.7173 0.5287964 0.5472971 0.5287964 0.4026934 0.3962148 0.4026934 0.9130435 0.9130435 0.9130435
OG0002847 2.0486e-17 -3.019621e-16 4.649413e-08 1.00001 0.9999896 7.797759e-09 NA 0.991076 NA 0.9910757 NA 0.1960547 56.08042 54.67725 54.9978 0.2280068 0.2368547 0.2280068 0.2457491 0.2594443 0.2457491 0.4444444 0.4444444 0.4666667
OG0002849 3.170678 4.217339 15.22625 6.053064 22.7249 53.44356 NA 0.9998746 NA 0.004568289 NA 0.9998813 42.97474 37.57032 40.89956 0.2841513 0.3355213 0.2841513 0.46831 0.4834908 0.46831 0.8431373 0.9215686 0.7843137
OG0002851 5.705636 10.74759 7.286396 15.55116 2.761059 3.710967 NA 0.9995342 NA 0.9995343 NA 0.9995343 41.43046 43.4581 39.47863 0.3768228 0.3158391 0.3768228 0.4105154 0.3972881 0.4105154 0.796748 0.7804878 0.8292683
OG0002853 0.09516611 4.227714 6.094866 9.97134 0.06662314 3.943098 NA 0.9995737 NA 0.9995737 NA 0.9993168 55.0527 54.03495 53.65923 0.1695193 0.1667504 0.1695193 0.3316168 0.3476671 0.3316168 0.6888889 0.6666667 0.7111111
OG0002855 4.441872 8.853051 33.33173 18.37234 2.304108 8.917008 NA 0.9991277 NA 0.02993997 NA 0.9991277 52.94403 50.39645 52.38849 0.1364882 0.1443367 0.1364882 0.4560857 0.4606325 0.4560857 0.6818182 0.6969697 0.6818182
OG0002856 7.248262 8.147055 30.82565 20.10105 5.670882 7.54947 NA 0.9911988 NA 0.1211797 NA 0.9911989 33.10994 32.76204 31.4055 0.5465313 0.4786391 0.5465313 0.5141459 0.4940194 0.5141459 0.959596 0.969697 0.959596
OG0002857 2.963249 6.554764 12.14179 12.83572 2.137013 13.8246 NA 0.9998718 NA 0.9998719 NA 0.9998716 56.83582 57.42598 56.73905 0.06474774 0.05972643 0.06474774 0.4434695 0.4412702 0.4434695 0.8684211 0.8684211 0.8684211
OG0002859 2.529799 4.880356 13.12423 10.47353 3.94451 7.951195 NA 0.9998559 NA 0.4781294 NA 0.9998742 38.40286 37.07083 38.50831 0.370552 0.3887234 0.370552 0.4407583 0.4575375 0.4407583 0.8076923 0.8365385 0.7884615
OG0002861 2.013428 4.283217 22.79723 12.79235 0.9490267 3.955102 NA 0.9992076 NA 0.0381131 NA 0.9993081 44.24454 43.1615 49.17623 0.1575614 0.2316637 0.1575614 0.45092 0.4696554 0.45092 0.7462687 0.7462687 0.7313433
OG0002862 67.78253 72.31878 5.573707 25.66602 3.326662 1.017177 NA 0.7942236 NA 0.9998729 NA 0.03201404 42.36753 34.64982 32.56837 0.4602197 0.4079423 0.4602197 0.5512766 0.4830551 0.5512766 0.8478261 0.9130435 0.9130435
OG0002863 2.866704 8.477028 10.81272 14.07069 2.358945 0.2837997 NA 0.9991207 NA 0.9991207 NA 0.03859538 35.28791 32.62298 28.16869 0.6161666 0.4980197 0.6161666 0.4479466 0.4366225 0.4479466 0.9529412 0.9764706 0.9647059
OG0002864 0.5125427 2.999674 24.76468 32.09273 1.054301 2.540875 NA 0.9993457 NA 0.9993458 NA 0.9993458 28.45493 27.66685 28.08478 0.6102546 0.6307253 0.6102546 0.4532865 0.4710426 0.4532865 0.9653465 0.9752475 0.970297
OG0002865 38.01031 54.77882 25.26858 17.47797 7.89431 7.103704 NA 0.9985144 NA 0.1665658 NA 0.727956 46.92195 41.38625 41.138 0.300515 0.3053206 0.300515 0.4649803 0.4639362 0.4649803 0.6666667 1 1
OG0002869 1.46881e-16 1.408117e-13 17.11249 3.020716 2.068343 3.976573 NA 0.9972651 1.7809 0.0007060544 NA 0.9972651 58.74824 58.21047 58.34608 0.04606443 0.04761332 0.04606443 0.4314879 0.4362812 0.4314879 0.5822785 0.6455696 0.5949367
OG0002870 7.769754e-14 6.973229e-14 11.62672 8.527281 4.086264 3.758516 NA 0.9999059 NA 0.4076596 NA 0.853736 58.05574 56.7851 55.80445 0.06278526 0.05988493 0.06278526 0.442111 0.4348954 0.442111 0.5 0.5151515 0.5
OG0002876 1.505497 5.865506 3.386224 8.453838 0.2956225 2.383891 NA 0.9999435 NA 0.9999434 NA 0.9999434 26.49868 30.03934 25.61894 0.6646173 0.5993779 0.6646173 0.4061673 0.4373265 0.4061673 0.96 0.96 0.96
OG0002877 0.1824911 4.637625 0.6219275 3.558924 1.666233 2.121669 NA 1 NA 1 NA 1 40.29257 37.6599 39.94479 0.3692422 0.4902803 0.3692422 0.4164714 0.4279197 0.4164714 0.6521739 0.6521739 0.6521739
OG0002880 0.1022937 4.572739 5.648078 5.106245 0.5541411 4.036513 NA 0.9800095 NA 0.8557976 NA 0.9800095 58.59887 58.62782 58.61419 0.1097168 0.1017938 0.1097168 0.4179563 0.4185197 0.4179563 0.557377 0.5737705 0.557377
OG0002881 2.599883 7.676056 7.490147 4.976831 2.539676 3.416498 NA 0.9994865 NA 0.1993113 NA 0.9994864 31.729 29.29561 30.44761 0.6079397 0.6150588 0.6079397 0.4271839 0.5047478 0.4271839 0.9166667 0.9583333 0.9166667
OG0002883 23.7642 21.28219 83.27796 76.44952 16.61779 22.57953 NA 0.5300806 NA 0.02366393 NA 0.9997579 53.99206 47.34 53.44962 0.08143562 0.4620021 0.08143562 0.4721129 0.6667516 0.4721129 0.7666667 0.8333333 0.8
OG0002884 8.037319 12.12138 50.48921 14.71926 14.39329 19.28164 NA 0.9997306 1.236137 1.942139e-06 NA 0.9998187 36.68105 33.66968 36.50415 0.3843163 0.4660452 0.3843163 0.4736132 0.5119546 0.4736132 0.9241379 0.937931 0.9103448
OG0002885 2.419735 2.309031 20.82233 8.156195 1.878566 1.212434 NA 0.8714371 NA 0.009678869 NA 0.59703 52.41398 54.9187 55.90169 0.08517367 0.09342019 0.08517367 0.4516228 0.4602212 0.4516228 0.7191781 0.7328767 0.7260274
OG0002886 0.03711796 0.07596694 6.798671 8.388077 14.5454 15.78212 NA 0.9979346 NA 0.9979347 NA 0.9979347 42.70737 41.00699 36.79744 0.4074118 0.3443567 0.4074118 0.3626761 0.3918049 0.3626761 0 0 0
OG0002887 19.7665 17.53209 4.468619 6.353643 6.285906 3.755948 NA 0.3764546 NA 0.9999251 NA 0.2951104 49.244 55.19927 55.02696 0.1285139 0.1252145 0.1285139 0.4407508 0.4304784 0.4407508 0.7361111 0.7361111 0.7361111
OG0002888 0.1138885 2.316337 10.16051 9.116301 0.07569809 1.014992 NA 1 NA 0.6889755 NA 1 59.60139 57.79603 57.75848 0.09737396 0.09300261 0.09737396 0.3779951 0.3739336 0.3779951 0.5 0.5 0.5
OG0002889 1.213075 5.873836 33.12911 34.22163 2.244772 20.19983 NA 0.9999089 NA 0.9993324 NA 0.9996665 57.25561 56.75869 56.89847 0.03313246 0.03506632 0.03313246 0.4741348 0.4744257 0.4741348 0.2592593 0.2592593 0.2592593
OG0002890 7.735395 16.1094 10.48342 16.00334 5.134855 6.975949 NA 0.9999726 NA 0.9999683 NA 0.9999699 59.47498 59.81275 58.93145 0.02979417 0.03047305 0.02979417 0.4687438 0.4605514 0.4687438 0.6805556 0.7083333 0.6944444
OG0002893 7.335751 16.20376 25.83346 12.84372 14.17451 39.29449 NA 0.9998592 NA 0.01086486 NA 0.9998593 47.6123 46.20225 49.45788 0.1329036 0.198131 0.1329036 0.4696782 0.4852389 0.4696782 0.6666667 0.6805556 0.6527778
OG0002895 0.01955846 1.015679 2.718165 1.620898 0.03138024 1.047563 NA 0.9997143 NA 0.4831166 NA 0.9997146 52.48097 56.0024 52.58547 0.2141434 0.3615652 0.2141434 0.334658 0.3937447 0.334658 0.2926829 0.3170732 0.2926829
OG0002899 0.1690942 0.1217413 3.596131 0.4253244 1.202695 0.2403293 NA 0.8869625 NA 0.03974979 NA 0.1865118 32.31341 33.01064 45.38602 0.3290884 0.5786419 0.3290884 0.3961627 0.4093171 0.3961627 0.9090909 0.9393939 0.9090909
OG0002900 9.31869 13.18266 19.11045 8.00348 8.102624 5.995659 NA 0.9955658 NA 0.02727529 NA 0.5531172 52.7266 53.24015 53.26807 0.08269941 0.0790736 0.08269941 0.4585087 0.4603308 0.4585087 0.2909091 0.3636364 0.3090909
OG0002902 7.097957 6.376192 8.238347 14.72215 4.70518 9.802209 NA 0.7913241 NA 0.9778783 NA 0.9778779 31.6229 32.98393 32.07631 0.5171497 0.5070408 0.5171497 0.4459243 0.4486725 0.4459243 0.7727273 0.7272727 0.8181818
OG0002903 1.314029 2.947593 5.353878 6.987442 0.09504307 5.728606 NA 0.9999613 NA 0.9999613 NA 0.9999613 44.56552 43.13747 43.07423 0.3328152 0.297485 0.3328152 0.3244804 0.2965655 0.3244804 0.7948718 0.7948718 0.7692308
OG0002904 0.9238831 0.3930881 5.203551 6.977868 1.074346 4.848664 NA 0.4383575 NA 0.9861782 NA 0.9861823 33.02264 34.34237 32.91721 0.55009 0.5532092 0.55009 0.5173398 0.5066596 0.5173398 0.9148936 0.9095745 0.9148936
OG0002905 -3.936047e-14 5.586556e-14 67.35389 50.17268 47.50401 52.48224 NA 0.9998502 NA 0.05754057 NA 0.9998502 38.13645 38.10651 39.73703 0.2708115 0.3252101 0.2708115 0.4771038 0.4785863 0.4771038 0.8636364 0.9545455 0.8409091
OG0002906 -4.667544e-16 6.848808e-16 1 7.301477e-16 2 1 NA 0.9999835 NA 0.2272359 NA 0.5834273 61 61 61 0.1809749 0.1542816 0.1809749 0.280415 0.2738255 0.280415 0.3939394 0.3939394 0.4242424
OG0002907 8.167295 24.1167 27.83215 14.73935 2.070153 2.046928 NA 0.9998079 NA 0.01638259 NA 0.8815356 38.99694 32.3509 33.73205 0.4692428 0.4865746 0.4692428 0.4792665 0.4826524 0.4792665 0.8809524 0.8571429 0.9047619
OG0002908 1.917233 6.849914 5.561749 5.402668 0.118683 2.288865 NA 0.999747 NA 0.9716312 NA 0.9997385 50.67034 52.62602 54.40369 0.09792803 0.1349464 0.09792803 0.4229275 0.4156998 0.4229275 0.5806452 0.7096774 0.6774194
OG0002909 10.29343 13.42923 41.48821 33.7246 38.01031 46.68366 NA 0.9948767 NA 0.02592175 NA 0.9948769 38.96941 39.69069 39.66457 0.282402 0.2839139 0.282402 0.4888463 0.4886344 0.4888463 0.9684211 0.9368421 0.9473684
OG0002910 -4.711571e-16 4.429354e-13 3.034072 1.054059 1.022659 1.035948 NA 0.9999324 NA 0.2536647 NA 0.9998924 27.80232 26.91345 27.8845 0.7240073 0.7645035 0.7240073 0.2815326 0.3134932 0.2815326 0.9315068 0.9726027 0.9452055
OG0002911 3.911925 4.214523 30.73356 18.14605 31.86806 39.29697 NA 0.9142104 1.60968 0.0001868302 NA 0.9984669 35.50802 33.66852 40.6247 0.3975513 0.5071045 0.3975513 0.4627958 0.5554306 0.4627958 0.9285714 0.9387755 0.9183673
OG0002912 3.911925 4.214523 30.73356 18.14605 31.86806 39.29697 NA 0.9142104 1.60968 0.0001868302 NA 0.9984669 35.50802 33.66852 40.6247 0.3975513 0.5071045 0.3975513 0.4627958 0.5554306 0.4627958 0.9285714 0.9387755 0.9183673
OG0002914 0.1424828 5.094278 8.364266 18.9835 3.208253 11.84845 NA 0.9997753 NA 0.999775 NA 0.999775 58.08033 57.98444 58.59878 0.0587185 0.06602536 0.0587185 0.4293374 0.4342589 0.4293374 0.6 0.6571429 0.6285714
OG0002915 2.979612 9.277236 12.9165 6.010771 23.25243 23.02817 NA 0.999788 NA 0.07210798 NA 0.9997931 54.08592 54.28848 55.88633 0.1688288 0.1294247 0.1688288 0.3926504 0.4189739 0.3926504 1 1 0.5
OG0002916 47.60075 52.76578 19.75531 14.0068 2.721958 3.356573 NA 0.9994967 NA 0.2171111 NA 0.9994967 49.82317 42.64339 39.54019 0.3344767 0.2795341 0.3344767 0.459927 0.4694261 0.459927 0.7804878 0.8292683 0.7804878
OG0002917 60.51751 36.22373 6.874255 9.048195 3.28427e-14 5.121421e-14 0.7193912 0.0009388404 NA 0.9999776 NA 0.9999776 40.6201 43.49576 40.561 0.4036609 0.3577063 0.4036609 0.4404275 0.4466506 0.4404275 0.8571429 0.8857143 0.9285714
OG0002918 2.486133 8.664523 14.54742 24.00363 1.867258 8.329589 NA 0.9999143 NA 0.9999978 NA 0.9999307 47.33651 50.08494 49.56726 0.1445024 0.139888 0.1445024 0.4674939 0.4711377 0.4674939 0.7025316 0.721519 0.7025316
OG0002919 7.767929e-16 -4.803479e-15 4.058198 1.650528 1.40492 2.99725 NA 1 NA 0.2030509 NA 1 46.45552 43.09454 45.87471 0.4084359 0.4597932 0.4084359 0.3824968 0.4356339 0.3824968 0.7755102 0.8367347 0.7959184
OG0002920 0.08402467 1.042744 1.399285 2.351547 0.5086962 4.450315 NA 0.9980516 NA 0.9980519 NA 0.9980516 53.24522 52.86085 53.49327 0.1393794 0.1519142 0.1393794 0.3738568 0.3746497 0.3738568 0.4414414 0.4414414 0.4504505
OG0002921 5.443032 5.784012 19.01121 18.09216 27.49315 24.71855 NA 0.8857292 NA 0.6215287 NA 0.2564444 31.76239 31.13676 33.70796 0.4349166 0.4841742 0.4349166 0.4646059 0.5032232 0.4646059 0.9230769 0.9230769 0.8461538
OG0002922 2.477624 6.978458 30.00132 11.10055 10.09915 22.92786 NA 0.9995602 1.244675 0.0003873381 NA 0.9995603 52.76726 50.54303 49.77344 0.1962242 0.1650133 0.1962242 0.478714 0.4756222 0.478714 0.5769231 0.5961538 0.5384615
OG0002923 0.0160094 0.005554495 4.041123 7.031448 0.005148672 0.994638 NA 0.9688953 NA 0.9999953 NA 0.9999951 37.85082 37.41446 37.98967 0.525816 0.5361605 0.525816 0.2680006 0.2951612 0.2680006 0.9117647 0.9117647 0.9117647
OG0002924 3.439899 7.083456 11.20358 19.17164 5.023589 7.013965 NA 1 NA 1 NA 1 55.26878 55.02111 55.15031 0.05726201 0.0601132 0.05726201 0.4643934 0.4666977 0.4643934 0.21875 0.21875 0.21875
OG0002925 2.824641 4.772385 21.14863 15.87176 8.141883 7.569588 NA 0.9998625 NA 0.09123528 NA 0.5877625 37.22671 36.37914 37.38381 0.3315788 0.3138598 0.3315788 0.4477746 0.4805116 0.4477746 0.8139535 0.8255814 0.8023256
OG0002927 2.201825 3.758334 9.325924 3.55364 0.09903671 1.743876 NA 0.9997711 NA 0.08834263 NA 0.9997712 32.84446 31.7085 34.17419 0.4793937 0.5511812 0.4793937 0.4196325 0.4871471 0.4196325 0.875 0.9 0.8916667
OG0002928 17.19026 9.807767 9.184605 8.065913 5.581494 4.486382 NA 0.02325475 NA 0.4964266 NA 0.4408722 42.89186 42.98894 45.10394 0.2718547 0.3305531 0.2718547 0.4453614 0.4134448 0.4453614 0.6578947 0.6842105 0.6842105
OG0002929 0.9585384 0.2085257 4.125178 4.120022 0.02400627 0.01198047 NA 0.3456854 NA 0.8931931 NA 0.9502124 45.4713 39.99771 44.26226 0.2936328 0.3067776 0.2936328 0.3438113 0.3826921 0.3438113 0.75 0.75 0.7727273
OG0002930 2.268352 5.835688 30.6844 12.78415 3.383545 8.781961 NA 0.9997246 NA 0.002202296 NA 0.9997247 52.76542 51.01586 58.1006 0.07596551 0.1593949 0.07596551 0.419199 0.4302572 0.419199 0.6129032 0.6451613 0.6774194
OG0002931 3.88917 4.564989 22.29952 27.86337 0.7623975 10.37676 NA 0.9539582 NA 0.948721 NA 0.99928 29.27305 29.87908 29.67781 0.5689227 0.5602656 0.5689227 0.6024089 0.5781126 0.6024089 0.9736842 0.9539474 0.9736842
OG0002932 1.011406 0.2030432 1.516526 1.597226 1.790701 4.399058 NA 0.1397879 NA 0.9999873 NA 0.9999833 55.54496 56.31634 61 0.1691539 0.2116728 0.1691539 0.3072795 0.3102841 0.3072795 0.5490196 0.5490196 0.5490196
OG0002933 0.7145758 1.88621 20.24085 36.696 10.14353 13.44431 NA 0.9999456 NA 0.999946 NA 0.9999456 58.80819 58.1909 56.67778 0.06729805 0.04763562 0.06729805 0.4492384 0.4503756 0.4492384 0.5925926 0.5185185 0.5925926
OG0002934 0.5174239 6.264208 12.93214 8.295279 1.636105 4.215159 NA 0.9999948 NA 0.167495 NA 0.9999946 49.38074 53.12895 46.96107 0.2414679 0.2153964 0.2414679 0.4103621 0.3770812 0.4103621 0.6507937 0.7301587 0.6666667
OG0002935 0.9212505 1.773598 7.704402 2.620769 5.508031 5.429148 NA 0.9997981 NA 0.001952323 NA 0.934622 52.22886 38.41503 50.79375 0.2410679 0.3738985 0.2410679 0.3756232 0.5204687 0.3756232 0.8444444 0.8666667 0.8222222
OG0002936 4.049406 4.293103 18.74083 13.70209 1.429465e-13 -2.550877e-13 NA 0.9999693 NA 0.02624898 NA 0.9999109 45.61761 41.43918 44.66147 0.2029853 0.476778 0.2029853 0.4399967 0.5023708 0.4399967 1 1 1
OG0002937 2.165371 2.768805 16.04445 5.230515 2.57687 2.588801 NA 0.9995219 NA 0.002276011 NA 0.8526701 40.68032 37.58665 40.24103 0.4488466 0.4050002 0.4488466 0.5271114 0.5088463 0.5271114 0.7460317 0.8730159 0.7777778
OG0002940 2.090492 0.006281004 1.079656 1.983867 1.020171 0.9243814 NA 0.1632007 NA 0.9913183 NA 0.9049075 49.18493 49.63657 51.12342 0.2470218 0.2931098 0.2470218 0.3107667 0.3468157 0.3107667 0.7377049 0.6721311 0.7213115
OG0002942 0.5254827 5.243808 17.99811 9.0018 0.05901263 5.062704 NA 0.9992418 NA 0.08636919 NA 0.9992422 41.4874 43.4218 45.37587 0.2469582 0.2941895 0.2469582 0.4131361 0.4196743 0.4131361 0.8392857 0.875 0.8035714
OG0002943 0.1484426 4.036685 4.781821 5.311288 0.1752046 2.039747 NA 1 NA 1 NA 1 50.18779 45.03929 44.53925 0.250812 0.233965 0.250812 0.4086062 0.4075268 0.4086062 0.76 0.784 0.76
OG0002944 16.30238 15.62562 19.57364 30.23661 15.87532 15.5852 NA 0.6851349 NA 0.9997949 NA 0.7622164 38.08979 37.62789 38.1954 0.2766376 0.3061639 0.2766376 0.4665677 0.4725721 0.4665677 0.9253731 0.9701493 0.9552239
OG0002945 15.34364 19.33781 46.22966 34.48019 23.83981 34.38595 NA 0.9995945 NA 0.06911674 NA 0.9995945 39.26571 37.63052 40.47329 0.275581 0.3377328 0.275581 0.4669642 0.4977628 0.4669642 0.93 0.92 0.9
OG0002946 7.714196 12.2784 1.85447 5.620353 2.012844 5.791773 NA 0.9998375 NA 0.999913 NA 0.9998383 57.22314 58.28989 61 0.1555225 0.1835712 0.1555225 0.3126912 0.3255971 0.3126912 0.5 0.5172414 0.5344828
