OG BGM_model BGM_dNdS BGM_t BGM_dN BGM_dS BAT_model BAT_dNdS BAT_t BAT_dN BAT_dS BRO_model BRO_dNdS BRO_t BRO_dN BRO_dS
OG0002900 general 0.1138 0.006 0.0007 0.0058 general 0.1138 0.010 0.0011 0.0095 general 0.1138 0.014 0.0014 0.0127
OG0002902 general 0.0813 0.015 0.0022 0.0269 general 0.0813 0.014 0.0021 0.0264 general 0.0813 0.027 0.0041 0.0509
OG0002903 general 0.1988 0.014 0.0023 0.0116 general 0.1988 0.012 0.0021 0.0107 general 0.1988 0.027 0.0046 0.0232
OG0002904 general 0.0358 0.008 0.0005 0.0141 general 0.0358 0.017 0.0010 0.0287 general 0.0358 0.018 0.0011 0.0303
OG0002905 alternative 0.1326 0.043 0.0068 0.0511 alternative 0.3225 0.049 0.0119 0.0370 alternative 0.1662 0.057 0.0101 0.0607
OG0002906 general 0.0564 0.009 0.0006 0.0107 general 0.0564 0.000 0.0000 0.0000 general 0.0564 0.003 0.0002 0.0035
OG0002907 alternative 0.0180 0.004 0.0001 0.0075 alternative 0.3299 0.055 0.0138 0.0419 alternative 0.1361 0.096 0.0158 0.1163
OG0002908 general 0.1257 0.003 0.0003 0.0026 general 0.1257 0.010 0.0011 0.0090 general 0.1257 0.012 0.0014 0.0110
OG0002909 general 0.0860 0.029 0.0030 0.0344 general 0.0860 0.002 0.0002 0.0024 general 0.0860 0.026 0.0027 0.0314
OG0002910 general 0.0522 0.012 0.0014 0.0266 general 0.0522 0.000 0.0000 0.0000 general 0.0522 0.017 0.0020 0.0376
OG0002911 alternative 0.2771 0.111 0.0259 0.0935 alternative 1.9860 0.008 0.0029 0.0015 alternative 0.2064 0.061 0.0125 0.0605
OG0002912 alternative 0.1803 0.313 0.0514 0.2848 alternative 1.7635 0.000 0.0000 0.0000 alternative 0.6802 0.319 0.0961 0.1413
OG0002914 general 0.2265 0.012 0.0020 0.0086 general 0.2265 0.012 0.0020 0.0087 general 0.2265 0.021 0.0035 0.0155
OG0002915 general 0.2239 0.080 0.0133 0.0595 general 0.2239 0.010 0.0017 0.0074 general 0.2239 0.010 0.0016 0.0074
OG0002916 alternative 0.0001 0.003 0.0000 0.0047 alternative 0.3385 0.246 0.0587 0.1734 alternative 0.0139 0.042 0.0009 0.0653
OG0002917 alternative 2.2657 0.000 0.0000 0.0000 alternative 0.4355 0.235 0.0634 0.1456 alternative 0.3634 0.015 0.0038 0.0105
OG0002918 general 0.1628 0.004 0.0007 0.0042 general 0.1628 0.007 0.0012 0.0074 general 0.1628 0.003 0.0005 0.0033
OG0002919 general 0.0083 0.026 0.0003 0.0408 general 0.0083 0.003 0.0000 0.0043 general 0.0083 0.040 0.0005 0.0625
OG0002920 general 0.0379 0.009 0.0004 0.0103 general 0.0379 0.003 0.0002 0.0040 general 0.0379 0.000 0.0000 0.0000
OG0002921 alternative 0.2582 0.051 0.0110 0.0424 alternative 0.0896 0.012 0.0013 0.0150 alternative 0.1326 0.034 0.0049 0.0372
OG0002922 general 0.1897 0.033 0.0055 0.0289 general 0.1897 0.011 0.0019 0.0098 general 0.1897 0.035 0.0059 0.0310
OG0002923 general 0.2668 0.002 0.0005 0.0020 general 0.2668 0.005 0.0012 0.0046 general 0.2668 0.011 0.0027 0.0101
OG0002924 general 0.3228 0.005 0.0011 0.0033 general 0.3228 0.006 0.0013 0.0039 general 0.3228 0.009 0.0021 0.0065
OG0002925 general 0.1078 0.010 0.0014 0.0132 general 0.1078 0.006 0.0008 0.0076 general 0.1078 0.016 0.0023 0.0217
OG0002927 general 0.0164 0.002 0.0001 0.0056 general 0.0164 0.015 0.0006 0.0349 general 0.0164 0.054 0.0020 0.1235
OG0002928 general 0.1626 0.020 0.0033 0.0202 general 0.1626 0.052 0.0085 0.0522 general 0.1626 0.022 0.0035 0.0217
OG0002929 general 0.2498 0.002 0.0004 0.0016 general 0.2498 0.006 0.0012 0.0047 general 0.2498 0.018 0.0038 0.0151
OG0002930 general 0.2487 0.014 0.0026 0.0104 general 0.2487 0.023 0.0043 0.0171 general 0.2487 0.061 0.0112 0.0451
OG0002931 general 0.0489 0.008 0.0007 0.0141 general 0.0489 0.015 0.0013 0.0262 general 0.0489 0.074 0.0062 0.1278
OG0002932 general 0.1252 0.035 0.0040 0.0319 general 0.1252 0.022 0.0025 0.0200 general 0.1252 0.000 0.0000 0.0000
OG0002933 general 0.3682 0.020 0.0047 0.0129 general 0.3682 0.012 0.0028 0.0076 general 0.3682 0.042 0.0100 0.0272
OG0002934 general 0.1865 0.010 0.0017 0.0093 general 0.1865 0.007 0.0012 0.0063 general 0.1865 0.025 0.0043 0.0231
OG0002935 general 0.1252 0.038 0.0052 0.0415 general 0.1252 0.012 0.0016 0.0129 general 0.1252 0.000 0.0000 0.0000
OG0002936 general 0.1695 0.004 0.0006 0.0034 general 0.1695 0.011 0.0016 0.0096 general 0.1695 0.037 0.0057 0.0336
OG0002937 general 0.0483 0.011 0.0007 0.0139 general 0.0483 0.012 0.0008 0.0159 general 0.0483 0.027 0.0017 0.0347
OG0002940 general 0.0324 0.006 0.0003 0.0082 general 0.0324 0.013 0.0006 0.0178 general 0.0324 0.007 0.0003 0.0094
OG0002942 general 0.1145 0.005 0.0007 0.0058 general 0.1145 0.006 0.0008 0.0072 general 0.1145 0.022 0.0030 0.0263
OG0002943 general 0.0518 0.003 0.0002 0.0041 general 0.0518 0.009 0.0006 0.0123 general 0.0518 0.010 0.0008 0.0147
OG0002944 general 0.1209 0.017 0.0027 0.0222 general 0.1209 0.022 0.0035 0.0291 general 0.1209 0.034 0.0054 0.0444
OG0002945 general 0.1988 0.047 0.0091 0.0460 general 0.1988 0.021 0.0040 0.0200 general 0.1988 0.055 0.0105 0.0530
OG0002946 general 0.0745 0.011 0.0009 0.0123 general 0.0745 0.041 0.0034 0.0458 general 0.0745 0.000 0.0000 0.0000
OG0002947 alternative 0.0292 0.007 0.0003 0.0097 alternative 0.2965 0.050 0.0113 0.0382 alternative 0.0146 0.016 0.0004 0.0249
OG0002948 general 0.0868 0.005 0.0005 0.0063 general 0.0868 0.006 0.0006 0.0074 general 0.0868 0.060 0.0060 0.0696
OG0002949 alternative 0.1574 0.323 0.0569 0.3616 alternative 0.2102 0.135 0.0277 0.1317 alternative 0.0691 0.093 0.0096 0.1388
OG0002950 general 0.0523 0.004 0.0003 0.0049 general 0.0523 0.006 0.0004 0.0083 general 0.0523 0.014 0.0009 0.0181
OG0002951 general 0.2801 0.011 0.0023 0.0083 general 0.2801 0.009 0.0019 0.0067 general 0.2801 0.013 0.0027 0.0097
OG0002953 general 0.1115 0.002 0.0003 0.0025 general 0.1115 0.004 0.0005 0.0048 general 0.1115 0.014 0.0017 0.0152
OG0002954 alternative 0.2150 0.009 0.0020 0.0094 alternative 0.3409 0.005 0.0013 0.0038 alternative 0.5070 0.016 0.0045 0.0090
OG0002955 general 0.0802 0.032 0.0033 0.0407 general 0.0802 0.014 0.0014 0.0177 general 0.0802 0.019 0.0019 0.0242
OG0002956 general 0.0929 0.017 0.0016 0.0175 general 0.0929 0.020 0.0018 0.0198 general 0.0929 0.016 0.0015 0.0165
OG0002957 general 0.1377 0.042 0.0054 0.0392 general 0.1377 0.000 0.0000 0.0000 general 0.1377 0.056 0.0073 0.0529
OG0002958 general 0.1479 0.004 0.0006 0.0037 general 0.1479 0.004 0.0005 0.0037 general 0.1479 0.023 0.0030 0.0202
OG0002959 alternative 0.0848 0.016 0.0019 0.0229 alternative 999.0000 0.002 0.0006 0.0000 alternative 0.1026 0.037 0.0049 0.0481
OG0002960 general 0.3592 0.021 0.0051 0.0141 general 0.3592 0.044 0.0104 0.0290 general 0.3592 0.023 0.0055 0.0154
OG0002961 general 0.2321 0.008 0.0013 0.0058 general 0.2321 0.008 0.0014 0.0060 general 0.2321 0.013 0.0023 0.0100
OG0002962 general 0.2124 0.030 0.0058 0.0272 general 0.2124 0.014 0.0027 0.0129 general 0.2124 0.031 0.0060 0.0281
OG0002963 general 0.1097 0.008 0.0008 0.0077 general 0.1097 0.008 0.0008 0.0077 general 0.1097 0.010 0.0011 0.0103
OG0002965 general 0.0921 0.010 0.0012 0.0127 general 0.0921 0.007 0.0008 0.0089 general 0.0921 0.030 0.0035 0.0382
OG0002967 alternative 0.5344 0.013 0.0036 0.0067 alternative 0.3406 0.026 0.0060 0.0176 alternative 0.0001 0.001 0.0000 0.0021
OG0002968 general 0.1968 0.015 0.0028 0.0142 general 0.1968 0.028 0.0052 0.0267 general 0.1968 0.031 0.0058 0.0296
OG0002970 general 0.2861 0.162 0.0347 0.1213 general 0.2861 0.001 0.0002 0.0007 general 0.2861 0.009 0.0020 0.0068
OG0002971 general 0.1570 0.017 0.0028 0.0181 general 0.1570 0.034 0.0057 0.0365 general 0.1570 0.163 0.0271 0.1723
OG0002973 general 0.0306 0.014 0.0007 0.0218 general 0.0306 0.007 0.0004 0.0119 general 0.0306 0.049 0.0024 0.0786
OG0002974 general 0.0566 0.002 0.0001 0.0020 general 0.0566 0.013 0.0009 0.0159 general 0.0566 0.010 0.0007 0.0119
OG0002979 general 0.3229 0.088 0.0195 0.0604 general 0.3229 0.014 0.0030 0.0094 general 0.3229 0.065 0.0145 0.0448
OG0002980 alternative 0.3990 0.074 0.0181 0.0454 alternative 0.7007 0.008 0.0025 0.0036 alternative 4.3909 0.008 0.0032 0.0007
OG0002981 general 0.3263 0.005 0.0011 0.0035 general 0.3263 0.004 0.0010 0.0030 general 0.3263 0.002 0.0005 0.0015
OG0002982 general 0.0457 0.006 0.0008 0.0168 general 0.0457 0.001 0.0002 0.0033 general 0.0457 0.013 0.0017 0.0367
OG0002984 alternative 0.3539 0.024 0.0052 0.0148 alternative 0.9513 0.037 0.0120 0.0127 alternative 2.1326 0.059 0.0231 0.0108
OG0002986 general 0.1498 0.006 0.0009 0.0059 general 0.1498 0.018 0.0029 0.0191 general 0.1498 0.013 0.0020 0.0136
OG0002987 alternative 0.1478 0.010 0.0015 0.0099 alternative 0.6519 0.240 0.0713 0.1094 alternative 0.2685 0.026 0.0054 0.0200
OG0002988 general 0.1876 0.006 0.0011 0.0061 general 0.1876 0.066 0.0129 0.0687 general 0.1876 0.047 0.0092 0.0490
OG0002989 alternative 0.0001 0.010 0.0000 0.0135 alternative 0.3196 0.017 0.0036 0.0113 alternative 0.2530 0.033 0.0063 0.0249
OG0002993 general 0.4449 0.005 0.0014 0.0031 general 0.4449 0.002 0.0004 0.0010 general 0.4449 0.016 0.0042 0.0094
OG0002994 general 0.1056 0.008 0.0011 0.0101 general 0.1056 0.003 0.0003 0.0032 general 0.1056 0.030 0.0039 0.0371
OG0002995 alternative 0.2717 0.137 0.0289 0.1063 alternative 0.8905 0.073 0.0236 0.0265 alternative 1.2539 0.062 0.0215 0.0172
OG0002996 general 0.4237 0.013 0.0032 0.0076 general 0.4237 0.040 0.0098 0.0232 general 0.4237 0.097 0.0237 0.0560
OG0002998 general 0.0674 0.006 0.0006 0.0089 general 0.0674 0.010 0.0010 0.0143 general 0.0674 0.024 0.0022 0.0328
OG0002999 general 0.0260 0.006 0.0003 0.0110 general 0.0260 0.008 0.0004 0.0143 general 0.0260 0.016 0.0008 0.0297
OG0003000 general 0.2551 0.036 0.0073 0.0287 general 0.2551 0.006 0.0013 0.0051 general 0.2551 0.026 0.0052 0.0204
OG0003001 general 0.2648 0.028 0.0059 0.0222 general 0.2648 0.028 0.0058 0.0219 general 0.2648 0.058 0.0123 0.0465
OG0003002 general 0.3000 0.025 0.0054 0.0181 general 0.3000 0.025 0.0054 0.0178 general 0.3000 0.000 0.0000 0.0000
OG0003003 alternative 0.2210 0.144 0.0289 0.1306 alternative 2.2422 0.000 0.0000 0.0000 alternative 0.0001 0.018 0.0000 0.0317
OG0003004 general 0.0477 0.013 0.0008 0.0165 general 0.0477 0.003 0.0002 0.0037 general 0.0477 0.001 0.0000 0.0010
OG0003006 alternative 0.0001 0.008 0.0000 0.0168 alternative 0.0406 0.016 0.0012 0.0290 alternative 2.3871 0.000 0.0000 0.0000
OG0003007 alternative 0.0405 0.010 0.0005 0.0131 alternative 0.0614 0.005 0.0004 0.0057 alternative 0.4633 0.105 0.0278 0.0600
OG0003008 general 0.2296 0.010 0.0018 0.0076 general 0.2296 0.009 0.0017 0.0072 general 0.2296 0.015 0.0028 0.0121
OG0003012 general 0.0404 0.011 0.0005 0.0123 general 0.0404 0.009 0.0004 0.0097 general 0.0404 0.024 0.0011 0.0266
OG0003013 general 0.0751 0.005 0.0005 0.0060 general 0.0751 0.007 0.0007 0.0089 general 0.0751 0.029 0.0027 0.0355
OG0003014 general 0.1095 0.006 0.0006 0.0052 general 0.1095 0.009 0.0009 0.0086 general 0.1095 0.047 0.0047 0.0429
OG0003016 general 0.2659 0.029 0.0065 0.0244 general 0.2659 0.043 0.0097 0.0363 general 0.2659 0.104 0.0232 0.0872
OG0003017 alternative 0.0001 0.006 0.0000 0.0098 alternative 0.0501 0.008 0.0005 0.0105 alternative 0.2169 0.202 0.0378 0.1743
OG0003020 alternative 0.1873 0.136 0.0318 0.1701 alternative 2.4906 0.000 0.0000 0.0000 alternative 0.0513 0.019 0.0023 0.0448
OG0003021 alternative 0.1950 0.004 0.0008 0.0039 alternative 0.4423 0.246 0.0636 0.1437 alternative 0.1227 0.041 0.0052 0.0422
OG0003022 alternative 0.3259 0.009 0.0020 0.0062 alternative 0.1744 0.011 0.0016 0.0094 alternative 0.1378 0.025 0.0033 0.0243
OG0003024 general 0.0328 0.006 0.0002 0.0073 general 0.0328 0.014 0.0006 0.0181 general 0.0328 0.012 0.0005 0.0151
OG0003025 general 0.2617 0.005 0.0009 0.0034 general 0.2617 0.002 0.0005 0.0018 general 0.2617 0.012 0.0023 0.0090
OG0003026 general 0.0600 0.006 0.0004 0.0071 general 0.0600 0.010 0.0007 0.0122 general 0.0600 0.017 0.0013 0.0213
OG0003028 general 0.1001 0.020 0.0021 0.0207 general 0.1001 0.014 0.0015 0.0146 general 0.1001 0.024 0.0025 0.0246
OG0003029 general 0.0623 0.017 0.0016 0.0253 general 0.0623 0.015 0.0014 0.0224 general 0.0623 0.060 0.0054 0.0871
OG0003030 alternative 0.0001 0.005 0.0000 0.0080 alternative 0.2236 0.007 0.0014 0.0061 alternative 0.3193 0.253 0.0593 0.1858
OG0003032 general 0.0688 0.002 0.0002 0.0036 general 0.0688 0.005 0.0007 0.0107 general 0.0688 0.008 0.0012 0.0174
OG0003033 general 0.3168 0.061 0.0154 0.0486 general 0.3168 0.003 0.0006 0.0020 general 0.3168 0.128 0.0322 0.1018
OG0003034 general 0.0089 0.011 0.0002 0.0189 general 0.0089 0.010 0.0002 0.0173 general 0.0089 0.023 0.0004 0.0402
OG0003035 general 0.0097 0.005 0.0001 0.0065 general 0.0097 0.012 0.0002 0.0171 general 0.0097 0.040 0.0005 0.0569
OG0003036 general 0.0548 0.005 0.0006 0.0115 general 0.0548 0.005 0.0006 0.0114 general 0.0548 0.024 0.0029 0.0537
OG0003037 general 0.1770 0.012 0.0022 0.0123 general 0.1770 0.009 0.0016 0.0093 general 0.1770 0.067 0.0117 0.0660
OG0003039 general 0.0411 0.003 0.0002 0.0038 general 0.0411 0.007 0.0004 0.0096 general 0.0411 0.009 0.0005 0.0125
OG0003040 general 0.0546 0.007 0.0005 0.0092 general 0.0546 0.008 0.0005 0.0098 general 0.0546 0.029 0.0021 0.0380
OG0003041 general 0.2275 0.024 0.0051 0.0223 general 0.2275 0.155 0.0329 0.1445 general 0.2275 0.049 0.0104 0.0456
OG0003045 general 0.0678 0.007 0.0010 0.0144 general 0.0678 0.001 0.0001 0.0021 general 0.0678 0.018 0.0024 0.0352
OG0003046 alternative 999.0000 0.001 0.0005 0.0000 alternative 0.7511 0.070 0.0217 0.0289 alternative 0.0001 0.004 0.0000 0.0065
OG0003047 general 0.0361 0.045 0.0026 0.0726 general 0.0361 0.006 0.0004 0.0104 general 0.0361 0.019 0.0011 0.0305
OG0003049 general 0.1185 0.006 0.0010 0.0084 general 0.1185 0.000 0.0000 0.0000 general 0.1185 0.009 0.0014 0.0119
OG0003051 general 0.0437 0.005 0.0006 0.0143 general 0.0437 0.005 0.0006 0.0141 general 0.0437 0.004 0.0006 0.0127
OG0003052 general 0.0517 0.004 0.0004 0.0080 general 0.0517 0.003 0.0003 0.0066 general 0.0517 0.000 0.0000 0.0000
OG0003054 alternative 0.1259 0.008 0.0011 0.0088 alternative 0.0881 0.012 0.0012 0.0140 alternative 0.4650 0.056 0.0149 0.0320
OG0003055 general 0.1465 0.017 0.0027 0.0188 general 0.1465 0.015 0.0025 0.0168 general 0.1465 1.016 0.1666 1.1373
OG0003056 general 0.0638 0.122 0.0180 0.2817 general 0.0638 0.041 0.0061 0.0954 general 0.0638 0.025 0.0036 0.0569
OG0003057 general 0.1647 0.008 0.0012 0.0071 general 0.1647 0.006 0.0009 0.0054 general 0.1647 0.047 0.0067 0.0404
OG0003058 general 0.0235 0.006 0.0002 0.0095 general 0.0235 0.010 0.0003 0.0141 general 0.0235 0.017 0.0006 0.0252
OG0003059 general 0.0631 0.008 0.0007 0.0108 general 0.0631 0.007 0.0006 0.0100 general 0.0631 0.036 0.0031 0.0494
OG0003060 general 0.0801 0.002 0.0002 0.0019 general 0.0801 0.006 0.0005 0.0058 general 0.0801 0.012 0.0010 0.0121
OG0003063 general 0.1606 0.009 0.0012 0.0076 general 0.1606 0.007 0.0009 0.0055 general 0.1606 0.011 0.0014 0.0089
OG0003064 general 0.0995 0.002 0.0002 0.0019 general 0.0995 0.006 0.0007 0.0071 general 0.0995 0.005 0.0006 0.0063
OG0003065 alternative 0.1144 0.004 0.0006 0.0048 alternative 0.1231 0.007 0.0010 0.0083 alternative 0.1974 0.034 0.0062 0.0315
OG0003067 general 0.0519 0.006 0.0006 0.0113 general 0.0519 0.014 0.0015 0.0281 general 0.0519 0.030 0.0032 0.0619
OG0003068 alternative 1.5885 0.007 0.0024 0.0015 alternative 0.0366 0.005 0.0002 0.0066 alternative 0.3874 0.005 0.0013 0.0033
OG0003069 general 0.1373 0.005 0.0006 0.0045 general 0.1373 0.006 0.0008 0.0056 general 0.1373 0.026 0.0033 0.0242
OG0003070 general 0.0359 0.003 0.0002 0.0062 general 0.0359 0.005 0.0003 0.0091 general 0.0359 0.009 0.0006 0.0174
OG0003072 general 0.0475 0.010 0.0005 0.0104 general 0.0475 0.008 0.0004 0.0077 general 0.0475 0.020 0.0010 0.0204
OG0003074 alternative 0.0001 0.012 0.0000 0.0183 alternative 1.6454 0.000 0.0000 0.0000 alternative 0.5379 0.223 0.0628 0.1167
OG0003075 general 0.1515 0.022 0.0031 0.0203 general 0.1515 0.022 0.0031 0.0204 general 0.1515 0.038 0.0054 0.0357
