OG BAT_1+2_gc BAT_3rd_gc BRO_1+2_gc BRO_3rd_gc BGM_1+2_gc BGM_3rd_gc
OG0002893 43.35 74.32 43.99 76.06 42.85 69.35
OG0002895 39.41 36.45 39.85 42.11 38.76 36.84
OG0002899 56.03 91.49 56.38 92.91 58.29 78.72
OG0002900 44.72 37.95 44.76 39.64 44.60 39.00
OG0002902 56.60 94.43 56.26 93.63 56.42 93.50
OG0002903 56.33 77.22 55.06 79.75 55.38 76.58
OG0002904 54.11 92.04 54.11 92.84 53.84 92.08
OG0002905 53.41 85.94 53.75 86.74 55.91 83.42
OG0002906 41.67 44.83 41.96 46.15 41.96 46.15
OG0002907 54.16 88.64 57.21 92.33 56.91 91.85
OG0002908 41.85 67.67 41.60 69.42 41.34 65.83
OG0002909 55.31 83.86 57.63 83.42 55.35 82.86
OG0002910 56.08 95.27 55.74 97.30 55.70 94.00
OG0002911 53.99 90.49 56.04 93.87 55.92 87.17
OG0002912 39.81 40.74 42.95 39.93 46.76 60.75
OG0002914 49.39 60.61 48.98 61.71 49.59 61.22
OG0002915 53.68 66.87 51.64 65.75 56.67 62.00
OG0002916 49.36 72.65 48.31 80.80 49.31 84.63
OG0002917 62.19 78.51 52.26 85.19 51.25 86.67
OG0002918 50.05 74.16 50.51 71.84 50.74 71.65
OG0002919 45.17 78.62 44.86 80.27 45.17 78.62
OG0002920 46.37 53.14 45.95 56.28 45.56 55.02
OG0002921 59.30 93.02 59.08 93.09 63.28 91.27
OG0002922 47.94 62.24 49.43 69.79 51.50 72.75
OG0002923 54.90 88.81 53.85 88.81 54.55 88.81
OG0002924 44.72 38.01 44.65 38.04 44.81 38.10
OG0002925 46.67 84.67 52.53 85.11 46.76 84.82
OG0002927 45.71 89.93 46.08 91.79 45.52 90.30
OG0002928 56.37 81.13 55.26 78.95 55.32 78.14
OG0002929 50.00 79.23 50.00 79.26 50.00 79.89
OG0002930 51.15 62.69 52.27 68.68 47.73 59.77
OG0002931 59.33 96.51 60.06 95.15 58.72 96.55
OG0002932 45.95 61.14 43.15 62.90 42.31 62.82
OG0002933 44.49 48.79 42.92 42.49 47.52 50.32
OG0002934 55.33 74.26 56.22 72.94 54.29 77.91
OG0002935 46.73 66.53 48.13 80.37 46.80 68.02
OG0002936 50.00 71.46 56.00 79.00 50.85 72.95
OG0002937 49.83 80.77 49.83 86.01 52.29 81.70
OG0002940 47.44 76.28 47.13 73.42 47.44 75.00
OG0002942 50.30 81.31 49.63 80.10 49.38 77.78
OG0002943 47.60 72.16 49.15 78.23 49.15 77.89
OG0002944 52.55 82.88 49.66 83.37 48.07 80.98
OG0002945 54.57 85.13 54.59 87.45 53.49 84.22
OG0002946 43.75 61.03 44.63 61.07 44.97 60.40
OG0002947 45.68 72.57 46.30 72.17 46.24 72.98
OG0002948 53.49 72.93 54.60 78.49 52.03 79.67
OG0002949 49.19 86.59 48.45 93.52 44.72 86.84
OG0002950 50.31 77.57 51.89 83.60 50.42 78.28
OG0002951 46.58 67.47 47.74 74.19 47.24 69.85
OG0002953 42.92 59.51 43.21 60.19 43.21 60.19
OG0002954 51.46 86.76 53.99 88.86 50.37 85.35
OG0002955 46.62 89.87 46.62 89.45 47.67 89.83
OG0002956 45.81 62.29 46.07 62.96 45.71 62.29
OG0002957 43.97 56.32 40.95 65.81 45.59 52.21
OG0002958 53.90 70.35 50.49 61.85 45.47 57.14
OG0002959 51.41 86.88 51.25 87.50 51.86 90.54
OG0002960 52.75 69.96 50.13 64.27 50.66 64.94
OG0002961 51.04 69.84 50.96 68.81 51.00 69.59
OG0002962 57.41 89.16 58.96 90.27 63.68 95.81
OG0002963 52.00 64.89 54.89 69.72 54.50 67.20
OG0002965 59.87 85.81 59.54 91.56 59.48 89.13
OG0002967 47.53 40.34 46.99 39.94 46.79 37.46
OG0002968 48.82 71.23 51.08 84.12 51.18 83.14
OG0002970 41.74 38.23 41.59 37.92 41.73 41.04
OG0002971 58.24 91.76 59.74 91.01 58.03 90.89
OG0002973 48.67 83.16 48.80 86.52 48.87 82.10
OG0002974 42.94 63.18 43.35 64.24 39.42 66.95
OG0002979 55.06 76.52 56.65 79.09 58.12 84.03
OG0002980 48.70 64.84 49.73 66.33 46.81 64.87
OG0002981 45.82 67.85 46.10 72.00 45.74 68.49
OG0002982 51.05 97.21 54.90 97.03 53.34 97.45
OG0002984 59.86 80.99 58.45 79.58 57.39 78.87
OG0002986 55.24 88.24 56.24 90.13 55.88 88.81
OG0002987 62.35 65.81 48.10 77.31 47.60 74.44
OG0002988 57.11 88.73 57.24 92.99 56.64 90.52
OG0002989 44.88 53.08 45.55 54.88 49.70 62.16
OG0002993 41.22 56.10 41.46 56.59 41.22 57.07
OG0002994 56.84 90.11 57.68 91.73 57.03 91.63
OG0002996 55.48 68.57 57.31 73.42 54.34 67.12
OG0002998 50.33 86.00 47.29 78.29 50.50 86.67
OG0002999 47.21 86.24 46.42 84.09 47.55 87.33
OG0003000 52.76 77.91 53.34 77.91 54.89 77.60
OG0003001 48.83 78.50 50.23 76.72 49.47 75.57
OG0003003 55.49 85.48 55.34 84.19 54.35 85.52
OG0003004 56.50 78.49 56.08 78.00 56.03 76.95
OG0003006 53.54 89.17 54.24 94.09 53.73 90.50
OG0003007 48.30 67.12 42.76 56.68 48.35 66.45
OG0003008 59.06 84.79 59.59 86.79 59.06 84.19
OG0003012 49.02 62.99 49.41 63.39 49.21 62.99
OG0003013 49.05 78.35 50.82 83.95 49.11 78.73
OG0003014 52.99 62.37 51.90 62.37 53.07 63.74
OG0003017 52.41 81.18 60.12 92.98 58.33 87.88
OG0003020 56.45 96.88 57.03 96.48 55.30 85.78
OG0003021 64.06 78.96 55.77 86.89 56.74 88.45
OG0003022 53.80 71.42 53.85 73.68 53.78 71.98
OG0003024 51.47 77.45 51.10 81.22 51.47 79.66
OG0003025 37.90 48.58 38.21 48.93 37.86 49.29
OG0003026 51.31 73.56 51.66 75.73 51.34 74.33
OG0003028 43.36 63.64 43.72 64.07 43.36 64.21
OG0003029 52.22 92.55 52.33 92.01 54.02 89.06
OG0003030 52.58 81.06 60.67 65.42 52.78 87.72
OG0003032 51.61 93.98 51.61 92.77 51.81 94.38
OG0003033 68.93 90.71 67.48 98.06 69.29 90.55
OG0003034 44.59 62.16 44.59 63.51 44.26 61.49
OG0003035 51.78 78.06 52.20 82.13 51.77 79.58
OG0003036 47.94 93.94 48.27 96.54 47.83 94.58
OG0003037 44.41 78.85 46.83 82.48 44.71 79.15
OG0003039 45.87 69.07 45.29 70.85 46.08 69.92
OG0003040 48.14 76.00 48.41 76.97 48.14 77.10
OG0003041 61.96 85.24 58.44 93.51 63.48 86.09
OG0003045 49.39 89.57 48.77 90.15 49.24 88.55
OG0003046 39.84 45.12 40.68 44.92 40.25 45.15
OG0003047 47.92 82.92 48.23 82.08 43.60 85.55
OG0003049 53.24 92.14 52.24 86.07 51.49 87.06
OG0003052 55.43 90.19 55.61 91.02 55.61 90.85
OG0003054 50.17 75.87 49.83 76.43 50.22 76.88
OG0003056 50.94 88.68 47.77 94.64 51.16 90.70
OG0003057 49.40 62.28 49.26 64.79 49.07 64.44
OG0003058 45.95 67.64 45.94 70.20 45.82 68.40
OG0003059 51.24 81.46 51.36 79.76 50.68 81.27
OG0003060 52.30 32.55 52.49 33.60 52.43 32.94
OG0003063 51.68 62.22 52.04 65.65 51.79 61.98
OG0003064 45.40 75.86 45.88 76.44 47.66 78.97
OG0003065 47.13 75.10 47.69 76.90 47.29 75.43
OG0003067 52.37 90.72 49.26 94.49 52.11 91.08
OG0003068 56.88 75.23 55.71 71.84 53.79 71.37
OG0003069 46.43 60.14 47.13 63.07 46.33 59.40
OG0003070 52.10 89.72 52.10 90.65 51.98 89.30
OG0003072 48.33 71.94 47.00 74.40 48.11 72.51
OG0003074 43.16 43.68 42.60 46.15 38.68 42.45
OG0003075 51.96 69.83 55.60 91.38 51.94 74.44
OG0003076 56.09 81.84 53.75 76.13 55.85 81.42
OG0003077 45.78 65.37 44.59 62.49 45.32 62.08
OG0003078 46.21 81.38 46.53 84.72 46.13 76.24
OG0003080 52.20 91.18 52.75 92.84 51.26 86.69
OG0003081 53.55 89.61 56.66 82.45 53.51 89.58
OG0003082 43.83 55.48 45.97 64.52 43.30 54.26
OG0003083 55.87 80.42 52.85 86.91 47.73 74.21
OG0003084 51.59 61.29 50.92 52.65 51.50 52.93
OG0003086 55.44 78.46 56.11 82.29 55.89 79.09
OG0003087 51.13 85.08 51.32 87.04 51.60 85.95
OG0003088 51.26 77.16 51.98 80.45 50.56 78.03
OG0003089 53.79 92.44 54.12 91.11 54.12 92.84
OG0003091 42.95 61.31 43.27 62.03 43.18 61.55
OG0003092 47.47 55.67 49.26 63.46 48.67 71.31
OG0003093 45.85 56.99 47.12 58.65 45.57 57.29
OG0003094 58.17 84.81 52.30 79.74 52.98 80.79
OG0003096 50.55 92.46 50.20 84.13 50.34 89.15
OG0003097 49.78 69.74 47.50 58.33 47.36 62.11
OG0003098 45.11 61.31 44.81 61.27 44.67 60.72
OG0003099 52.52 87.61 53.81 87.89 52.98 89.91
OG0003100 34.65 49.61 37.23 62.77 37.23 61.47
OG0003101 46.10 59.93 46.11 60.78 46.39 59.21
OG0003103 45.74 61.50 45.36 61.95 45.74 62.53
OG0003105 45.00 79.16 45.53 80.98 45.00 79.74
OG0003108 51.54 72.49 51.28 73.40 51.89 75.14
OG0003109 42.01 78.25 41.53 79.68 41.95 78.64
OG0003111 44.44 57.10 45.10 55.81 45.41 59.24
OG0003112 52.98 75.45 52.69 74.27 52.43 75.18
OG0003113 54.30 94.03 53.91 95.95 54.30 94.51
OG0003114 43.24 72.60 47.92 83.40 46.88 78.84
OG0003117 43.04 43.07 42.65 43.75 43.09 43.82
OG0003119 43.67 49.37 43.51 50.00 42.50 47.86
OG0003120 59.53 87.42 60.04 91.86 54.15 85.89
OG0003121 66.33 94.39 68.32 95.29 65.21 88.02
OG0003122 49.37 54.27 50.00 62.47 49.45 61.31
OG0003127 47.55 84.92 49.10 83.72 47.22 82.37
OG0003129 54.87 81.48 55.72 83.36 55.14 82.33
OG0003130 47.80 75.06 45.93 76.56 47.45 74.83
OG0003131 44.99 48.02 46.83 58.14 46.59 54.32
OG0003132 44.44 44.93 44.69 44.93 44.69 44.93
OG0003133 63.24 82.60 58.05 90.78 57.93 87.22
OG0003136 49.92 67.92 52.71 73.90 51.37 71.23
OG0003137 48.55 60.58 47.74 50.32 49.01 71.26
OG0003138 46.02 64.39 46.21 65.53 50.00 84.75
OG0003139 57.02 91.67 55.65 86.72 47.20 71.20
OG0003140 51.94 95.40 52.17 96.39 52.05 95.89
OG0003141 44.68 48.61 45.13 46.10 44.68 48.61
OG0003142 49.60 78.79 50.24 78.95 52.00 74.50
OG0003144 50.21 94.55 51.72 95.80 51.05 96.56
OG0003145 42.87 46.14 44.13 46.57 42.91 46.26
OG0003146 58.28 83.95 59.87 82.32 59.08 83.95
OG0003148 54.83 91.19 54.73 92.55 46.15 90.87
OG0003151 57.59 90.83 58.45 92.66 57.97 91.96
OG0003152 44.96 74.64 45.52 74.79 44.24 74.06
OG0003153 48.58 60.38 48.37 60.93 49.07 62.33
OG0003154 61.20 93.05 64.42 94.53 60.94 91.44
OG0003156 49.48 67.13 49.84 67.85 49.20 65.27
OG0003159 47.52 81.68 47.90 85.11 46.95 84.73
OG0003160 51.48 93.05 51.10 93.85 51.02 94.01
OG0003161 49.72 55.10 50.00 55.66 50.00 55.08
OG0003162 55.64 85.56 55.64 81.89 55.51 85.30
OG0003165 49.80 88.93 50.20 90.44 49.75 89.00
OG0003166 45.23 52.92 45.23 54.15 45.08 52.62
OG0003169 45.62 58.57 46.02 65.74 45.22 60.16
OG0003170 46.46 80.56 47.52 84.27 46.38 79.97
OG0003172 43.23 61.49 43.66 64.37 43.93 63.61
OG0003174 41.93 51.58 42.18 53.10 42.73 55.21
OG0003175 51.31 79.66 51.89 83.14 51.09 80.23
OG0003176 49.12 62.68 46.99 65.54 48.23 61.62
OG0003177 52.83 80.19 56.19 92.20 55.70 91.56
OG0003178 58.53 90.10 57.05 90.77 56.52 90.05
OG0003179 54.60 90.15 53.32 88.65 54.64 89.35
OG0003180 45.25 68.95 46.37 70.81 45.29 68.95
OG0003182 44.68 50.00 44.91 52.78 44.68 50.00
OG0003183 45.04 41.56 45.00 41.85 45.05 41.10
OG0003184 35.93 30.12 35.80 31.11 35.80 30.37
OG0003185 48.97 84.97 50.55 93.25 49.09 84.74
OG0003186 47.96 41.18 48.55 43.60 48.03 43.37
OG0003187 43.65 67.72 43.95 67.02 43.65 68.78
OG0003188 52.50 79.44 49.70 81.31 49.85 77.91
OG0003189 39.18 35.07 39.18 34.33 38.81 35.07
OG0003190 46.76 79.29 47.41 80.58 46.60 78.96
OG0003194 52.29 83.02 56.28 90.12 52.68 83.69
OG0003195 47.97 74.46 47.37 79.95 47.85 77.09
OG0003196 49.08 66.27 50.28 71.37 49.20 66.35
OG0003198 42.26 66.48 42.84 66.67 44.06 72.30
OG0003200 45.75 53.89 46.01 53.36 43.90 48.40
OG0003201 45.24 50.26 45.50 50.77 45.36 51.03
OG0003205 52.38 84.82 52.71 84.60 52.57 84.09
OG0003207 44.08 38.50 44.09 37.64 44.19 38.27
OG0003208 44.73 49.55 45.07 49.10 44.62 49.78
OG0003209 54.38 96.35 52.86 96.43 53.65 98.54
OG0003210 46.50 57.54 46.28 59.02 46.60 56.69
OG0003211 52.81 83.44 52.19 86.56 52.19 82.50
OG0003213 49.30 72.19 50.28 76.69 41.23 57.14
OG0003214 51.67 91.67 67.97 69.70 53.33 96.67
OG0003215 52.61 81.05 50.22 67.10 48.71 64.38
OG0003217 47.63 84.42 48.51 88.35 47.76 85.77
OG0003218 51.79 53.35 51.69 52.77 51.43 52.14
OG0003221 45.65 65.13 45.38 64.51 45.56 65.47
OG0003223 44.92 37.50 51.40 81.25 48.78 60.98
OG0003224 50.65 59.58 54.93 74.68 50.68 60.23
OG0003225 41.98 55.10 41.13 56.52 43.53 56.47
OG0003226 47.45 64.51 51.65 85.61 50.71 84.67
OG0003227 61.86 90.12 61.01 92.39 61.69 92.74
OG0003228 54.58 86.71 54.63 89.99 53.66 90.59
OG0003230 55.11 71.52 55.40 73.54 52.36 76.04
OG0003231 42.50 48.26 42.73 48.30 42.54 47.60
OG0003232 53.59 97.18 53.48 96.74 53.57 98.21
OG0003233 49.63 83.58 46.90 85.85 49.91 83.80
OG0003234 48.37 91.46 50.78 96.09 50.72 82.91
OG0003235 47.65 68.64 47.72 71.48 47.47 69.21
OG0003236 48.00 44.89 47.90 44.29 47.90 44.69
OG0003237 52.29 64.61 52.14 67.22 52.44 65.46
OG0003238 50.36 92.34 50.91 95.62 50.55 91.30
OG0003239 43.56 81.68 43.28 85.57 44.55 82.67
OG0003240 49.01 57.21 49.70 58.48 48.07 73.39
OG0003241 44.47 65.32 44.47 65.77 44.36 66.44
OG0003242 46.91 44.42 48.34 50.65 48.45 50.42
OG0003243 49.07 69.93 49.55 73.65 49.30 71.10
OG0003244 40.11 53.76 40.25 57.40 40.25 54.51
OG0003246 46.60 75.53 47.70 77.11 46.56 76.70
OG0003247 54.73 69.09 54.71 67.87 54.73 68.36
OG0003250 46.15 86.26 52.74 83.61 46.43 88.46
OG0003251 63.84 96.68 65.23 97.74 63.53 96.62
OG0003252 43.72 63.46 44.66 62.14 44.89 67.05
OG0003254 47.32 65.40 48.22 69.56 47.22 66.89
OG0003255 42.86 36.01 43.15 36.61 42.71 36.90
OG0003256 47.80 53.60 47.33 51.26 48.09 52.49
OG0003257 48.20 53.25 48.83 62.47 48.40 53.19
OG0003258 50.44 76.47 51.52 80.69 49.03 74.38
OG0003260 47.66 62.13 49.85 71.76 49.39 75.15
OG0003261 44.63 52.99 44.67 52.58 44.53 52.72
OG0003262 49.27 81.62 50.11 88.61 49.82 85.01
OG0003263 48.28 78.43 48.04 78.92 48.28 79.90
OG0003266 57.26 48.41 55.96 52.40 58.54 41.71
OG0003267 47.03 95.66 47.19 89.65 47.02 90.70
OG0003268 46.72 55.74 46.52 55.74 46.72 56.56
OG0003269 52.34 52.17 58.96 73.58 53.90 52.71
OG0003270 54.04 90.23 54.96 90.47 54.14 88.60
OG0003271 46.16 34.34 46.20 34.00 45.97 33.76
OG0003272 51.05 87.76 50.64 66.58 50.51 64.69
OG0003273 47.92 80.96 47.92 81.84 48.25 79.96
OG0003274 48.87 75.42 49.01 74.86 48.87 75.14
OG0003275 40.85 74.67 42.88 76.94 41.26 75.78
OG0003276 41.04 53.77 41.47 53.08 41.04 53.30
OG0003277 44.96 75.93 45.44 73.15 44.87 75.59
OG0003278 48.93 65.81 49.68 72.08 48.72 66.53
OG0003279 43.71 85.35 43.71 86.50 43.59 85.58
OG0003280 42.95 62.82 44.02 66.24 42.74 60.68
OG0003281 44.37 79.84 45.10 82.53 44.52 80.66
OG0003282 62.27 94.93 62.33 94.27 62.53 96.39
OG0003283 50.82 73.64 52.20 73.99 51.51 72.69
OG0003286 55.02 91.59 54.00 91.78 54.95 91.98
OG0003287 50.00 74.59 51.36 80.98 50.41 74.59
OG0003288 53.11 75.92 52.81 76.60 57.48 91.41
OG0003290 47.15 77.04 45.52 74.08 44.27 70.10
OG0003291 41.27 61.41 41.37 63.36 44.25 68.28
OG0003292 49.16 60.67 48.88 62.78 48.88 60.00
OG0003293 46.63 77.66 46.63 78.01 47.02 77.54
OG0003295 46.84 82.52 47.87 82.45 46.36 83.50
OG0003302 48.24 68.98 39.57 71.43 39.86 71.94
OG0003303 44.51 44.91 44.67 44.59 44.48 44.75
OG0003304 40.22 73.91 39.96 79.61 40.22 74.13
OG0003305 56.43 82.99 56.25 85.74 55.95 84.02
OG0003306 57.53 76.77 57.97 80.38 56.53 76.68
OG0003307 46.40 41.01 46.40 39.57 46.40 41.01
OG0003308 57.06 96.32 57.98 97.55 57.06 96.93
OG0003309 46.79 75.85 51.14 78.86 59.03 81.39
OG0003311 49.45 65.47 44.91 51.74 56.82 85.45
OG0003312 43.31 56.90 46.73 61.22 43.63 56.18
OG0003313 46.03 72.24 46.03 73.37 46.03 71.39
OG0003316 63.56 81.15 58.52 87.02 57.39 84.82
OG0003317 46.56 65.97 47.02 69.43 46.66 64.00
OG0003319 55.60 78.25 56.47 80.82 55.69 77.44
OG0003321 44.00 52.59 44.18 57.43 43.98 52.21
OG0003322 54.90 70.63 53.79 86.25 56.39 86.96
OG0003326 52.55 77.37 52.43 74.76 52.37 76.64
OG0003327 44.53 41.85 44.47 42.27 44.53 41.74
OG0003328 47.54 73.66 42.63 66.28 46.63 72.36
OG0003329 53.20 70.93 56.53 75.34 49.81 62.69
OG0003330 53.87 78.80 54.30 78.51 54.01 79.08
OG0003332 51.38 84.57 52.21 85.73 51.67 83.87
OG0003334 56.37 85.01 57.07 90.49 55.51 85.24
OG0003336 45.72 67.45 45.72 70.97 45.46 67.06
OG0003339 43.52 71.50 44.42 88.85 43.52 85.61
OG0003340 52.12 92.89 53.19 94.52 52.36 93.97
OG0003341 43.89 34.35 44.02 33.59 43.77 34.35
OG0003342 49.13 63.81 50.43 66.74 50.65 65.87
OG0003343 47.07 72.76 47.31 73.83 45.06 67.16
OG0003345 50.31 83.89 50.89 85.66 49.46 84.20
OG0003346 45.62 70.97 46.31 73.73 45.85 71.43
OG0003347 49.50 93.21 49.20 93.64 48.69 90.55
OG0003348 49.27 65.91 49.92 68.20 49.19 64.62
OG0003349 58.61 91.21 57.41 90.34 57.73 90.99
OG0003350 50.30 81.78 50.53 83.58 51.38 76.38
OG0003351 47.83 62.72 47.83 63.91 47.83 62.72
OG0003352 45.71 57.50 45.18 55.71 45.89 59.64
OG0003353 49.46 67.03 52.86 87.88 51.52 86.20
OG0003354 53.02 68.63 54.57 75.42 54.03 68.76
OG0003355 51.69 90.41 52.26 90.79 53.37 94.38
OG0003356 50.36 74.09 49.82 81.16 49.83 76.03
OG0003357 54.62 88.04 53.95 89.47 54.62 86.96
OG0003358 61.24 94.26 61.57 92.99 60.65 93.06
OG0003360 50.00 84.57 55.74 97.54 48.67 79.79
OG0003361 59.73 97.84 61.19 93.60 61.97 96.13
OG0003362 47.45 60.05 49.63 58.46 47.99 59.52
OG0003365 52.51 74.44 52.17 79.06 49.48 69.91
OG0003366 56.96 88.69 58.11 90.66 58.03 88.12
OG0003368 53.49 90.22 53.92 90.82 53.26 90.26
OG0003369 45.58 59.28 52.37 64.17 43.99 60.76
OG0003371 58.66 78.15 57.65 80.53 59.43 77.21
OG0003372 44.55 79.08 44.79 80.83 44.63 79.67
OG0003373 36.97 43.64 31.98 50.45 35.20 44.90
OG0003375 52.10 71.52 54.46 76.83 52.26 70.74
OG0003376 58.19 77.97 50.25 70.44 52.17 74.53
OG0003377 57.87 85.87 59.12 88.07 58.74 85.44
OG0003379 52.16 85.99 52.46 86.89 52.38 86.03
OG0003382 50.88 85.41 51.44 86.83 51.13 85.30
OG0003384 47.61 69.35 47.80 69.54 47.41 69.10
OG0003385 47.68 92.31 47.57 94.00 47.57 92.66
OG0003387 49.72 73.14 50.41 76.24 50.00 73.87
OG0003388 56.02 75.92 56.59 73.75 55.37 76.44
OG0003389 49.43 68.88 49.24 70.86 48.41 63.90
OG0003390 53.74 89.98 54.47 91.23 53.99 90.75
OG0003391 44.16 35.33 41.73 30.99 41.73 30.28
OG0003392 52.88 86.70 52.32 87.47 52.29 87.59
OG0003393 46.09 78.12 46.83 78.57 45.35 76.15
OG0003394 45.52 94.83 46.62 96.72 46.51 94.30
OG0003395 42.00 43.00 42.00 42.50 40.11 38.42
OG0003397 46.58 62.66 44.54 62.34 43.57 61.00
OG0003398 43.84 81.91 43.10 81.59 43.09 80.50
OG0003399 46.22 58.38 46.97 47.73 46.78 60.23
OG0003400 55.35 87.96 55.48 88.10 55.50 93.19
OG0003401 51.71 79.17 53.66 79.45 54.55 81.88
OG0003402 50.92 73.61 51.15 74.88 50.95 74.31
OG0003403 57.11 69.67 57.58 76.78 57.11 69.67
OG0003404 54.52 81.02 62.37 92.47 58.84 79.57
OG0003406 51.47 92.55 51.04 92.28 52.37 92.55
OG0003407 41.76 40.15 41.69 40.00 41.76 38.97
OG0003408 45.25 68.38 47.05 69.55 45.54 69.25
OG0003411 47.75 86.39 49.17 89.17 47.75 86.14
OG0003412 54.05 79.88 54.49 80.60 53.29 80.00
OG0003413 52.25 81.98 51.42 85.56 50.24 84.91
OG0003414 46.42 71.34 45.45 81.82 46.42 71.94
OG0003415 51.21 79.78 52.24 83.27 51.50 80.37
OG0003416 43.42 54.14 43.23 56.02 44.22 58.67
OG0003417 57.90 92.86 60.51 96.58 57.51 92.88
OG0003420 50.40 75.50 52.14 81.20 49.87 67.17
OG0003422 48.25 94.88 50.72 96.16 49.19 96.23
OG0003424 46.44 45.55 46.44 44.84 46.44 45.20
OG0003425 61.02 89.51 62.06 89.42 61.55 91.42
OG0003427 46.50 65.92 46.57 67.00 46.64 65.59
OG0003430 50.74 88.05 49.69 85.83 53.73 89.28
OG0003431 49.53 34.58 48.92 41.08 47.48 38.33
OG0003432 60.31 94.84 59.30 92.80 59.75 93.50
OG0003433 49.58 63.56 49.27 62.36 49.04 66.24
OG0003434 51.11 80.39 49.80 80.47 51.64 82.51
OG0003435 56.50 82.40 61.81 95.67 56.67 83.67
OG0003436 38.90 33.59 39.79 34.48 39.66 33.42
OG0003438 40.64 44.08 40.54 46.17 40.19 43.93
OG0003441 44.77 55.39 45.79 57.35 44.77 55.23
OG0003442 50.82 89.30 51.62 92.29 53.84 82.40
OG0003443 45.38 85.87 45.38 86.96 45.14 84.41
OG0003444 45.50 56.31 46.19 56.25 45.52 56.25
OG0003445 39.50 40.00 40.71 40.71 39.83 40.68
OG0003446 48.43 44.06 48.26 44.44 48.25 44.41
OG0003447 42.12 40.41 42.36 39.58 42.71 41.67
OG0003450 53.59 89.15 48.37 90.40 48.85 92.40
OG0003451 45.87 78.02 45.97 79.44 46.37 80.41
OG0003453 59.63 82.11 61.14 80.45 60.55 83.03
OG0003454 48.08 85.90 49.74 87.56 46.19 87.28
OG0003458 58.27 94.34 58.79 93.31 57.85 95.78
OG0003459 44.97 54.12 45.35 55.81 44.86 55.43
