OG BRO-BGM BAT-BGM BAT-BRO PHY-BAT PHY-BRO PHY-BGM
OG0002847 0.82 0.27 0.55 22.45 23.19 22.45
OG0002849 8.75 13.94 2.69 18.19 20.30 24.44
OG0002851 3.19 2.52 4.42 18.51 19.02 17.85
OG0002853 3.56 1.92 3.89 26.24 25.24 25.57
OG0002855 3.41 1.40 3.56 19.51 18.44 19.33
OG0002856 2.84 1.56 3.39 34.58 37.66 34.91
OG0002857 2.69 1.76 2.34 23.45 23.45 23.22
OG0002859 2.81 1.33 2.68 14.82 13.13 14.65
OG0002861 1.90 0.82 2.39 13.55 14.58 13.29
OG0002862 2.81 26.95 29.45 29.95 30.26 30.26
OG0002863 2.72 1.07 5.01 29.70 29.30 25.59
OG0002864 7.32 0.64 7.08 11.61 14.03 11.42
OG0002865 3.02 5.57 7.39 44.08 21.41 22.29
OG0002869 1.82 0.81 1.76 15.26 16.44 15.65
OG0002870 2.15 1.10 2.09 36.17 36.33 36.84
OG0002876 3.33 2.03 4.55 31.55 41.88 31.17
OG0002877 1.32 1.22 1.13 41.61 34.94 40.80
OG0002880 1.14 0.64 1.14 17.56 17.24 17.56
OG0002881 2.65 2.49 3.51 68.68 69.45 69.43
OG0002883 6.91 3.40 7.67 55.67 46.02 57.00
OG0002884 5.31 2.58 4.58 23.85 22.58 23.96
OG0002885 2.55 0.70 3.17 27.36 26.89 25.29
OG0002886 9.84 7.95 4.96 75.57 91.78 83.84
OG0002887 1.74 4.98 5.16 38.26 30.65 31.16
OG0002888 4.49 1.56 4.94 37.15 37.15 37.64
OG0002889 2.33 1.06 2.14 38.85 39.94 38.49
OG0002890 1.61 1.26 1.96 31.55 31.11 31.33
OG0002893 3.06 2.54 2.13 20.94 20.94 22.31
OG0002895 1.02 0.33 1.02 14.12 15.36 15.62
OG0002899 1.20 0.48 1.20 18.68 18.34 23.66
OG0002900 1.77 1.48 2.06 31.72 31.72 30.51
OG0002902 3.51 2.52 3.47 25.73 26.99 25.73
OG0002903 4.60 2.37 4.37 37.31 35.83 35.83
OG0002904 1.89 1.52 2.34 19.19 20.00 19.77
OG0002905 5.74 7.32 5.85 23.90 28.04 23.90
OG0002906 0.94 0.71 0.24 27.14 27.14 26.47
OG0002907 6.67 4.47 9.57 34.90 38.23 33.22
OG0002908 1.27 1.10 1.78 20.16 20.93 19.04
OG0002909 7.81 2.45 2.80 24.06 24.06 33.28
OG0002910 2.07 0.91 1.37 12.29 12.56 13.10
OG0002911 9.86 3.12 2.19 21.51 23.29 22.85
OG0002912 145.11 164.79 6.11 25.34 41.82 34.55
OG0002914 3.07 2.21 3.07 50.13 51.82 49.29
OG0002915 6.79 6.05 3.46 26.76 27.58 93.13
OG0002916 3.05 10.87 11.74 33.03 18.40 15.77
OG0002917 2.27 18.30 20.89 47.54 27.29 27.42
OG0002918 1.76 1.09 2.16 36.89 36.98 36.80
OG0002919 2.59 1.40 1.88 19.45 20.96 20.35
OG0002920 1.23 0.95 0.82 14.31 13.96 14.45
OG0002921 7.42 4.83 3.78 24.38 24.48 53.39
OG0002922 5.47 3.71 3.78 32.35 33.96 31.81
OG0002923 4.10 0.71 4.35 31.85 30.77 31.85
OG0002924 1.64 0.99 1.73 36.25 36.25 35.86
OG0002925 3.67 1.35 3.26 19.09 18.77 18.45
OG0002927 3.58 1.13 3.84 16.09 16.25 15.17
OG0002928 3.24 5.23 4.31 32.39 32.13 33.29
OG0002929 2.41 0.74 2.80 40.65 40.69 40.34
OG0002930 6.09 3.15 6.59 47.97 50.28 49.11
OG0002931 4.62 1.43 4.73 25.41 27.21 25.53
OG0002932 0.82 3.97 1.09 20.73 19.72 22.97
OG0002933 5.41 3.09 5.12 33.98 62.85 38.55
OG0002934 3.65 1.62 3.17 32.46 35.73 28.28
OG0002935 1.91 3.80 1.91 23.37 16.85 22.84
OG0002936 3.09 1.30 3.44 26.18 69.87 26.00
OG0002937 3.82 1.78 3.47 24.71 24.39 27.51
OG0002940 1.08 1.30 1.52 22.68 22.39 21.81
OG0002942 3.55 1.00 4.18 20.32 19.21 20.32
OG0002943 1.38 0.92 1.84 22.21 21.91 22.21
OG0002944 4.06 3.31 4.59 11.24 12.96 11.24
OG0002945 9.19 5.78 7.06 32.80 32.98 32.10
OG0002946 1.82 3.31 3.57 21.93 18.85 19.72
OG0002947 2.36 3.02 4.20 19.35 16.29 16.53
OG0002948 4.88 0.87 5.05 21.86 22.89 21.62
OG0002949 15.42 10.68 9.72 24.01 18.35 21.10
OG0002950 1.54 0.74 1.65 16.05 16.88 16.01
OG0002951 3.00 1.86 3.04 35.54 35.01 34.85
OG0002953 1.46 0.62 1.67 25.57 26.31 26.01
OG0002954 3.19 1.23 2.86 18.65 19.05 19.03
OG0002955 3.93 2.89 2.88 25.82 25.42 26.83
OG0002956 3.85 2.59 3.70 23.05 22.70 23.31
OG0002957 10.83 3.02 3.90 18.97 20.75 22.93
OG0002958 1.30 0.55 2.35 19.98 20.74 20.16
OG0002959 5.06 1.48 4.49 26.45 25.72 27.71
OG0002960 4.12 5.93 6.04 43.90 48.89 46.87
OG0002961 3.19 1.46 3.25 40.51 40.06 40.71
OG0002962 9.49 4.40 6.08 34.68 34.68 43.76
OG0002963 2.51 1.28 2.58 27.72 27.25 27.34
OG0002965 3.85 1.49 3.73 28.04 27.53 27.87
OG0002967 1.16 3.22 2.14 15.87 13.06 13.06
OG0002968 4.26 3.71 4.87 39.67 36.32 34.73
OG0002970 10.64 10.64 1.24 20.87 20.87 29.28
OG0002971 10.45 3.72 10.45 44.08 47.22 43.30
OG0002973 3.95 1.29 3.72 20.38 20.60 20.63
OG0002974 0.65 0.80 1.91 18.59 18.76 18.25
OG0002979 11.84 7.88 6.58 44.58 49.37 47.42
OG0002980 6.14 5.37 2.98 21.67 21.07 24.78
OG0002981 1.79 0.92 1.71 40.53 39.44 40.16
OG0002982 2.82 0.47 2.01 11.57 11.42 12.18
OG0002984 8.77 5.39 9.84 42.40 41.57 39.95
OG0002986 2.71 2.06 3.67 35.10 34.59 35.48
OG0002987 3.02 23.06 11.83 133.94 18.85 19.64
OG0002988 4.24 5.62 8.33 35.09 35.89 34.11
OG0002989 1.64 1.32 3.14 16.99 17.11 17.49
OG0002993 1.99 0.66 1.65 100.34 100.34 99.00
OG0002994 2.82 0.90 2.55 26.58 27.28 26.81
OG0002995 11.31 13.67 8.83 43.51 41.23 42.29
OG0002996 10.41 4.77 12.59 39.09 38.74 37.04
OG0002998 3.19 1.35 3.42 23.07 22.75 21.95
OG0002999 1.89 1.15 2.03 16.41 16.91 16.91
OG0003000 5.81 3.79 3.07 31.21 32.61 34.75
OG0003001 7.05 4.61 7.26 38.98 42.25 42.54
OG0003002 6.20 3.58 4.85 84.42 46.28 96.07
OG0003003 119.17 6.92 2.71 18.50 18.50 120.71
OG0003004 2.84 1.11 2.00 24.85 24.44 24.96
OG0003006 4.40 2.12 5.01 103.97 102.14 103.97
OG0003007 7.79 1.15 6.18 17.34 18.34 17.94
OG0003008 2.47 1.54 2.35 40.06 41.27 40.80
OG0003012 2.27 1.46 2.14 21.35 21.52 21.35
OG0003013 2.79 1.11 2.99 25.56 25.82 25.82
OG0003014 3.49 1.15 3.65 21.12 23.72 21.16
OG0003016 10.83 6.13 11.81 58.01 61.75 61.14
OG0003017 6.95 1.02 7.87 16.75 22.56 18.57
OG0003020 10.43 8.52 2.26 10.10 10.85 25.49
OG0003021 4.92 15.94 19.50 52.22 37.95 36.73
OG0003022 3.87 1.82 3.91 42.42 42.71 42.79
OG0003024 1.57 1.41 2.08 21.93 21.47 21.58
OG0003025 1.69 0.72 1.45 30.01 30.19 30.01
OG0003026 1.74 1.24 2.06 18.12 17.99 18.12
OG0003028 3.91 2.65 3.55 25.44 25.38 25.65
OG0003029 3.99 1.56 2.71 20.75 22.68 25.00
OG0003030 64.37 1.48 19.93 33.13 123.22 31.38
OG0003032 1.22 0.54 1.49 13.80 13.80 13.31
OG0003033 14.86 6.02 10.40 69.22 59.97 66.67
OG0003034 2.30 1.37 2.30 14.46 15.29 15.29
OG0003035 2.50 1.15 2.92 13.39 13.82 13.50
OG0003036 2.51 0.87 2.51 16.34 15.39 16.15
OG0003037 6.54 1.94 6.43 31.25 33.11 30.94
OG0003039 0.83 0.71 1.21 16.44 16.01 16.35
OG0003040 2.72 1.16 2.77 17.51 18.18 17.51
OG0003041 4.49 14.13 7.80 42.86 41.94 43.27
OG0003045 1.98 0.72 1.56 10.66 11.53 11.03
OG0003046 0.86 5.77 6.21 23.22 23.22 23.35
OG0003047 4.03 2.59 2.33 21.07 21.44 22.99
OG0003049 2.54 0.73 2.47 21.09 21.14 22.49
OG0003051 0.67 0.76 0.67 10.30 10.55 10.30
OG0003052 1.05 0.64 0.99 10.25 10.09 10.25
OG0003054 5.32 1.55 5.56 19.32 19.75 20.01
OG0003055 26.68 2.44 16.68 20.76 36.27 17.29
OG0003056 3.38 9.72 2.13 13.76 12.38 14.47
OG0003057 4.60 1.25 4.01 26.50 29.59 25.07
OG0003058 1.60 1.14 1.83 17.69 17.60 17.69
OG0003059 3.76 1.24 3.89 21.64 22.56 22.23
OG0003060 1.24 0.70 1.59 20.19 20.57 20.57
OG0003063 2.78 1.41 2.60 33.84 33.42 33.78
OG0003064 1.74 0.79 1.55 22.91 22.74 27.63
OG0003065 3.34 1.04 3.56 16.07 17.92 16.07
OG0003067 2.76 1.68 3.15 16.35 17.05 16.58
OG0003068 5.70 0.56 1.49 22.71 25.95 36.18
OG0003069 2.65 1.01 2.66 33.29 34.55 33.29
OG0003070 1.34 0.55 1.42 12.36 12.00 12.09
OG0003072 2.31 1.28 2.04 18.28 16.06 18.09
OG0003074 18.33 0.96 9.86 15.63 25.88 13.91
OG0003075 4.48 3.45 5.10 32.26 40.02 32.61
OG0003076 5.47 2.24 5.61 38.82 30.62 38.82
OG0003077 4.04 1.47 4.60 27.60 29.24 27.71
OG0003078 3.58 0.70 3.83 23.99 21.70 24.45
OG0003080 8.83 6.13 2.81 24.74 25.95 25.04
OG0003081 11.17 3.00 10.93 26.08 103.22 26.49
OG0003082 6.21 15.65 3.04 41.30 32.78 21.75
OG0003083 7.89 3.28 6.79 20.82 22.51 21.16
OG0003084 3.11 2.23 2.75 33.72 34.49 34.49
OG0003086 3.33 2.57 3.26 24.05 25.01 24.17
OG0003087 3.01 1.22 3.10 12.64 12.31 12.42
OG0003088 4.49 2.31 4.39 21.07 21.96 21.32
OG0003089 2.88 0.95 3.11 94.10 95.08 95.08
OG0003091 2.30 1.42 2.46 36.47 35.57 36.29
OG0003092 2.39 6.02 6.01 84.94 28.29 28.24
OG0003093 6.18 1.41 5.40 24.83 22.05 24.83
OG0003094 1.35 2.49 2.95 22.06 19.13 18.85
OG0003096 8.40 0.97 10.73 104.18 104.18 105.00
OG0003097 3.91 10.92 27.45 34.89 30.46 25.18
OG0003098 3.01 1.88 3.28 39.11 39.09 38.85
OG0003099 4.27 1.71 4.76 25.70 26.71 25.27
OG0003100 1.02 3.80 4.64 38.98 27.26 27.05
OG0003101 1.43 1.01 1.62 23.52 23.60 25.09
OG0003103 3.09 2.19 3.81 15.65 14.76 14.88
OG0003105 3.56 2.02 3.91 18.91 19.55 18.44
OG0003108 4.18 3.51 1.83 30.28 29.26 32.92
OG0003109 1.77 0.82 1.77 12.32 12.03 12.46
OG0003111 3.04 2.91 2.95 36.46 35.60 35.31
OG0003112 3.96 1.65 3.71 27.35 29.47 27.54
OG0003113 1.27 0.56 1.27 26.63 26.22 26.22
OG0003114 4.62 0.99 5.07 31.36 32.22 31.15
OG0003117 2.50 0.99 2.25 33.26 33.07 33.03
OG0003119 2.68 1.69 1.60 31.86 33.03 31.47
OG0003120 13.91 13.66 5.55 30.80 33.29 35.94
OG0003121 7.20 5.54 7.73 48.88 44.95 47.36
OG0003122 3.18 10.08 11.26 42.41 34.72 33.99
OG0003127 4.32 1.39 2.41 18.56 21.76 18.42
OG0003129 4.73 1.11 5.17 22.53 25.44 22.12
OG0003130 10.47 1.17 10.11 20.87 27.35 20.97
OG0003131 3.74 3.89 6.15 29.95 27.81 27.81
OG0003132 2.63 1.47 3.65 36.57 35.52 36.04
OG0003133 7.44 3.01 5.52 29.50 27.13 29.50
OG0003136 3.08 1.15 3.78 21.67 22.35 21.45
OG0003137 106.46 0.80 9.20 15.96 29.03 15.54
OG0003138 4.17 2.06 3.24 24.34 24.52 21.31
OG0003139 3.86 44.08 7.68 25.61 25.20 19.63
OG0003140 1.39 1.06 1.64 84.68 80.18 82.85
OG0003141 7.08 0.31 6.84 10.64 17.87 10.64
OG0003142 4.43 2.60 3.66 19.40 19.47 22.75
OG0003144 5.01 1.85 5.17 20.92 21.24 20.49
OG0003145 1.10 0.86 1.55 38.26 57.16 37.70
OG0003146 12.11 5.26 9.34 38.07 40.60 42.45
OG0003148 0.48 0.16 1.45 17.54 16.79 15.11
OG0003151 6.93 2.45 7.44 35.08 35.28 34.11
OG0003152 4.26 1.66 3.75 35.39 36.80 36.01
OG0003153 2.86 2.24 2.57 29.52 30.34 30.34
OG0003154 8.17 1.32 8.32 29.69 33.79 28.65
OG0003156 2.63 1.28 2.23 26.19 28.42 29.21
OG0003157 3.01 53.57 56.59 55.15 58.69 59.72
OG0003159 2.33 2.33 3.26 23.33 23.51 23.16
OG0003160 2.70 2.36 3.75 16.84 16.91 16.08
OG0003161 2.01 1.19 2.20 44.92 45.21 44.22
OG0003162 17.73 2.59 17.95 21.06 27.33 21.06
OG0003163 4.64 3.13 5.50 33.77 35.62 31.81
OG0003165 4.32 1.44 3.60 21.95 21.42 21.69
OG0003166 1.88 0.83 2.09 21.13 20.86 20.32
OG0003169 5.39 2.16 5.39 23.08 25.10 24.18
OG0003170 1.89 0.94 1.75 16.34 17.35 16.34
OG0003172 2.79 1.78 3.16 20.80 21.83 21.28
OG0003174 1.59 3.41 0.89 30.93 32.33 33.88
OG0003175 3.57 1.39 3.89 10.79 11.20 10.59
OG0003176 9.55 3.91 8.69 48.90 47.10 47.37
OG0003177 3.30 10.19 9.11 34.45 29.01 29.71
OG0003178 3.69 2.44 3.74 35.30 32.30 32.30
OG0003179 6.34 3.29 6.34 25.83 23.11 25.83
OG0003180 4.39 1.42 4.22 41.78 42.70 42.23
OG0003182 2.84 0.94 2.84 19.86 21.29 19.86
OG0003183 1.48 1.28 1.61 20.46 20.12 20.46
OG0003184 1.84 1.84 1.16 23.34 23.21 24.09
OG0003185 3.11 0.92 3.05 17.72 16.50 17.90
OG0003186 1.21 1.07 1.22 12.14 11.30 11.18
OG0003187 1.98 1.25 2.89 25.16 25.16 24.91
OG0003188 2.23 1.69 2.65 16.04 16.83 16.83
OG0003189 3.33 1.01 2.81 42.27 44.54 40.94
OG0003190 2.87 1.20 3.21 26.77 28.17 26.92
OG0003194 4.63 8.25 4.24 29.17 32.38 35.10
OG0003195 12.45 1.69 12.84 17.53 28.23 18.03
OG0003196 3.12 1.21 3.49 25.93 25.35 25.87
OG0003197 3.21 1.91 2.88 35.53 32.71 35.53
OG0003198 3.07 0.48 2.83 23.55 24.08 26.07
OG0003200 4.62 2.75 4.84 49.07 49.01 49.11
OG0003201 1.92 0.69 2.10 23.63 24.88 23.63
OG0003205 4.29 2.99 4.64 51.16 51.85 51.99
OG0003207 2.24 1.62 1.69 25.74 25.53 26.07
OG0003208 1.97 0.75 1.90 20.65 20.06 20.75
OG0003209 4.81 3.00 5.33 25.10 24.27 22.54
OG0003210 1.94 0.78 1.65 19.86 20.88 19.58
OG0003211 2.35 1.69 2.57 13.37 13.26 12.96
OG0003213 10.26 7.32 4.15 16.39 17.71 23.32
OG0003214 15.33 6.74 14.25 70.47 79.36 71.21
OG0003215 2.96 2.45 3.36 32.07 30.30 29.65
OG0003217 3.99 1.32 4.42 21.70 23.41 22.06
OG0003218 4.07 1.62 3.56 44.32 42.88 44.32
OG0003221 1.95 2.08 2.79 15.89 15.81 15.56
OG0003223 9.57 3.22 80.25 21.07 32.66 24.01
OG0003224 3.81 1.69 3.91 29.75 30.71 30.47
OG0003225 3.00 2.19 3.39 34.83 36.24 34.49
OG0003226 2.99 2.64 4.78 32.38 35.29 33.90
OG0003227 6.63 4.30 7.21 31.56 34.18 31.12
OG0003228 6.15 7.15 9.10 23.07 22.94 22.46
OG0003230 4.73 2.33 4.70 25.77 26.95 26.02
OG0003231 3.40 1.47 3.16 30.08 29.37 29.91
OG0003232 1.51 0.67 1.47 23.74 23.18 23.04
OG0003233 5.95 1.19 5.89 21.90 18.58 22.45
OG0003234 5.32 0.84 5.98 19.05 20.26 18.79
OG0003235 1.71 1.33 2.22 23.74 24.71 24.47
OG0003236 1.01 0.54 1.15 21.39 21.83 21.30
OG0003237 3.72 1.76 4.45 27.54 25.95 27.00
OG0003238 2.86 0.74 2.86 21.48 22.47 21.65
OG0003239 6.43 3.05 5.53 88.60 88.04 90.89
OG0003240 4.44 3.68 2.86 50.43 51.76 104.37
OG0003241 2.61 1.68 2.54 20.57 21.47 21.07
OG0003242 2.46 1.04 2.15 28.43 28.19 28.19
OG0003243 2.86 1.26 3.43 24.68 25.05 24.14
OG0003244 3.84 1.96 3.71 23.22 23.66 23.66
OG0003246 4.36 1.07 4.15 18.09 18.09 17.84
OG0003247 2.73 1.47 2.22 17.76 18.23 18.23
OG0003250 3.39 2.24 3.01 18.26 16.86 18.49
OG0003251 3.61 2.46 4.19 37.06 35.91 35.71
OG0003252 3.91 2.52 1.98 23.49 23.88 23.11
OG0003254 3.67 1.51 4.30 33.18 34.44 33.93
OG0003255 2.22 1.41 2.02 26.78 26.21 26.93
OG0003256 4.48 4.23 4.65 25.71 26.03 25.94
OG0003257 101.24 1.22 4.24 34.90 60.82 34.31
OG0003258 9.15 6.48 4.89 22.86 24.72 22.67
OG0003260 11.78 29.75 4.40 23.91 26.64 35.02
OG0003261 1.65 0.95 1.34 20.15 21.35 20.39
OG0003262 4.22 1.71 4.15 22.27 21.23 22.27
OG0003263 1.16 0.49 1.66 19.28 18.99 19.28
OG0003266 3.96 2.25 4.59 16.68 23.13 28.55
OG0003267 2.81 1.54 3.51 21.35 21.65 21.01
OG0003268 1.11 0.55 1.11 22.55 22.93 22.93
OG0003269 25.67 4.47 24.13 58.89 132.14 58.55
OG0003270 7.23 3.13 6.76 32.72 34.20 34.06
OG0003271 1.13 0.96 1.18 16.16 15.72 15.43
OG0003272 3.04 4.51 7.11 41.11 34.19 32.83
OG0003273 2.60 1.48 2.45 21.92 22.21 20.75
OG0003274 2.20 0.95 2.40 17.11 16.43 17.34
OG0003275 2.75 1.21 2.75 22.85 25.33 23.26
OG0003276 1.60 0.48 1.93 16.64 17.84 16.64
OG0003277 2.77 1.02 2.73 18.58 21.07 18.27
OG0003278 1.76 0.86 2.44 18.76 16.78 18.57
OG0003279 1.70 1.31 1.47 14.64 15.20 14.92
OG0003280 5.03 1.15 4.42 21.56 24.48 21.76
OG0003281 1.97 1.38 2.25 18.15 18.36 18.25
OG0003282 2.71 0.93 2.41 25.29 25.79 27.01
OG0003283 3.59 1.91 3.73 18.57 20.28 18.75
OG0003286 4.80 4.80 5.47 20.93 17.97 20.93
OG0003287 1.11 0.28 1.39 17.97 20.27 17.62
OG0003288 7.29 5.47 2.84 25.55 25.30 26.86
OG0003290 4.10 3.11 5.24 24.07 24.97 24.97
OG0003291 2.27 1.20 1.68 13.75 14.13 14.57
OG0003292 0.95 1.52 0.95 13.14 13.82 13.14
OG0003293 0.84 1.08 1.20 16.97 17.41 17.71
OG0003295 3.63 1.31 4.01 22.15 23.16 22.40
OG0003302 82.40 0.74 5.29 30.13 24.53 24.75
OG0003303 1.73 1.09 1.68 29.26 28.79 29.14
OG0003304 4.08 1.17 3.80 21.61 22.55 21.02
OG0003305 4.82 2.10 5.06 25.72 27.18 25.61
OG0003306 3.43 1.65 3.62 29.37 29.11 29.54
OG0003307 0.97 0.97 0.97 9.52 10.07 10.07
OG0003308 4.23 2.09 4.89 23.49 23.21 21.82
OG0003309 3.13 1.27 3.49 19.50 21.30 20.15
OG0003311 114.24 3.44 20.74 30.41 44.97 28.71
OG0003312 5.67 1.41 5.98 36.39 39.07 35.66
OG0003313 2.31 0.86 1.92 19.09 18.60 19.09
OG0003316 4.25 19.61 22.58 41.57 27.56 26.32
OG0003317 2.61 1.61 2.61 52.73 56.87 52.27
OG0003319 9.17 5.22 8.68 45.10 45.48 46.95
OG0003321 3.02 1.49 2.46 25.59 27.32 25.97
OG0003322 12.43 30.59 14.17 35.32 25.37 34.26
OG0003326 8.70 1.48 8.33 25.66 30.59 27.05
OG0003327 1.01 0.54 0.90 16.45 16.84 16.76
OG0003328 8.94 2.53 9.71 24.47 22.95 24.59
OG0003329 5.92 4.18 5.34 29.65 32.72 29.15
OG0003330 2.43 0.58 2.83 25.23 25.50 25.50
OG0003332 3.26 1.53 3.21 27.91 28.10 28.10
OG0003334 4.71 6.98 5.49 29.02 32.50 30.16
OG0003336 3.86 1.70 3.38 27.94 28.11 28.00
OG0003339 2.92 1.51 3.70 15.03 13.30 13.30
OG0003340 4.30 1.55 4.38 25.29 25.03 25.29
OG0003341 1.11 0.68 1.29 23.51 24.06 24.06
OG0003342 1.17 0.66 1.39 25.39 26.91 26.77
OG0003343 2.53 1.87 2.70 19.45 20.84 19.30
OG0003345 3.21 1.63 2.42 24.41 22.90 26.35
OG0003346 1.88 1.56 2.83 23.56 23.98 23.35
OG0003347 7.27 6.22 3.20 33.08 32.66 36.50
OG0003348 4.33 1.64 3.93 13.16 14.20 13.00
OG0003349 3.11 1.30 5.28 35.19 36.72 32.82
OG0003350 4.11 3.61 1.68 19.06 19.28 19.06
OG0003351 1.26 0.66 1.40 15.13 15.37 15.21
OG0003352 3.55 2.31 2.92 40.40 40.82 41.68
OG0003353 3.69 18.38 18.62 36.64 28.25 26.78
OG0003354 3.71 1.77 3.75 31.95 32.64 31.97
OG0003355 16.12 15.18 3.47 21.23 21.48 32.83
OG0003356 6.95 15.08 3.85 22.43 19.55 29.89
OG0003357 2.41 0.73 2.03 23.21 24.78 22.96
OG0003358 4.61 3.26 3.93 28.74 36.04 30.56
OG0003360 1.95 4.00 2.52 20.02 19.74 18.85
OG0003361 4.42 0.73 2.21 29.99 28.98 29.99
OG0003362 7.01 2.87 6.81 34.53 41.45 34.39
OG0003364 7.38 4.65 7.91 21.45 32.13 32.06
OG0003365 3.74 3.11 2.37 18.01 18.94 12.83
OG0003366 5.72 2.54 5.46 19.72 20.59 19.88
OG0003368 4.51 2.06 4.63 32.15 32.25 31.92
OG0003369 10.55 2.61 5.73 43.06 55.64 42.54
OG0003371 6.36 3.57 6.56 52.10 51.11 51.92
OG0003372 1.45 1.17 1.67 24.90 25.43 25.34
OG0003373 4.05 2.06 5.24 33.26 27.65 29.15
OG0003375 6.91 1.31 6.91 30.90 33.05 30.90
OG0003376 8.83 19.68 11.01 29.35 30.23 28.99
OG0003377 4.28 2.02 4.35 12.94 14.02 13.25
OG0003378 11.05 7.03 7.26 31.14 30.71 29.22
OG0003379 1.05 0.85 1.41 20.63 20.18 20.40
OG0003382 4.63 2.00 5.13 26.35 25.98 25.37
OG0003384 1.88 1.69 1.81 27.09 27.49 26.69
OG0003385 1.14 0.80 1.10 9.46 9.08 9.55
OG0003387 3.94 1.97 3.19 21.10 22.43 21.23
OG0003388 3.60 3.04 2.92 35.97 42.84 37.76
OG0003389 5.79 2.92 5.34 42.23 41.68 50.60
OG0003390 2.66 0.70 2.77 25.79 28.19 25.12
OG0003391 0.71 2.65 2.65 29.16 43.17 43.17
OG0003392 2.75 1.51 2.92 19.00 20.69 21.71
OG0003393 7.77 1.06 6.86 121.85 123.44 119.95
OG0003394 2.52 0.58 2.34 12.80 13.95 13.96
OG0003395 4.37 3.52 1.18 19.61 19.39 25.22
OG0003397 4.06 3.99 5.72 48.73 48.30 50.39
OG0003398 2.11 1.27 2.29 15.23 15.35 15.13
OG0003399 2.59 1.79 2.59 16.13 13.33 16.37
OG0003400 0.71 1.06 5.46 18.22 18.01 13.49
OG0003401 9.21 8.80 5.57 27.53 28.19 30.32
OG0003402 1.60 1.41 1.99 28.52 29.16 28.74
OG0003403 4.75 2.09 4.41 40.44 40.99 39.90
OG0003404 9.40 10.00 16.74 32.49 25.93 33.23
OG0003406 2.56 1.52 1.91 22.17 22.92 22.55
OG0003407 2.14 1.54 2.39 35.38 34.61 35.12
OG0003408 2.70 0.93 2.84 22.92 24.19 23.38
OG0003411 3.66 4.24 6.46 18.18 19.75 18.92
OG0003412 4.66 1.52 4.77 22.17 23.81 21.76
OG0003413 2.10 44.08 1.99 19.01 16.81 34.70
OG0003414 1.82 0.70 1.96 16.57 17.70 16.33
OG0003415 5.58 1.89 5.22 27.24 25.65 27.73
OG0003416 1.66 1.35 1.52 17.71 17.54 18.66
OG0003417 6.63 0.97 7.01 21.89 23.30 21.79
OG0003420 15.59 6.37 6.32 16.87 18.79 23.49
OG0003422 6.88 4.36 7.88 24.13 24.99 23.75
OG0003424 0.72 0.48 0.36 13.67 13.67 13.25
OG0003425 3.85 2.24 3.39 21.83 23.11 22.08
OG0003427 1.78 0.91 1.91 18.02 18.73 18.37
OG0003430 6.91 3.49 4.77 15.57 20.37 21.45
OG0003431 65.99 5.50 65.57 47.63 66.21 34.70
OG0003432 2.82 3.68 4.95 27.35 28.86 26.97
OG0003433 5.31 2.84 5.23 32.09 34.29 33.77
OG0003434 3.06 2.07 3.53 21.09 21.11 21.87
OG0003435 4.34 1.90 4.76 24.48 27.11 25.03
OG0003436 2.25 1.25 2.62 37.12 37.60 37.75
OG0003438 2.44 2.09 2.26 48.19 48.19 49.14
OG0003441 4.37 1.49 4.56 44.45 47.43 44.08
