OG ENC_BAT ENC_BRO ENC_BGM SCUO_BAT SCUO_BRO SCUO_BGM MILC_BAT MILC_BRO MILC_BGM BAT_4FDS BRO_4FDS BGM_4FDS
OG0003220 31.00799 29.26728 29.38302 0.5729046 0.5865075 0.5729046 0.4659771 0.4334438 0.4659771 0.9514563 0.9708738 0.961165
OG0003221 52.94403 50.39645 52.38849 0.1364882 0.1443367 0.1364882 0.4469398 0.4529107 0.4469398 0.6858974 0.7115385 0.6891026
OG0003222 40.7875 33.31086 41.10692 0.2510713 0.4982469 0.2510713 0.4641333 0.53562 0.4641333 0.898374 0.9308943 0.898374
OG0003223 33.10994 32.76204 60.47792 0.1469662 0.4786391 0.1469662 1.338855 0.4816982 1.338855 0.90625 0.90625 0.71875
OG0003224 56.75616 56.81655 56.90976 0.04056085 0.03916976 0.04056085 0.4591003 0.460839 0.4591003 0.4528796 0.4790576 0.4633508
OG0003225 56.75616 56.81655 56.90976 0.04056085 0.03916976 0.04056085 0.4591003 0.460839 0.4591003 0.4528796 0.4790576 0.4633508
OG0003226 56.83582 57.42598 56.73905 0.06474774 0.05972643 0.06474774 0.4389897 0.4375481 0.4389897 0.5731225 0.56917 0.5612648
OG0003227 36.06219 36.62889 39.67737 0.3771118 0.449565 0.3771118 0.4189793 0.4327071 0.4189793 0.8598131 0.8504673 0.8691589
OG0003228 55.74703 56.48181 53.71699 0.1842468 0.1626313 0.1842468 0.2745757 0.2677421 0.2745757 0.4590164 0.442623 0.4754098
OG0003229 55.74703 56.48181 53.71699 0.1842468 0.1626313 0.1842468 0.2745757 0.2677421 0.2745757 0.4590164 0.442623 0.4754098
OG0003230 43.04121 38.65929 36.61499 0.4414145 0.3919259 0.4414145 0.3948662 0.3473374 0.3948662 0.8888889 0.9382716 0.8765432
OG0003231 44.24454 43.1615 49.17623 0.1575614 0.2316637 0.1575614 0.4578091 0.4605704 0.4578091 0.7288136 0.7570621 0.7231638
OG0003232 55.3495 47.06722 51.07072 0.1470626 0.210159 0.1470626 0.3721128 0.4200832 0.3721128 0.7631579 0.7631579 0.7631579
OG0003233 42.36753 34.64982 32.56837 0.4602197 0.4079423 0.4602197 0.491775 0.4479871 0.491775 0.8534483 0.862069 0.9310345
OG0003234 32.91513 30.26164 30.93915 0.5214148 0.552027 0.5214148 0.4345529 0.4679338 0.4345529 0.8962963 0.9259259 0.9407407
OG0003235 51.62988 53.15614 53.14202 0.1080624 0.1048546 0.1080624 0.4264343 0.4257497 0.4264343 0.2926829 0.2804878 0.2804878
OG0003236 35.28791 32.62298 28.16869 0.6161666 0.4980197 0.6161666 0.4059491 0.3973055 0.4059491 0.9236641 0.9465649 0.9465649
OG0003237 43.99442 45.1665 45.17776 0.2310784 0.2204677 0.2310784 0.4268919 0.4243127 0.4268919 0.6902174 0.673913 0.673913
OG0003238 28.45493 27.66685 28.08478 0.6102546 0.6307253 0.6102546 0.4350612 0.45405 0.4350612 0.9656652 0.9699571 0.9656652
OG0003239 52.19276 52.23381 51.97734 0.1012676 0.09889794 0.1012676 0.4489962 0.4511956 0.4489962 0.4175824 0.4505495 0.4395604
OG0003240 33.77852 34.77021 36.20041 0.3722491 0.4145965 0.3722491 0.467347 0.4630682 0.467347 0.9693487 0.9578544 0.9501916
OG0003241 46.92195 41.38625 41.138 0.300515 0.3053206 0.300515 0.4608758 0.4631269 0.4608758 0.7843137 0.8039216 0.8235294
OG0003242 41.30143 38.95653 40.98242 0.25427 0.3079336 0.25427 0.4559652 0.4643777 0.4559652 0.8060109 0.8333333 0.8142077
OG0003243 26.88451 25.81391 25.88678 0.7056339 0.7462031 0.7056339 0.3700573 0.3630717 0.3700573 0.9726027 0.9863014 1
OG0003244 58.74824 58.21047 58.34608 0.04606443 0.04761332 0.04606443 0.4273009 0.4301067 0.4273009 0.5874439 0.6278027 0.5919283
OG0003245 58.05574 56.7851 55.80445 0.06278526 0.05988493 0.06278526 0.4385717 0.43134 0.4385717 0.4958678 0.5206612 0.4876033
OG0003246 55.34376 56.77626 54.85492 0.07895822 0.06563697 0.07895822 0.4347607 0.4393558 0.4347607 0.339207 0.3303965 0.3259912
OG0003247 53.75056 54.23101 52.16411 0.09310539 0.0720929 0.09310539 0.4521501 0.4553022 0.4521501 0.3235294 0.328877 0.315508
OG0003248 58.05621 59.06314 57.88357 0.04868796 0.04975218 0.04868796 0.4236629 0.4210374 0.4236629 0.5462185 0.5714286 0.5714286
OG0003249 34.71628 33.00016 33.10453 0.4746229 0.4577332 0.4746229 0.4137608 0.4253386 0.4137608 0.9174757 0.9223301 0.9271845
OG0003250 30.15409 31.81538 29.25246 0.6151953 0.5547046 0.6151953 0.3409903 0.3551576 0.3409903 0.9714286 0.9809524 0.9809524
OG0003251 58.46323 57.13974 59.58066 0.05428005 0.08385421 0.05428005 0.3854868 0.3980384 0.3854868 0.4587156 0.4495413 0.4495413
OG0003252 26.49868 30.03934 25.61894 0.6646173 0.5993779 0.6646173 0.3247553 0.3643002 0.3247553 0.9493671 0.9367089 0.9746835
OG0003253 40.29257 37.6599 39.94479 0.3692422 0.4902803 0.3692422 0.3433132 0.3395167 0.3433132 0.8021978 0.7912088 0.8241758
OG0003254 58.59887 58.62782 58.61419 0.1097168 0.1017938 0.1097168 0.4143845 0.4166397 0.4143845 0.5327869 0.5491803 0.5286885
OG0003255 49.84539 56.502 52.74903 0.132084 0.2467074 0.132084 0.4045959 0.3480642 0.4045959 0.2727273 0.1818182 0.2424242
OG0003256 31.729 29.29561 30.44761 0.6079397 0.6150588 0.6079397 0.3369321 0.4128962 0.3369321 0.9277108 0.9759036 0.9638554
OG0003257 30.29757 55.97015 56.45422 0.02723832 0.02952713 0.02723832 0.514617 0.4910083 0.514617 0.9617225 0.9521531 0.9760766
OG0003258 53.99206 47.34 53.44962 0.08143562 0.4620021 0.08143562 0.4644514 0.6150661 0.4644514 0.8679245 0.8867925 0.8867925
OG0003259 46.42702 36.32422 37.58848 0.4379788 0.4726983 0.4379788 0.453796 0.4611177 0.453796 0.8625954 0.8778626 0.8473282
OG0003260 36.68105 33.66968 36.50415 0.3843163 0.4660452 0.3843163 0.4660156 0.4835564 0.4660156 0.8701923 0.9182692 0.8798077
OG0003261 52.41398 54.9187 55.90169 0.08517367 0.09342019 0.08517367 0.4308671 0.4323892 0.4308671 0.7213115 0.7322404 0.7322404
OG0003262 42.70737 41.00699 36.79744 0.4074118 0.3443567 0.4074118 0.3179625 0.3633955 0.3179625 0.1304348 0.173913 0.173913
OG0003263 49.244 55.19927 55.02696 0.1285139 0.1252145 0.1285139 0.4173198 0.4114647 0.4173198 0.7416667 0.7416667 0.75
OG0003264 31.93357 32.02683 32.48026 0.5819528 0.5751576 0.5819528 0.420107 0.435 0.420107 0.9583333 0.9625 0.9583333
OG0003265 51.14724 50.7596 52.84895 0.0871132 0.09901683 0.0871132 0.4565968 0.4619824 0.4565968 0.327044 0.3238994 0.3113208
OG0003266 26.69408 26.81571 27.20622 0.6408275 0.670041 0.6408275 0.4088163 0.4112878 0.4088163 0.9759615 0.9759615 0.9663462
OG0003267 56.80691 55.98516 56.82527 0.04893247 0.0690532 0.04893247 0.466681 0.4693508 0.466681 0.4887892 0.5246637 0.5156951
OG0003268 50.05704 47.94335 51.27474 0.3264511 0.3452739 0.3264511 0.1844855 0.2287376 0.1844855 0.6111111 0.6666667 0.6296296
OG0003269 37.79567 39.56037 31.78502 0.5341411 0.3333875 0.5341411 0.4529691 0.4279827 0.4529691 0.9279279 0.9279279 0.9279279
OG0003270 59.60139 57.79603 57.75848 0.09737396 0.09300261 0.09737396 0.3524175 0.3467166 0.3524175 0.4588235 0.4941176 0.4823529
OG0003271 46.94764 46.27226 46.97393 0.1543387 0.1621506 0.1543387 0.4469804 0.4464323 0.4469804 0.7220447 0.7284345 0.715655
OG0003272 30.6864 29.53616 30.25649 0.5618014 0.5942704 0.5618014 0.4676619 0.4780452 0.4676619 0.9628571 0.9857143 0.9742857
OG0003273 33.82938 33.58539 33.91599 0.4488839 0.4731145 0.4488839 0.4154334 0.4176992 0.4154334 0.8764045 0.8913858 0.8801498
OG0003274 57.25561 56.75869 56.89847 0.03313246 0.03506632 0.03313246 0.4735788 0.4741272 0.4735788 0.5128593 0.515885 0.5098336
OG0003275 59.47498 59.81275 58.93145 0.02979417 0.03047305 0.02979417 0.4671325 0.4579223 0.4671325 0.5155709 0.5259516 0.5259516
OG0003276 46.52874 49.9226 44.33642 0.3566853 0.2230032 0.3566853 0.4814625 0.4313702 0.4814625 0.7058824 0.7647059 0.7205882
OG0003277 41.72987 41.58383 41.45068 0.2542623 0.2530404 0.2542623 0.4349588 0.4295746 0.4349588 0.7954545 0.8045455 0.7954545
OG0003278 52.64038 29.14202 37.01793 0.5319962 0.5673368 0.5319962 0.5325603 0.4690485 0.5325603 1 1 1
OG0003279 50.08446 48.31671 49.39048 0.1374483 0.1593501 0.1374483 0.4568854 0.4620501 0.4568854 0.6651885 0.7028825 0.6674058
OG0003280 47.6123 46.20225 49.45788 0.1329036 0.198131 0.1329036 0.4699679 0.4739191 0.4699679 0.6655949 0.6881029 0.681672
OG0003281 52.48097 56.0024 52.58547 0.2141434 0.3615652 0.2141434 0.3124789 0.3246659 0.3124789 0.3333333 0.3555556 0.3333333
OG0003282 56.14015 53.49043 56.6357 0.06751498 0.1175021 0.06751498 0.4617214 0.4416541 0.4617214 0.6045198 0.6553672 0.6045198
OG0003284 32.31341 33.01064 45.38602 0.3290884 0.5786419 0.3290884 0.3488061 0.3052495 0.3488061 0.9178082 0.9452055 0.9178082
OG0003285 52.7266 53.24015 53.26807 0.08269941 0.0790736 0.08269941 0.4578722 0.4587407 0.4578722 0.3354839 0.3505376 0.3462366
OG0003286 31.6229 32.98393 32.07631 0.5171497 0.5070408 0.5171497 0.4377363 0.4419248 0.4377363 0.9496124 0.9379845 0.9379845
OG0003287 44.56552 43.13747 43.07423 0.3328152 0.297485 0.3328152 0.2905228 0.2917963 0.2905228 0.7727273 0.7727273 0.7613636
OG0003288 56.68698 56.82549 56.75463 0.03282653 0.03111916 0.03282653 0.4948205 0.4963087 0.4948205 0.4168536 0.431272 0.4190964
OG0003289 33.02264 34.34237 32.91721 0.55009 0.5532092 0.55009 0.4014754 0.4061361 0.4014754 0.9194313 0.9146919 0.9194313
OG0003290 52.69092 53.34391 46.73781 0.2550449 0.1944158 0.2550449 0.324114 0.3669789 0.324114 0.6923077 0.6923077 0.6730769
OG0003291 56.51903 56.69522 55.44433 0.06737537 0.06130906 0.06737537 0.4052293 0.4077206 0.4052293 0.3483871 0.3483871 0.3354839
OG0003292 38.13645 38.10651 39.73703 0.2708115 0.3252101 0.2708115 0.4780708 0.4745543 0.4780708 0.8835616 0.8869863 0.8818493
OG0003293 61 61 61 0.1809749 0.1542816 0.1809749 0.2227226 0.2132556 0.2227226 0.4418605 0.4651163 0.4651163
OG0003294 38.99694 32.3509 33.73205 0.4692428 0.4865746 0.4692428 0.4282295 0.4349924 0.4282295 0.8518519 0.8765432 0.8765432
OG0003295 50.67034 52.62602 54.40369 0.09792803 0.1349464 0.09792803 0.4202638 0.4082153 0.4202638 0.6333333 0.66 0.66
OG0003297 32.66595 31.44987 31.58992 0.4687062 0.4758064 0.4687062 0.4707457 0.4747843 0.4707457 0.9343066 0.9379562 0.9416058
OG0003299 38.96941 39.69069 39.66457 0.282402 0.2839139 0.282402 0.4767531 0.4758406 0.4767531 0.9352518 0.9136691 0.9280576
OG0003300 42.87412 38.37259 42.73614 0.2419919 0.3316438 0.2419919 0.4673314 0.4810646 0.4673314 0.821256 0.8478261 0.821256
OG0003301 57.29857 57.80246 56.16768 0.08025558 0.0878176 0.08025558 0.3853264 0.3910092 0.3853264 0.5177305 0.5531915 0.5460993
OG0003302 27.80232 26.91345 27.8845 0.7240073 0.7645035 0.7240073 0.2308828 0.2650562 0.2308828 0.9268293 0.9634146 0.9268293
OG0003303 35.50802 33.66852 40.6247 0.3975513 0.5071045 0.3975513 0.4277908 0.4615942 0.4277908 0.9338843 0.9504132 0.9256198
OG0003304 43.56242 43.75575 43.39327 0.1820196 0.1773176 0.1820196 0.4329961 0.4357698 0.4329961 0.1923077 0.2067308 0.2019231
OG0003305 49.21009 39.07023 38.85392 0.3033893 0.3484663 0.3033893 0.4730583 0.5139836 0.4730583 0.8518519 0.9506173 0.8271605
OG0003307 50.82865 49.63378 50.30558 0.178532 0.1787375 0.178532 0.4260098 0.4282821 0.4260098 0.7108434 0.7188755 0.7188755
OG0003308 48.73902 49.06321 48.1489 0.1602661 0.1605989 0.1602661 0.4088882 0.4122468 0.4088882 0.7745098 0.7843137 0.7794118
OG0003309 58.08033 57.98444 58.59878 0.0587185 0.06602536 0.0587185 0.4232306 0.4240946 0.4232306 0.5853659 0.6243902 0.595122
OG0003310 54.08592 54.28848 55.88633 0.1688288 0.1294247 0.1688288 0.3930261 0.4075886 0.3930261 0.6419753 0.6790123 0.6666667
OG0003312 30.09384 30.36273 30.62874 0.5380595 0.5483439 0.5380595 0.4658982 0.4713765 0.4658982 0.9628906 0.9628906 0.9667969
OG0003313 38.85133 33.76616 41.6827 0.2419564 0.3932144 0.2419564 0.4708239 0.4939005 0.4708239 0.8719212 0.9014778 0.8719212
OG0003314 49.82317 42.64339 39.54019 0.3344767 0.2795341 0.3344767 0.4453441 0.448686 0.4453441 0.8 0.8210526 0.8315789
OG0003315 40.6201 43.49576 40.561 0.4036609 0.3577063 0.4036609 0.383785 0.3914414 0.383785 0.8585859 0.8888889 0.9090909
OG0003316 55.45065 56.09037 55.3724 0.0973644 0.0904603 0.0973644 0.3834414 0.3891547 0.3834414 0.525974 0.5779221 0.525974
OG0003317 47.33651 50.08494 49.56726 0.1445024 0.139888 0.1445024 0.4641773 0.4655733 0.4641773 0.7142857 0.7321429 0.7142857
OG0003318 38.33301 42.43344 39.37432 0.3289434 0.3744777 0.3289434 0.3488877 0.3508498 0.3488877 0.8495575 0.8584071 0.840708
OG0003319 50.03145 51.01537 50.2949 0.1098723 0.09827153 0.1098723 0.4570323 0.4579452 0.4570323 0.3115942 0.326087 0.3115942
OG0003320 33.01875 33.36163 36.59153 0.3566233 0.4560036 0.3566233 0.4485082 0.4503704 0.4485082 0.896861 0.9058296 0.8878924
OG0003321 37.40075 36.5477 44.43316 0.2761693 0.3455699 0.2761693 2.613397 0.49578 2.613397 0.875 0.8125 0.25
OG0003322 46.45552 43.09454 45.87471 0.4084359 0.4597932 0.4084359 0.2501803 0.2691588 0.2501803 0.7843137 0.8431373 0.8039216
OG0003323 60.1129 59.94254 60.9715 0.04233372 0.05462488 0.04233372 0.3980413 0.404595 0.3980413 0.4179104 0.4552239 0.4179104
OG0003324 57.81865 51.66461 57.34471 0.03211423 0.1393853 0.03211423 0.4810155 0.5684306 0.4810155 0.2850242 0.294686 0.2898551
OG0003325 54.66742 54.79912 54.75966 0.08112267 0.079603 0.08112267 0.4408497 0.4415558 0.4408497 0.3432836 0.3395522 0.3507463
OG0003326 53.24522 52.86085 53.49327 0.1393794 0.1519142 0.1393794 0.3519045 0.3548501 0.3519045 0.4576271 0.4576271 0.4661017
OG0003327 31.76239 31.13676 33.70796 0.4349166 0.4841742 0.4349166 0.4397413 0.4520847 0.4397413 0.9190476 0.9190476 0.9142857
OG0003328 53.24818 52.17732 48.60547 0.2047948 0.1028803 0.2047948 0.4577825 0.4404798 0.4577825 0.7042254 0.7605634 0.7183099
OG0003329 52.76726 50.54303 49.77344 0.1962242 0.1650133 0.1962242 0.4587209 0.4570254 0.4587209 0.6533333 0.7266667 0.6466667
OG0003330 37.85082 37.41446 37.98967 0.525816 0.5361605 0.525816 0.2340776 0.2607751 0.2340776 0.8235294 0.8235294 0.8235294
