OG BAT_3_utr_gc BAT_5_utr_gc BRO_3_utr_gc BRO_5_utr_gc BGM_3_utr_gc BGM_5_utr_gc
OG0002989 29.38 NA 31.91 45.47 30.91 36.29
OG0002993 31.75 34.21 30.31 33.33 30.34 37.71
OG0002994 37.15 80.30 41.18 71.93 41.51 74.71
OG0002996 34.28 38.89 34.65 35.47 34.13 36.49
OG0002998 35.50 26.98 35.33 32.14 35.74 32.65
OG0002999 31.93 56.35 32.57 55.22 31.20 48.77
OG0003000 40.10 33.33 39.37 33.76 28.02 34.24
OG0003001 35.43 36.05 36.04 29.51 37.52 36.89
OG0003003 29.36 80.33 29.32 41.90 35.97 32.46
OG0003004 32.00 64.63 33.21 41.77 32.02 34.62
OG0003006 33.13 39.52 35.50 56.95 33.66 44.89
OG0003007 36.69 35.41 43.66 30.79 36.31 35.98
OG0003008 33.50 64.81 33.84 63.74 39.70 57.08
OG0003012 36.10 31.60 35.41 27.69 37.12 30.30
OG0003013 31.29 35.28 31.17 35.30 32.23 33.27
OG0003014 32.78 59.49 39.99 45.05 33.80 60.16
OG0003017 34.18 38.00 31.93 NA 34.52 36.70
OG0003020 32.82 62.86 58.05 62.70 34.90 NA
OG0003021 44.34 33.99 23.91 36.79 41.71 37.72
OG0003022 30.53 45.51 30.96 46.88 31.04 46.05
OG0003024 32.86 37.24 31.28 41.20 32.27 41.41
OG0003025 37.25 32.95 36.44 40.37 34.07 28.29
OG0003026 36.51 30.05 51.15 79.82 32.42 77.10
OG0003028 25.68 27.94 29.92 33.10 24.09 37.38
OG0003029 33.93 52.29 36.69 35.11 34.64 30.48
OG0003030 34.67 40.85 43.47 38.01 35.81 40.63
OG0003032 35.12 75.70 32.21 71.88 30.28 75.76
OG0003033 36.42 NA NA 74.55 36.46 NA
OG0003034 32.77 27.78 31.85 30.31 32.57 27.69
OG0003035 29.13 33.15 31.36 33.42 31.89 33.56
OG0003036 42.11 52.43 40.68 55.92 38.49 57.11
OG0003037 30.36 21.88 33.68 25.53 31.00 23.44
OG0003039 35.16 38.30 36.11 38.10 38.99 31.86
OG0003040 30.56 46.36 30.45 46.74 32.91 45.23
OG0003041 34.54 NA 34.04 65.48 35.09 NA
OG0003045 38.72 60.00 47.73 53.49 38.56 51.90
OG0003046 30.47 27.04 33.16 28.18 30.16 28.94
OG0003047 29.58 66.67 29.17 68.49 36.77 44.66
OG0003049 38.38 40.08 39.16 36.67 38.44 35.84
OG0003052 38.06 43.05 32.07 44.03 32.40 46.20
OG0003054 29.59 34.95 27.81 34.91 29.01 34.96
OG0003056 28.26 30.29 35.48 36.88 27.16 43.35
OG0003057 41.83 27.40 46.51 31.10 36.92 34.91
OG0003058 37.66 31.58 39.47 24.59 39.67 23.61
OG0003059 27.86 65.12 27.84 65.55 29.61 66.20
OG0003060 32.09 34.74 32.75 32.11 32.87 34.81
OG0003063 35.42 33.64 39.38 37.85 30.50 33.37
OG0003064 22.43 60.94 35.15 58.01 38.32 58.81
OG0003065 30.80 56.66 35.56 61.86 31.59 61.78
OG0003067 29.04 41.33 41.12 51.23 29.76 37.93
OG0003068 NA 36.38 42.25 34.11 25.84 34.79
OG0003069 33.62 33.78 35.08 30.77 34.29 32.64
OG0003070 34.57 33.49 34.38 46.32 34.82 37.45
OG0003072 34.32 32.50 36.38 NA 38.29 32.00
OG0003074 29.80 33.33 34.34 34.62 28.75 40.78
OG0003075 31.24 28.21 32.14 34.88 28.94 32.68
OG0003076 30.11 49.38 65.50 NA 66.78 45.29
OG0003077 34.63 31.52 34.77 41.16 33.59 30.17
OG0003078 33.51 35.17 30.79 35.44 30.97 34.71
OG0003080 42.75 44.59 49.23 43.86 41.38 43.27
OG0003081 36.08 65.31 32.99 67.42 34.04 70.91
OG0003082 34.86 28.47 35.64 27.17 31.70 25.94
OG0003083 54.55 34.00 NA 25.93 33.33 25.35
OG0003084 27.31 70.21 29.72 68.60 26.80 69.29
OG0003086 49.40 31.33 38.72 42.02 35.25 27.90
OG0003087 33.92 61.80 34.75 50.41 32.19 50.24
OG0003088 36.50 24.07 37.96 23.60 41.58 23.95
OG0003089 35.97 71.21 48.79 69.01 38.61 69.33
OG0003091 38.58 43.03 34.19 32.39 32.65 35.56
OG0003092 NA 31.73 34.29 44.30 27.27 43.83
OG0003093 29.85 36.81 30.91 36.82 31.90 38.30
OG0003094 29.02 31.68 34.24 43.48 33.38 34.26
OG0003096 38.45 49.95 36.56 66.19 38.31 67.69
OG0003097 40.22 41.73 32.99 33.01 31.08 32.69
OG0003098 34.60 33.95 31.91 27.46 32.42 26.19
OG0003099 30.16 65.28 28.75 68.18 29.36 68.92
OG0003100 38.33 32.45 33.76 38.39 34.25 32.57
OG0003101 35.21 41.24 26.96 40.05 35.45 30.99
OG0003103 33.32 26.47 33.84 25.51 26.06 26.23
OG0003105 33.26 35.97 33.17 48.33 33.18 32.08
OG0003108 33.69 26.98 37.40 30.66 33.51 36.61
OG0003109 40.85 30.19 33.11 36.48 34.39 38.45
OG0003111 33.08 31.86 21.04 32.71 25.26 31.85
OG0003112 30.99 32.55 30.65 23.20 32.95 32.81
OG0003113 38.37 57.06 46.85 64.27 39.15 58.19
OG0003114 33.56 32.77 32.51 33.38 33.21 32.82
OG0003117 30.68 39.25 27.76 33.86 31.07 31.67
OG0003119 29.53 33.25 28.46 32.70 30.92 33.17
OG0003120 34.34 39.74 31.43 48.65 33.94 54.84
OG0003121 32.05 68.42 33.71 64.29 33.57 44.16
OG0003122 36.59 35.22 38.14 29.91 36.90 35.84
OG0003127 39.18 52.34 52.48 40.71 40.99 35.82
OG0003129 30.78 33.57 32.28 34.47 31.12 31.82
OG0003130 41.65 37.97 41.25 34.61 39.51 36.57
OG0003131 35.69 29.61 30.92 29.91 34.42 30.24
OG0003132 35.57 33.40 37.11 32.77 37.01 37.95
OG0003133 36.09 45.86 NA 43.99 50.26 45.80
OG0003136 22.47 40.70 30.08 33.61 21.84 45.69
OG0003137 30.23 35.28 33.26 37.63 31.49 38.83
OG0003138 36.64 36.24 37.20 30.43 35.47 44.23
OG0003139 39.57 34.73 35.36 30.52 40.58 34.47
OG0003140 34.49 71.20 33.54 69.29 32.91 71.13
OG0003141 30.37 31.69 31.74 35.71 29.49 30.16
OG0003142 31.50 40.56 32.10 39.85 32.65 52.41
OG0003144 36.75 67.54 52.12 62.20 39.36 60.62
OG0003145 32.65 41.61 33.50 42.08 32.94 29.48
OG0003146 33.95 37.67 41.81 63.69 36.12 40.23
OG0003148 28.06 87.50 29.75 87.50 27.96 58.14
OG0003151 50.92 33.54 47.09 43.05 39.07 41.01
OG0003152 41.09 30.07 34.05 32.62 33.88 36.46
OG0003153 28.54 38.00 33.72 34.67 28.12 31.58
OG0003154 32.93 32.02 37.25 27.12 32.57 27.33
OG0003156 28.14 41.32 35.70 31.63 34.57 31.83
OG0003159 35.84 29.73 35.35 28.85 36.10 31.19
OG0003160 47.43 66.67 55.47 58.18 55.28 50.66
OG0003161 40.50 51.04 41.86 52.13 33.97 47.26
OG0003162 26.79 55.22 27.32 52.54 37.10 50.14
OG0003165 30.22 31.18 30.67 36.32 31.76 35.02
OG0003166 25.57 37.95 29.83 45.90 24.90 37.79
OG0003169 36.22 23.08 35.75 27.67 34.90 27.47
OG0003170 32.20 28.10 33.09 47.12 33.27 35.09
OG0003172 27.45 26.42 26.87 27.55 26.72 30.67
OG0003174 26.23 25.64 37.06 26.56 34.22 31.94
OG0003175 35.00 49.68 36.41 43.19 35.74 47.49
OG0003176 38.07 41.74 46.31 41.98 40.34 NA
OG0003177 50.26 42.86 68.00 36.92 32.00 37.79
OG0003178 28.16 47.57 27.75 52.98 27.25 42.34
OG0003179 53.26 66.23 46.59 68.29 44.81 60.53
OG0003180 34.16 27.48 34.14 30.35 34.89 28.03
OG0003182 38.76 30.84 31.84 32.08 35.69 33.29
OG0003183 27.94 30.12 34.61 28.95 32.04 39.72
OG0003184 26.03 29.07 26.54 29.97 25.82 29.19
OG0003185 28.88 37.01 31.39 85.71 28.71 45.13
OG0003186 29.90 29.63 33.75 37.57 30.14 35.67
OG0003187 30.91 27.31 30.45 30.62 30.16 25.00
OG0003188 33.89 31.34 33.33 42.86 31.74 38.17
OG0003189 33.42 34.36 31.43 30.00 37.83 24.42
OG0003190 31.33 39.07 31.35 41.05 29.89 42.20
OG0003194 33.33 34.22 35.34 40.88 52.86 39.87
OG0003195 30.07 32.58 31.45 31.85 30.83 27.20
OG0003196 28.85 25.83 29.94 32.75 28.81 28.99
OG0003198 30.58 25.96 31.39 25.10 28.79 32.84
OG0003200 30.92 69.23 32.70 67.39 32.13 58.40
OG0003201 36.32 28.89 33.54 30.46 36.31 30.77
OG0003205 31.93 62.50 29.04 NA 33.98 70.64
OG0003207 30.69 28.73 29.54 28.44 31.12 29.39
OG0003208 35.44 34.03 36.44 33.62 33.03 30.89
OG0003209 36.91 64.55 40.77 61.83 37.13 76.47
OG0003210 31.28 30.46 31.20 33.49 31.32 31.29
OG0003211 33.37 32.26 35.26 30.69 32.49 31.90
OG0003213 30.43 31.33 32.54 33.87 40.21 32.99
OG0003214 63.64 NA NA 58.82 44.44 51.86
OG0003215 40.56 37.12 40.73 34.45 40.00 40.00
OG0003217 29.14 39.96 35.00 35.71 31.31 31.94
OG0003218 32.52 33.51 29.05 34.15 28.85 33.42
OG0003221 29.02 28.41 28.68 33.79 31.84 33.82
OG0003223 34.41 35.76 29.20 35.48 30.43 32.75
OG0003224 34.76 43.44 34.65 48.90 34.55 34.56
OG0003225 39.21 39.48 39.03 35.74 NA 36.84
OG0003226 34.64 27.80 35.40 42.00 30.90 40.71
OG0003227 36.87 48.15 33.61 40.98 35.92 48.08
OG0003228 46.49 31.84 31.15 33.86 31.14 46.55
OG0003230 30.63 42.73 27.72 15.38 29.77 37.30
OG0003231 31.94 32.79 31.67 31.88 32.08 29.78
OG0003232 37.25 70.63 36.06 70.68 33.70 70.59
OG0003233 45.86 68.48 37.52 64.73 46.61 67.42
OG0003234 28.55 44.19 29.02 39.85 31.07 37.71
OG0003235 31.18 44.31 36.28 49.59 31.22 49.61
OG0003236 30.87 28.19 30.89 27.21 38.37 29.86
OG0003237 28.86 35.15 31.53 40.43 31.58 31.83
OG0003238 61.90 33.19 50.38 33.33 37.76 43.92
OG0003239 32.77 31.58 32.13 29.91 38.75 27.48
OG0003240 27.31 39.58 33.58 38.97 49.25 36.82
OG0003241 30.44 36.69 29.98 36.05 28.93 35.88
OG0003242 28.18 70.11 29.13 63.38 29.51 70.23
OG0003243 30.36 28.10 39.65 NA 29.56 23.73
OG0003244 29.50 35.71 32.37 36.16 29.56 30.37
OG0003246 29.81 34.00 30.33 53.34 29.53 33.98
OG0003247 37.43 30.42 32.77 33.33 29.90 39.02
OG0003250 33.33 70.89 36.82 NA 32.38 46.52
OG0003251 35.01 NA 37.45 69.05 35.34 71.82
OG0003252 34.02 31.49 39.77 31.28 34.39 28.80
OG0003254 33.81 32.00 35.20 30.59 35.03 29.51
OG0003255 34.17 34.47 32.92 30.42 33.99 32.05
OG0003256 28.50 45.56 29.45 45.09 28.28 44.37
OG0003257 30.99 40.54 NA 41.48 29.14 37.08
OG0003258 40.75 32.82 33.76 31.51 37.15 32.87
OG0003260 55.66 36.82 43.54 43.28 52.15 37.21
OG0003261 29.57 31.94 30.50 33.59 29.66 33.03
OG0003262 38.14 36.72 37.83 51.04 37.59 35.32
OG0003263 35.26 34.81 35.17 38.54 34.44 39.26
OG0003266 33.41 33.18 41.47 NA 39.29 34.95
OG0003267 41.89 38.02 34.17 NA 31.80 NA
OG0003268 29.80 26.67 30.02 26.40 29.06 27.87
OG0003269 26.79 68.84 38.44 NA 28.99 34.15
OG0003270 29.30 NA 50.32 0.00 28.84 46.57
OG0003271 31.51 32.15 30.37 34.58 30.29 34.04
OG0003272 38.55 23.81 30.84 26.99 29.52 24.60
OG0003273 33.14 34.96 32.41 39.22 41.18 37.91
OG0003274 27.75 36.16 31.66 40.94 29.49 30.17
OG0003275 32.49 40.45 32.21 45.21 33.24 36.84
OG0003276 34.01 28.93 34.00 29.01 32.45 28.12
OG0003277 25.64 33.60 45.30 33.88 22.73 30.61
OG0003278 47.23 54.17 41.70 32.82 46.04 44.13
OG0003279 29.40 42.26 32.97 40.84 28.38 35.68
OG0003280 28.21 33.78 34.12 36.36 29.57 31.82
OG0003281 34.00 35.03 31.94 36.48 32.57 34.85
OG0003282 NA 68.42 NA 66.26 NA NA
OG0003283 32.73 54.70 35.63 59.11 39.70 55.29
OG0003286 50.51 65.00 38.65 65.33 35.08 66.29
OG0003287 31.47 42.91 32.46 33.77 30.96 36.98
OG0003288 31.29 33.47 37.58 33.89 31.52 36.09
OG0003290 28.42 46.80 27.99 33.02 27.89 33.73
OG0003291 32.05 28.30 27.82 29.02 32.13 38.18
OG0003292 29.26 30.74 29.83 30.71 33.68 30.04
OG0003293 32.37 33.05 32.35 32.61 32.03 34.25
OG0003295 36.86 34.56 NA 33.47 29.73 34.34
OG0003302 45.27 32.87 27.23 NA 38.51 32.85
OG0003303 36.25 27.78 32.30 28.57 30.48 34.72
OG0003304 36.93 31.85 34.74 34.25 34.15 30.71
OG0003305 29.49 48.43 29.97 48.48 27.80 55.25
OG0003306 37.37 40.96 34.96 62.07 36.88 30.48
OG0003307 29.40 31.37 31.04 31.51 29.00 30.64
OG0003308 30.59 35.14 28.75 32.01 35.29 29.05
OG0003309 30.46 68.52 29.00 74.36 29.82 31.78
OG0003311 37.70 NA 34.00 NA 36.19 30.93
OG0003312 38.48 37.19 37.67 31.96 38.46 31.56
OG0003313 36.50 28.61 36.95 27.86 34.57 27.02
OG0003316 57.20 43.10 35.50 40.95 42.59 40.20
OG0003317 30.49 35.29 31.22 25.07 34.03 32.55
OG0003319 33.43 80.65 34.92 79.14 34.10 71.81
OG0003321 41.87 31.93 42.90 36.87 37.65 31.88
OG0003322 41.92 29.63 37.71 32.92 36.56 31.38
OG0003326 36.41 34.87 31.15 24.50 34.39 31.84
OG0003327 28.22 36.60 28.06 31.73 28.01 33.79
OG0003328 34.54 65.36 48.33 29.11 32.45 39.64
OG0003329 37.39 34.49 38.56 34.12 31.66 47.62
OG0003330 46.75 33.84 42.82 34.40 42.30 32.63
OG0003332 37.80 48.91 45.24 33.89 35.70 38.24
OG0003334 37.76 31.52 34.12 37.29 33.58 36.73
OG0003336 41.75 26.63 40.43 28.63 44.48 28.29
OG0003339 34.37 NA 35.25 30.74 35.48 40.12
OG0003340 33.71 55.02 76.92 52.00 32.86 37.20
OG0003341 31.26 33.33 30.76 33.04 31.90 33.86
OG0003342 30.24 33.10 31.84 40.69 36.39 34.98
OG0003343 32.23 32.44 33.63 33.03 31.18 33.48
OG0003345 29.98 50.59 36.93 52.82 36.33 40.47
OG0003346 27.93 36.66 32.62 40.38 29.31 39.24
OG0003347 39.64 68.85 42.29 67.65 37.13 48.44
OG0003348 32.04 28.17 32.74 NA 33.39 24.39
OG0003349 31.04 79.59 29.86 66.95 29.99 NA
OG0003350 29.51 53.39 29.99 53.92 34.42 42.54
OG0003351 31.77 36.43 31.91 32.52 31.03 35.29
OG0003352 33.33 27.49 35.58 33.33 32.55 33.58
OG0003353 34.38 23.49 28.80 25.53 26.62 27.86
OG0003354 33.68 41.67 35.73 39.02 36.29 32.41
OG0003355 36.91 72.18 38.87 71.26 38.71 72.63
OG0003356 28.80 29.81 31.53 35.50 32.70 35.45
OG0003357 35.24 33.05 34.88 34.53 37.13 33.24
OG0003358 NA 64.90 44.42 62.56 NA 54.98
OG0003360 30.39 NA 36.24 46.58 34.33 NA
OG0003361 41.67 77.42 39.87 NA 39.78 41.33
OG0003362 33.85 36.51 35.66 36.73 32.98 31.10
OG0003365 31.77 43.73 33.31 43.38 32.77 43.39
OG0003366 37.17 70.59 36.87 35.92 39.01 57.04
OG0003368 34.96 42.05 33.83 29.74 36.54 49.18
OG0003369 32.10 40.30 31.71 39.25 42.45 37.33
OG0003371 43.15 32.34 29.80 33.66 32.15 35.34
OG0003372 35.58 46.49 34.00 43.23 36.08 41.32
OG0003373 29.03 31.30 34.07 28.45 29.55 29.82
OG0003375 27.85 35.26 37.28 30.21 33.92 32.84
OG0003376 34.57 28.57 45.92 NA 42.88 24.87
OG0003377 NA 30.74 30.87 32.32 36.56 32.66
OG0003379 30.05 65.87 30.82 42.57 29.21 65.58
OG0003382 33.91 33.10 35.08 25.35 31.05 31.32
OG0003384 32.48 32.13 32.97 30.62 31.58 31.18
OG0003385 42.62 45.99 43.82 48.11 40.60 42.94
OG0003387 35.20 40.62 33.91 33.87 31.70 24.65
OG0003388 31.44 27.19 29.82 42.60 31.97 24.68
OG0003389 30.07 26.47 29.90 28.33 33.33 23.36
OG0003390 27.74 64.59 27.39 66.34 27.59 44.01
OG0003391 33.59 27.42 31.73 37.17 31.49 37.90
OG0003392 32.09 62.92 36.06 62.02 38.08 55.59
OG0003393 53.82 50.49 53.14 32.54 30.94 59.29
OG0003394 33.28 45.32 32.80 34.01 32.35 44.03
OG0003395 35.41 23.89 34.06 31.58 31.48 30.77
OG0003397 26.01 24.02 27.56 34.37 27.56 32.75
OG0003398 NA 38.34 27.87 34.18 32.46 37.26
OG0003399 41.82 51.96 31.84 49.56 38.85 50.51
OG0003400 32.35 NA 32.84 NA 32.69 57.52
OG0003401 25.81 36.09 36.44 32.83 22.95 37.70
OG0003402 29.61 29.86 32.45 28.12 31.75 30.11
OG0003403 32.12 29.39 36.29 28.45 31.51 28.51
OG0003404 61.70 43.88 NA 53.47 55.46 38.50
OG0003406 37.10 NA 34.29 70.50 32.89 72.06
OG0003407 34.92 34.35 30.06 24.41 38.39 33.03
OG0003408 34.12 30.34 35.20 35.11 37.14 37.70
OG0003411 31.66 39.02 32.36 30.80 33.10 30.46
OG0003412 35.82 33.33 36.50 38.39 34.76 38.18
OG0003413 31.43 44.46 30.91 58.16 39.90 51.86
OG0003414 33.53 33.65 32.83 37.90 31.71 33.60
OG0003415 28.08 30.77 62.81 40.96 30.63 37.73
OG0003416 32.52 29.03 38.20 29.76 36.20 34.16
OG0003417 39.75 31.14 39.16 33.09 58.73 36.10
OG0003420 34.43 18.82 38.38 33.15 41.59 20.14
OG0003422 31.48 75.37 31.91 71.43 30.29 75.56
OG0003424 31.98 28.24 32.33 29.25 31.81 27.69
OG0003425 40.33 37.12 38.37 37.62 36.92 34.97
OG0003427 39.50 36.47 45.84 28.70 40.96 34.54
OG0003430 35.49 74.78 35.87 30.99 36.33 78.38
OG0003431 NA NA 37.86 39.01 NA 36.11
OG0003432 34.97 62.55 37.82 54.76 35.49 61.80
OG0003433 21.43 31.06 25.93 32.43 26.67 30.35
OG0003434 34.05 36.22 NA 36.71 34.38 35.19
OG0003435 33.60 26.17 33.16 54.00 35.96 50.77
OG0003436 21.25 27.50 30.55 26.48 23.45 44.30
OG0003438 25.94 NA 31.89 30.93 29.86 NA
OG0003441 33.13 31.30 32.20 33.06 33.42 34.53
OG0003442 NA 48.94 NA 38.25 NA 32.33
OG0003443 31.08 32.19 32.53 35.49 31.36 36.32
OG0003444 34.45 35.75 34.65 31.08 38.36 32.65
OG0003445 33.68 35.78 33.27 34.64 32.37 35.22
OG0003446 32.89 27.74 36.63 28.52 34.08 26.85
OG0003447 32.06 31.55 35.99 37.70 35.76 35.29
OG0003450 41.08 NA 64.94 72.77 41.27 76.14
OG0003451 32.42 41.67 32.16 42.45 31.69 41.98
OG0003453 46.41 38.48 43.95 36.21 41.97 38.69
OG0003454 35.87 30.21 44.00 33.99 48.86 31.36
OG0003458 28.16 44.69 33.61 42.99 32.85 60.68
OG0003459 32.38 33.17 31.47 36.31 31.58 31.61
OG0003460 34.86 64.94 31.63 69.30 33.07 80.00
OG0003461 33.36 28.08 43.16 41.50 35.23 26.28
OG0003462 32.52 44.06 30.52 43.39 33.08 37.74
