OG BAT_W-S BAT_S-W BAT_W-W BAT_S-S BRO_W-S BRO_S-W  BRO_W-W BRO_S-S BGM_W-S BGM_S-W BGM_W-W BGM_S-S BGC_BAT BGC_BAT_pval BGC_BRO BGC_BRO_pval BGC_BGM BGC_BGM_pval ENC_BAT ENC_BRO ENC_BGM SCUO_BAT SCUO_BRO SCUO_BGM MILC_BAT MILC_BRO MILC_BGM BAT_4FDS BRO_4FDS BGM_4FDS
OG0002831 7.606723 11.38693 0.04985789 1.652405 40.32128 26.13006 16.29809 2.722159 2.073591 7.525926 0.3366929 0.2422271 NA 0.9997686 NA 0.01085622 NA 0.9997686 43.06138 39.84657 42.95883 0.240909 0.3089682 0.2385255 0.462418 0.5389945 0.4667364 0.8197674 0.8604651 0.8313953
OG0002832 0.3122307 0.1793398 0.2763803 0.007221229 49.67925 48.19357 27.9057 13.69961 15.77341 21.69241 11.82446 4.069148 NA 0.6515968 NA 0.469607 NA 0.9996186 54.36536 49.2895 56.00677 0.1233633 0.212094 0.1022397 0.4605023 0.5424406 0.4421298 0.7272727 0.5454545 0.7272727
OG0002834 12.80826 12.96035 3.094194 2.389259 35.66298 29.07821 13.91106 6.198263 7.128824 11.44425 2.77087 1.718656 NA 0.9999895 NA 0.302682 NA 0.9999897 54.88327 54.16163 53.88602 0.07383002 0.09872378 0.09273275 0.4709759 0.4656433 0.4559433 0.6315789 0.7105263 0.6973684
OG0002835 1.085772 2.704155 0.9999364 0.01617976 3.138718 7.027577 0.00573392 2.00162 0.06397818 3.966861 0.001911964 0.0152661 NA 0.9964817 NA 0.9964817 NA 0.9964817 49.62694 51.37887 51.39144 0.1579952 0.1373869 0.1435138 0.418412 0.415886 0.4141736 0.5612245 0.5612245 0.5510204
OG0002837 11.73249 13.94824 2.719969 1.202825 32.35435 26.71907 11.90095 4.274465 1.973507 3.069758 0.395271 1.158726 NA 0.9904442 NA 0.2781723 NA 0.9904442 45.41748 40.60928 41.64935 0.2662439 0.3558207 0.3823128 0.4598021 0.4606752 0.4609524 0.8076923 0.8589744 0.8589744
OG0002838 19.93837 22.83083 9.269123 5.879058 12.88644 4.589627 4.840048 1.510465 3.842985 7.321886 1.893382 0.2983006 NA 0.9988547 NA 0.008925987 NA 0.9999654 38.25379 35.60413 33.28708 0.4063703 0.3737252 0.4884304 0.471934 0.483916 0.5563635 0.9294118 0.9764706 0.9294118
OG0002840 4.655855 8.878367 3.229042 3.589778 9.344696 9.778638 11.97017 0.4843317 2.15694 1.607238 0.09971677 0.01718498 NA 0.9999922 NA 0.7400888 NA 0.6099167 38.46638 37.98713 36.75532 0.3597143 0.3741751 0.3951944 0.4395574 0.4316076 0.4513695 0.8165138 0.8073394 0.8256881
OG0002841 1.280035 5.052309 1.054741 0.04610721 1.119182 4.872779 2.983898 0.9827206 4.284124 0.06370401 1.05389 1.044377 NA 0.9998948 NA 0.9998948 NA 0.02622305 47.79689 43.65505 43.0156 0.2534722 0.2536302 0.2735933 0.4135134 0.4167514 0.4439994 0.7473684 0.7894737 0.8105263
OG0002842 2.826077 5.564101 5.148612 0.3488148 73.60459 51.16591 83.19248 15.02162 1.84489 3.479262 3.43333 0.005953612 NA 0.9999423 NA 0.004531897 NA 0.9999491 31.80462 30.95163 31.16553 0.4984184 0.5210722 0.5231812 0.470442 0.4728878 0.4742427 1 0.8571429 1
OG0002844 6.082004 6.639096 3.300353 3.845036 30.97549 16.55102 10.07351 5.945973 178.5633 160.6876 42.81827 80.02607 NA 1 NA 0.02251589 NA 0.4147695 56.86295 55.36537 58.05155 0.05289347 0.06163624 0.04411173 0.4580304 0.4588787 0.4663902 0.4 0.4 0.25
OG0002846 0.08426645 1.319981 0.7046945 0.4743026 2.004358 0.0312372 2.045902 0.001499027 1.62843e-15 2.189331e-13 1.825368e-15 5.686989e-16 NA 0.999612 NA 0.1148899 NA 0.9995942 32.15212 32.29525 32.7173 0.5610859 0.5472971 0.5287964 0.3982608 0.3962148 0.4026934 0.9130435 0.9130435 0.9130435
OG0002847 2.587357e-18 1.215738e-16 -1.704692e-18 3.256208e-19 4.610899e-08 1.00001 0.9999995 2.323513e-09 0.9999896 7.756572e-09 4.417517e-07 6.549235e-10 NA 0.9952142 NA 0.9952142 NA 0.1968866 56.08042 54.67725 54.9978 0.2227309 0.2368547 0.2280068 0.2352589 0.2594443 0.2457491 0.4444444 0.4444444 0.4666667
OG0002849 3.170544 4.217163 2.61549 0.7545323 15.22632 6.053113 1.757065 0.515359 22.72492 53.44358 10.60157 6.28658 NA 0.9998134 NA 0.00456829 NA 0.9998129 42.97474 37.57032 40.89956 0.3192058 0.3355213 0.2841513 0.4563526 0.4834908 0.46831 0.8431373 0.9215686 0.7843137
OG0002851 5.706936 10.75421 1.925136 0.1856457 7.28676 15.55114 2.273649 0.2539113 2.761433 3.710962 0.3470064 0.06835794 NA 0.9991999 NA 0.9991999 NA 0.9991998 41.43046 43.4581 39.47863 0.361457 0.3158391 0.3768228 0.4100522 0.3972881 0.4105154 0.796748 0.7804878 0.8292683
OG0002853 0.09522668 4.229227 0.8551256 0.3960677 6.094826 9.97132 1.094557 0.008129958 0.06664044 3.943134 0.9177661 0.008097289 NA 0.9991575 NA 0.9991575 NA 0.9991575 55.0527 54.03495 53.65923 0.1629822 0.1667504 0.1695193 0.3344117 0.3476671 0.3316168 0.6888889 0.6666667 0.7111111
OG0002855 4.44171 8.85271 0.05377618 1.953635 33.33145 18.37215 6.096462 3.282767 2.304168 8.917258 0.05174453 2.727626 NA 0.9975475 NA 0.02946632 NA 0.9975477 52.94403 50.39645 52.38849 0.1287291 0.1443367 0.1364882 0.4505184 0.4606325 0.4560857 0.6818182 0.6969697 0.6818182
OG0002856 7.264766 8.173064 7.425669 2.219854 30.82619 20.10228 29.33337 9.772093 5.672192 7.550953 8.376626 0.3559984 NA 0.9989325 NA 0.121189 NA 0.9989325 33.10994 32.76204 31.4055 0.470474 0.4786391 0.5465313 0.4836159 0.4940194 0.5141459 0.959596 0.969697 0.959596
OG0002857 2.963133 6.55467 0.9005675 0.7138848 12.14178 12.83575 3.034774 1.171298 2.137019 13.82465 0.02732898 3.173374 NA 0.9996801 NA 0.9996801 NA 0.9996801 56.83582 57.42598 56.73905 0.06318828 0.05972643 0.06474774 0.437173 0.4412702 0.4434695 0.8684211 0.8684211 0.8684211
OG0002859 2.528769 4.880583 0.8884083 0.250328 13.12096 10.46919 11.78747 2.110925 3.942887 7.949363 1.525012 0.09668979 NA 0.9721356 NA 0.4775952 NA 0.9721356 38.40286 37.07083 38.50831 0.3509958 0.3887234 0.370552 0.4495647 0.4575375 0.4407583 0.8076923 0.8365385 0.7884615
OG0002861 2.013336 4.282967 1.316243 0.0011158 22.79744 12.79245 6.496876 0.008354351 0.9485966 3.954461 0.507828 0.0244333 NA 0.9998799 NA 0.03811312 NA 0.9999 44.24454 43.1615 49.17623 0.2046031 0.2316637 0.1575614 0.4610286 0.4696554 0.45092 0.7462687 0.7462687 0.7313433
OG0002862 67.78241 72.31855 37.51943 10.74684 5.573711 25.66604 3.426365 0.0627321 3.326637 1.01717 0.945012 0.01719174 NA 0.7942181 NA 0.9999504 NA 0.03201404 42.36753 34.64982 32.56837 0.2433378 0.4079423 0.4602197 0.473043 0.4830551 0.5512766 0.8478261 0.9130435 0.9130435
OG0002863 2.865172 8.466557 4.807421 1.357765 10.81075 14.06766 9.743305 1.411145 2.359407 0.2840253 1.085301 0.06019771 NA 0.9982586 NA 0.9982586 NA 0.03849479 35.28791 32.62298 28.16869 0.5014459 0.4980197 0.6161666 0.3987259 0.4366225 0.4479466 0.9529412 0.9764706 0.9647059
OG0002864 0.5125792 2.999676 0.3593776 0.003405166 24.76474 32.09276 31.92124 6.222211 1.054296 2.540835 1.740728 0.00430346 NA 0.9995608 NA 0.9995593 NA 0.9995595 28.45493 27.66685 28.08478 0.5929608 0.6307253 0.6102546 0.446985 0.4710426 0.4532865 0.9653465 0.9752475 0.970297
OG0002865 38.02044 54.79134 26.66613 3.326322 25.26801 17.47733 12.4606 3.49601 7.894985 7.104306 3.735634 0.5165713 NA 0.9997438 NA 0.1665662 NA 0.7279597 46.92195 41.38625 41.138 0.202115 0.3053206 0.300515 0.4765055 0.4639362 0.4649803 0.6666667 1 1
OG0002869 -4.225708e-16 1.117815e-13 -2.891942e-15 8.785583e-17 17.11235 3.020727 2.001136 5.349003e-07 2.06819 3.976568 0.9988635 5.861457e-06 NA 0.9998588 1.780882 0.0007060589 NA 0.9998593 58.74824 58.21047 58.34608 0.04311571 0.04761332 0.04606443 0.4309138 0.4362812 0.4314879 0.5822785 0.6455696 0.5949367
OG0002870 4.30628e-14 8.205549e-14 1.524047e-13 -7.913181e-14 11.62663 8.527196 0.3194178 6.189292 4.086356 3.758609 0.132832 2.205478 NA 0.9997737 NA 0.4076596 NA 0.8539692 58.05574 56.7851 55.80445 0.06581247 0.05988493 0.06278526 0.4166037 0.4348954 0.442111 0.5 0.5151515 0.5
OG0002876 1.505496 5.865507 0.6131044 0.4929279 3.38622 8.453834 4.334973 2.996576 0.295623 2.383893 0.2395999 0.174769 NA 0.9999464 NA 0.9999465 NA 0.9999465 26.49868 30.03934 25.61894 0.6185855 0.5993779 0.6646173 0.3574953 0.4373265 0.4061673 0.96 0.96 0.96
OG0002877 0.1825008 4.637652 0.06164087 0.02022515 0.6219312 3.558927 0.269712 0.06578908 1.666213 2.121669 1.058162 0.01804927 NA 0.9999867 NA 0.9999811 NA 0.9999874 40.29257 37.6599 39.94479 0.365391 0.4902803 0.3692422 0.4306767 0.4279197 0.4164714 0.6521739 0.6521739 0.6521739
OG0002880 0.1028762 4.586661 0.004594557 0.01003098 5.648852 5.106638 1.017053 0.02479285 0.554248 4.036356 0.5579857 0.01082388 NA 0.9998548 NA 0.8574026 NA 0.9998551 58.59887 58.62782 58.61419 0.1102127 0.1017938 0.1097168 0.4196228 0.4185197 0.4179563 0.557377 0.5737705 0.557377
OG0002881 2.602304 7.681583 4.5168 0.4617384 7.49013 4.976855 4.143154 0.6182743 2.539687 3.416555 4.013517 1.369724 NA 0.9993834 NA 0.1993112 NA 0.9993835 31.729 29.29561 30.44761 0.538876 0.6150588 0.6079397 0.3760439 0.5047478 0.4271839 0.9166667 0.9583333 0.9166667
OG0002883 23.76567 21.28344 4.732524 2.957522 83.28019 76.45166 38.0942 14.68981 16.61834 22.58021 3.176099 2.145595 NA 0.5300807 NA 0.02366393 NA 0.9998058 53.99206 47.34 53.44962 0.07360411 0.4620021 0.08143562 0.4693299 0.6667516 0.4721129 0.7666667 0.8333333 0.8
OG0002884 8.037294 12.12142 2.914581 0.1089349 50.48916 14.71924 40.87436 2.084548 14.39328 19.28168 12.3808 0.5920174 NA 0.9996713 1.236144 1.942139e-06 NA 0.9996713 36.68105 33.66968 36.50415 0.3881611 0.4660452 0.3843163 0.4746388 0.5119546 0.4736132 0.9241379 0.937931 0.9103448
OG0002885 2.419808 2.309384 0.07553082 0.06762923 20.82232 8.156167 6.999873 0.9966867 1.878607 1.212454 0.0004108594 0.003297717 NA 0.8708242 NA 0.009678873 NA 0.5970301 52.41398 54.9187 55.90169 0.1409549 0.09342019 0.08517367 0.5052322 0.4602212 0.4516228 0.7191781 0.7328767 0.7260274
OG0002886 8.925421e-14 -8.176654e-14 -9.22189e-15 -2.136102e-14 6.796835 8.386233 2.540807 2.616394 14.54587 15.7827 4.689015 16.59254 NA 0.9998568 NA 0.9998558 NA 0.9998561 42.70737 41.00699 36.79744 0.3686726 0.3443567 0.4074118 0.3746055 0.3918049 0.3626761 0 0 0
OG0002887 19.7658 17.53159 6.090308 2.771923 4.468512 6.353552 0.2657995 0.06664998 6.285989 3.756047 0.8169213 0.9694391 NA 0.3764543 NA 0.9997331 NA 0.2951102 49.244 55.19927 55.02696 0.2619546 0.1252145 0.1285139 0.5000387 0.4304784 0.4407508 0.7361111 0.7361111 0.7361111
OG0002888 0.1139184 2.316861 0.01171649 0.02179249 10.16053 9.116315 2.044351 6.045829 0.07573821 1.015031 1.979429 0.9924867 NA 0.9988071 NA 0.6889765 NA 0.9988072 59.60139 57.79603 57.75848 0.08187769 0.09300261 0.09737396 0.3601831 0.3739336 0.3779951 0.5 0.5 0.5
OG0002889 1.213418 5.875382 0.00620338 3.752398 33.12913 34.22163 4.023185 4.113597 2.244767 20.19981 1.009077 4.053602 NA 1 NA 1 NA 1 57.25561 56.75869 56.89847 0.03220722 0.03506632 0.03313246 0.4739987 0.4744257 0.4741348 0.2592593 0.2592593 0.2592593
OG0002890 7.735385 16.10939 1.509245 0.3165547 10.48342 16.00334 4.722574 5.446843 5.13488 6.975968 2.283738 0.181879 NA 1 NA 1 NA 1 59.47498 59.81275 58.93145 0.03239608 0.03047305 0.02979417 0.4579746 0.4605514 0.4687438 0.6805556 0.7083333 0.6944444
OG0002893 7.336086 16.20465 4.574514 1.950647 25.83379 12.8439 4.326196 1.635175 14.17411 39.29402 6.146113 7.269874 NA 0.9994103 NA 0.01086486 NA 0.9994102 47.6123 46.20225 49.45788 0.1705543 0.198131 0.1329036 0.4762323 0.4852389 0.4696782 0.6666667 0.6805556 0.6527778
OG0002895 0.01955603 1.015677 0.0006782018 0.01049986 2.718107 1.620848 0.02786275 0.4183444 0.03137708 1.047558 0.0005434455 0.06018629 NA 0.9999879 NA 0.4831167 NA 0.9999879 52.48097 56.0024 52.58547 0.2134565 0.3615652 0.2141434 0.3300548 0.3937447 0.334658 0.2926829 0.3170732 0.2926829
OG0002899 0.14965 0.107729 1.062784 0.01528673 3.595908 0.4249611 1.252492 0.06132363 1.202869 0.2404926 0.1026433 0.03573074 NA 0.9529872 NA 0.04014367 NA 0.1880227 32.31341 33.01064 45.38602 0.5685899 0.5786419 0.3290884 0.38438 0.4093171 0.3961627 0.9090909 0.9393939 0.9090909
OG0002900 9.356308 13.24848 1.652419 1.123859 19.11092 8.003084 2.002473 4.790472 8.103409 5.995577 1.065074 1.00144 NA 0.9999533 NA 0.02742085 NA 0.5659578 52.7266 53.24015 53.26807 0.08933937 0.0790736 0.08269941 0.4588132 0.4603308 0.4585087 0.2909091 0.3636364 0.3090909
OG0002902 7.117524 6.393742 2.958685 0.04756475 8.23827 14.72216 10.66665 1.090793 4.705229 9.802322 4.337242 1.0491 NA 0.7913596 NA 0.9713494 NA 0.9713495 31.6229 32.98393 32.07631 0.5205044 0.5070408 0.5171497 0.4444457 0.4486725 0.4459243 0.7727273 0.7272727 0.8181818
OG0002903 1.314039 2.947596 1.007687 0.0007879689 5.353883 6.98744 0.9922214 1.998946 0.09504154 5.728599 0.00914442 0.0008148679 NA 0.9996946 NA 0.9996918 NA 0.9996949 44.56552 43.13747 43.07423 0.3017457 0.297485 0.3328152 0.3222727 0.2965655 0.3244804 0.7948718 0.7948718 0.7692308
OG0002904 0.9171347 0.387512 0.4703531 0.002116105 5.201914 6.978344 2.996663 2.7272e-05 1.073908 4.850339 0.007619396 0.0001376793 NA 0.4384717 NA 0.9990111 NA 0.9990116 33.02264 34.34237 32.91721 0.5362212 0.5532092 0.55009 0.5212731 0.5066596 0.5173398 0.9148936 0.9095745 0.9148936
OG0002905 -9.647123e-14 -4.614185e-13 1.448485e-12 -1.042377e-12 67.35404 50.17283 50.58504 3.905252 47.50387 52.48205 40.07614 6.08333 NA 0.9995236 NA 0.05754053 NA 0.9995243 38.13645 38.10651 39.73703 0.2956449 0.3252101 0.2708115 0.4791004 0.4785863 0.4771038 0.8636364 0.9545455 0.8409091
OG0002906 4.245051e-20 4.580873e-16 9.575037e-21 9.056976e-20 1 2.712732e-16 2.077745e-18 3.492613e-20 2 1 8.021667e-19 1.011425e-19 NA 0.99995 NA 0.2278786 NA 0.5834273 61 61 61 0.1609722 0.1542816 0.1809749 0.2798785 0.2738255 0.280415 0.3939394 0.3939394 0.4242424
OG0002907 8.167217 24.11662 13.18243 3.121681 27.83214 14.73936 29.64838 1.96567 2.070141 2.046941 0.6492737 0.05878108 NA 0.9991201 NA 0.01638258 NA 0.8815318 38.99694 32.3509 33.73205 0.4089618 0.4865746 0.4692428 0.4329626 0.4826524 0.4792665 0.8809524 0.8571429 0.9047619
OG0002908 1.829176 6.734585 0.08527243 1.081042 5.559659 5.401297 1.265133 1.106346 0.1186734 2.289365 1.012298 0.02775112 NA 1 NA 1 NA 1 50.67034 52.62602 54.40369 0.1325623 0.1349464 0.09792803 0.4238648 0.4156998 0.4229275 0.5806452 0.7096774 0.6774194
OG0002909 10.29031 13.42422 3.22988 0.2614564 41.49519 33.73356 18.05697 4.42314 38.00606 46.68077 19.9398 4.21416 NA 0.9950186 NA 0.0283951 NA 0.9950188 38.96941 39.69069 39.66457 0.2849626 0.2839139 0.282402 0.4944938 0.4886344 0.4888463 0.9684211 0.9368421 0.9473684
OG0002910 3.40096e-05 0.003185482 0.0001728487 0.0001019356 3.030915 1.054022 2.106968 0.009429636 1.019488 1.035886 2.071554 0.006267314 NA 0.9943634 NA 0.254147 NA 0.9943633 27.80232 26.91345 27.8845 0.7253347 0.7645035 0.7240073 0.2776036 0.3134932 0.2815326 0.9315068 0.9726027 0.9452055
OG0002911 3.912047 4.215526 1.350358 0.09051027 30.74482 18.1513 20.56501 1.346434 31.87352 39.29829 26.75903 3.061346 NA 0.9143089 1.609754 0.000186482 NA 0.9988546 35.50802 33.66852 40.6247 0.4791951 0.5071045 0.3975513 0.467658 0.5554306 0.4627958 0.9285714 0.9387755 0.9183673
OG0002912 3.912047 4.215526 1.350358 0.09051027 30.74482 18.1513 20.56501 1.346434 31.87352 39.29829 26.75903 3.061346 NA 0.9143089 1.609754 0.000186482 NA 0.9988546 35.50802 33.66852 40.6247 0.4791951 0.5071045 0.3975513 0.467658 0.5554306 0.4627958 0.9285714 0.9387755 0.9183673
OG0002914 0.1425125 5.095471 0.5893696 0.3820051 8.364253 18.9835 0.00419475 1.008239 3.208247 11.84846 0.9996674 0.004133589 NA 0.9998931 NA 0.9998931 NA 0.9998893 58.08033 57.98444 58.59878 0.06528869 0.06602536 0.0587185 0.4276816 0.4342589 0.4293374 0.6 0.6571429 0.6285714
OG0002915 2.97959 9.277257 1.53022 0.772823 12.91646 6.010759 2.657838 1.466425 23.25196 23.02779 7.992685 2.760747 NA 1 NA 0.07210799 NA 1 54.08592 54.28848 55.88633 0.1358966 0.1294247 0.1688288 0.4020647 0.4189739 0.3926504 1 1 0.5
OG0002916 47.60116 52.76625 27.80864 9.0033 19.75551 14.00694 2.038684 1.166415 2.721829 3.356374 0.3701431 0.2115294 NA 0.999446 NA 0.217111 NA 0.9994458 49.82317 42.64339 39.54019 0.2203618 0.2795341 0.3344767 0.4443371 0.4694261 0.459927 0.7804878 0.8292683 0.7804878
OG0002917 60.51752 36.22374 34.92639 6.107515 6.874275 9.048219 1.818463 1.104285 3.130482e-14 4.669999e-14 2.597671e-14 -1.496678e-14 0.7193895 0.0009388404 NA 1 NA 1 40.6201 43.49576 40.561 0.2822638 0.3577063 0.4036609 0.4410609 0.4466506 0.4404275 0.8571429 0.8857143 0.9285714
OG0002918 2.486038 8.664387 3.665563 0.6476586 14.54744 24.00364 2.284714 3.313394 1.867324 8.329652 2.391327 0.2748482 NA 0.9997373 NA 0.9997373 NA 0.9997373 47.33651 50.08494 49.56726 0.1742572 0.139888 0.1445024 0.470376 0.4711377 0.4674939 0.7025316 0.721519 0.7025316
OG0002919 1.241816e-15 9.339665e-15 -4.269862e-18 -4.380979e-18 4.058194 1.650597 0.9997684 0.3402423 1.404846 2.997249 0.0003136838 6.008889e-06 NA 1 NA 0.2030509 NA 1 46.45552 43.09454 45.87471 0.4141575 0.4597932 0.4084359 0.3778411 0.4356339 0.3824968 0.7755102 0.8367347 0.7959184
OG0002920 0.08448608 1.043925 0.0239499 0.02737708 1.399275 2.351579 0.04753814 1.124885 0.5086492 4.450319 0.05967389 1.157051 NA 0.9941775 NA 0.9941775 NA 0.994426 53.24522 52.86085 53.49327 0.1288495 0.1519142 0.1393794 0.4011742 0.3746497 0.3738568 0.4414414 0.4414414 0.4504505
