sp contig logFC pval sp contig logFC pval sp contig logFC pval sp contig logFC pval OG contig_BAT 1+2GC% 3rdGC% totGC% contig_BRO 1+2GC% 3rdGC% totGC% contig_BGM 1+2GC% 3rdGC% totGC%
BGM_M TRINITY_DN4767_c1_g2 201.267180061542 2.87381176026162e-28 BAT TRINITY_DN18631_c0_g1 13.7990733867626 0.825299198170577 BRO TRINITY_DN49071_c0_g1 2.13320295071444 0.296439907403216 BGM TRINITY_DN4767_c1_g2 29.3795068551795 0.946617866643034 OG0003143 TRINITY_DN18631_c0_g1_i10.p1 53.74 81.06 62.85 TRINITY_DN49071_c0_g1_i1.p1 52.03 76.10 60.22 TRINITY_DN4767_c1_g2_i4.p1 53.19 80.92 62.54
BGM_M TRINITY_DN243_c0_g3 117.999702152601 6.34105704020273e-05 BAT TRINITY_DN1915_c2_g1 81.1731481552914 0.977911935774959 BRO TRINITY_DN760_c1_g2 97.0590431395006 0.010742613868187 BGM TRINITY_DN243_c0_g3 79.299449210904 0.22019356339359 OG0003144 TRINITY_DN1915_c2_g1_i4.p1 51.19 75.65 59.34 TRINITY_DN760_c1_g2_i1.p1 51.86 78.78 60.83 TRINITY_DN243_c0_g3_i1.p1 51.13 76.26 59.50
BGM_M TRINITY_DN1808_c0_g1 85.4322705973508 1.00695720920529e-43 BAT TRINITY_DN2093_c0_g1 51.8751838098804 6.49151642908465e-12 BRO TRINITY_DN46061_c0_g1 82.9235866287684 3.01921368379963e-33 BGM TRINITY_DN1808_c0_g1 28.2740658868065 2.38920522577322e-12 OG0003146 TRINITY_DN2093_c0_g1_i4.p1 53.37 64.48 57.08 TRINITY_DN46061_c0_g1_i9.p1 53.56 63.82 56.98 TRINITY_DN1808_c0_g1_i4.p1 53.82 64.66 57.52
BGM_M TRINITY_DN290_c2_g1 794.055107506064 5.77464702326634e-32 BAT TRINITY_DN221_c0_g1 237.32319957553 4.66057663641822e-13 BRO TRINITY_DN291_c1_g3 299.907546920136 1.81521407614988e-27 BGM TRINITY_DN290_c2_g1 228.354502083617 2.12459706132698e-07 OG0003149 TRINITY_DN221_c0_g1_i13.p1 50.63 68.45 56.57 TRINITY_DN291_c1_g3_i1.p1 50.93 71.12 57.66 TRINITY_DN290_c2_g1_i9.p1 50.48 68.39 56.45
BGM_M TRINITY_DN6614_c0_g2 220.479607019276 0.129394252732313 BAT TRINITY_DN2254_c0_g1 177.52246818959 0.224854061028329 BRO TRINITY_DN3553_c0_g1 235.329642341398 0.000182335531138067 BGM TRINITY_DN6614_c0_g2 138.160961346247 0.0013369273030679 OG0003150 TRINITY_DN2254_c0_g1_i4.p1 49.53 75.90 58.32 TRINITY_DN3553_c0_g1_i11.p1 49.80 77.28 59.02 TRINITY_DN6614_c0_g2_i45.p1 49.73 76.03 58.56
BGM_M TRINITY_DN18636_c0_g1 33.3732123536913 0.000211879071651781 BAT TRINITY_DN2299_c0_g1 65.2967801662154 1.4744980606975e-13 BRO TRINITY_DN396_c0_g1 84.0200349711154 1.1632203159652e-05 BGM TRINITY_DN18636_c0_g1 65.8306858408199 2.40599786474321e-22 OG0003151 TRINITY_DN2299_c0_g1_i6.p1 58.21 86.94 67.79 TRINITY_DN396_c0_g1_i1.p1 59.98 82.54 67.50 TRINITY_DN18636_c0_g1_i4.p2 61.01 86.54 69.52
BGM_M TRINITY_DN6574_c2_g1 15.4821681467983 0.0802244668868573 BAT TRINITY_DN2374_c0_g1 43.0467083475684 0.0159690020647183 BRO TRINITY_DN9193_c2_g2 17.6345568892171 0.800775102629109 BGM TRINITY_DN6574_c2_g1 13.5596602720957 0.553069959460415 OG0003152 TRINITY_DN2374_c0_g1_i1.p1 49.78 90.18 63.24 TRINITY_DN9193_c2_g2_i3.p2 48.32 94.17 64.04 TRINITY_DN6574_c2_g1_i1.p2 50.42 95.76 65.54
BGM_M TRINITY_DN52651_c0_g1 81.992805885602 3.49927646251954e-26 BAT TRINITY_DN241932_c0_g1 3.94112476104998 3.40217705780699e-05 BRO TRINITY_DN294188_c0_g1 102.413854673458 7.25466832417277e-57 BGM TRINITY_DN52651_c0_g1 63.4972343568624 4.96173050390724e-32 OG0003153 TRINITY_DN241932_c0_g1_i1.p1 50.87 86.46 62.74 TRINITY_DN294188_c0_g1_i1.p1 51.02 86.88 63.12 TRINITY_DN52651_c0_g1_i1.p1 54.81 84.62 64.74
BGM_M TRINITY_DN34961_c0_g1 1.97898317970829 0.341149882934093 BAT TRINITY_DN28760_c0_g1 16.2585345432242 0.815298057341923 BRO TRINITY_DN59995_c0_g1 3.82586194021952 0.0350648949335906 BGM TRINITY_DN34961_c0_g1 1.29231335209983 0.559833161960837 OG0003154 TRINITY_DN28760_c0_g1_i3.p1 41.35 35.10 39.26 TRINITY_DN59995_c0_g1_i1.p1 41.86 32.56 38.76 TRINITY_DN34961_c0_g1_i4.p1 40.18 33.93 38.10
BGM_M TRINITY_DN944_c1_g1 693.983921097414 6.71978901231623e-150 BAT TRINITY_DN29089_c1_g1 63.7090608359377 0.000489923376376958 BRO TRINITY_DN13177_c0_g2 148.751999310307 3.90039149368417e-07 BGM TRINITY_DN944_c1_g1 83.0555890100471 0.00172787850586685 OG0003155 TRINITY_DN29089_c1_g1_i1.p1 52.74 50.37 51.97 TRINITY_DN13177_c0_g2_i10.p1 53.19 54.16 53.52 TRINITY_DN944_c1_g1_i13.p1 52.66 53.10 52.80
BGM_M TRINITY_DN101_c5_g1 47.203965389332 0.946952810897803 BAT TRINITY_DN31171_c0_g1 51.2077595111447 0.000115721472143168 BRO TRINITY_DN62125_c2_g1 41.3755740456224 8.28395886642647e-27 BGM TRINITY_DN101_c5_g1 45.0431262786362 0.184775139726188 OG0003156 TRINITY_DN31171_c0_g1_i4.p1 49.82 73.87 57.83 TRINITY_DN62125_c2_g1_i1.p1 50.17 70.45 56.93 TRINITY_DN101_c5_g1_i1.p1 47.26 74.39 56.30
BGM_M TRINITY_DN27483_c0_g1 301.830866161842 9.20281597834484e-101 BAT TRINITY_DN3494_c1_g2 94.6463618595773 3.25874200762138e-52 BRO TRINITY_DN517_c0_g1 133.493230105274 2.91145879934175e-47 BGM TRINITY_DN27483_c0_g1 73.6966022256394 8.50096773073824e-16 OG0003158 TRINITY_DN3494_c1_g2_i1.p1 55.25 92.59 67.70 TRINITY_DN517_c0_g1_i1.p2 55.25 91.36 67.28 TRINITY_DN27483_c0_g1_i2.p2 56.60 86.79 66.67
BGM_M TRINITY_DN9290_c0_g2 126.801924392873 0.323371896626168 BAT TRINITY_DN35354_c0_g1 133.38853371123 0.716749140171847 BRO TRINITY_DN251_c5_g1 134.969322289924 0.213792474803774 BGM TRINITY_DN9290_c0_g2 98.8955056176208 0.747980938423333 OG0003159 TRINITY_DN35354_c0_g1_i12.p1 46.44 65.18 52.69 TRINITY_DN251_c5_g1_i6.p1 46.67 65.28 52.88 TRINITY_DN9290_c0_g2_i9.p1 45.48 77.62 56.27
BGM_M TRINITY_DN63965_c0_g3 12.0865946549776 0.495563397766492 BAT TRINITY_DN36308_c0_g2 12.0579455572802 0.32251064939167 BRO TRINITY_DN8604_c2_g1 10.5873766001848 0.0619486743677589 BGM TRINITY_DN63965_c0_g3 8.13552105050283 0.836245832224095 OG0003160 TRINITY_DN36308_c0_g2_i1.p1 56.59 78.22 63.80 TRINITY_DN8604_c2_g1_i1.p2 58.50 78.95 65.32 TRINITY_DN63965_c0_g3_i1.p1 55.30 77.36 62.66
BGM_M TRINITY_DN690_c2_g1 160.077757743234 0.00054693884824948 BAT TRINITY_DN3647_c0_g1 137.495422404655 0.000639736612108392 BRO TRINITY_DN326_c1_g1 176.512174629309 1.77005451228158e-22 BGM TRINITY_DN690_c2_g1 121.64490890044 2.93024551296431e-05 OG0003161 TRINITY_DN3647_c0_g1_i3.p1 49.74 60.15 53.21 TRINITY_DN326_c1_g1_i1.p1 50.26 62.98 54.50 TRINITY_DN690_c2_g1_i1.p1 49.74 60.99 53.59
BGM_M TRINITY_DN2865_c1_g4 51.9676257563841 0.111435206385282 BAT TRINITY_DN3769_c0_g4 112.283593859107 7.18594352479618e-24 BRO TRINITY_DN2424_c0_g1 113.906915302529 2.27032226726699e-69 BGM TRINITY_DN2865_c1_g4 104.513935185223 2.73826298483267e-38 OG0003162 TRINITY_DN3769_c0_g4_i1.p1 52.24 70.41 58.30 TRINITY_DN2424_c0_g1_i1.p1 52.93 72.73 59.53 TRINITY_DN2865_c1_g4_i7.p1 52.10 71.66 58.62
BGM_M TRINITY_DN2944_c3_g1 804.22422642475 2.07502149245969e-07 BAT TRINITY_DN3938_c0_g1 393.792535213573 0.483339360676413 BRO TRINITY_DN1959_c2_g1 464.457272641149 0.0155898432408499 BGM TRINITY_DN2944_c3_g1 557.029723916793 0.304472156641998 OG0003164 TRINITY_DN3938_c0_g1_i2.p1 46.19 92.30 61.56 TRINITY_DN1959_c2_g1_i1.p1 45.81 94.27 61.96 TRINITY_DN2944_c3_g1_i1.p1 46.17 93.14 61.83
BGM_M TRINITY_DN1106_c7_g1 90.8383486906906 6.69055159310497e-11 BAT TRINITY_DN40125_c0_g1 44.5670916778987 2.71460451866784e-09 BRO TRINITY_DN6521_c2_g1 52.3978767228007 0.000298066718633548 BGM TRINITY_DN1106_c7_g1 63.2461095551148 2.98895286957513e-20 OG0003165 TRINITY_DN40125_c0_g1_i4.p1 46.84 88.10 60.59 TRINITY_DN6521_c2_g1_i1.p1 47.21 90.71 61.71 TRINITY_DN1106_c7_g1_i3.p1 46.67 87.82 60.57
BGM_M TRINITY_DN2683_c0_g3 207.626504216964 0.509122660147446 BAT TRINITY_DN4041_c0_g2 179.878354151465 0.310182753611567 BRO TRINITY_DN15523_c0_g1 225.06975029423 0.000103887776593483 BGM TRINITY_DN2683_c0_g3 148.29570408727 0.561450158623741 OG0003166 TRINITY_DN4041_c0_g2_i1.p1 52.83 73.77 59.81 TRINITY_DN15523_c0_g1_i2.p1 53.28 78.84 61.87 TRINITY_DN2683_c0_g3_i1.p1 52.76 74.22 59.91
BGM_M TRINITY_DN9095_c0_g1 50.3117099753751 0.0210485349663496 BAT TRINITY_DN4202_c1_g1 64.3984734216571 0.269959396911247 BRO TRINITY_DN15866_c0_g1 30.1446397728851 0.421361340715486 BGM TRINITY_DN9095_c0_g1 37.3053605493716 0.882693169048555 OG0003168 TRINITY_DN4202_c1_g1_i1.p1 56.04 67.15 59.74 TRINITY_DN15866_c0_g1_i9.p2 61.22 78.95 67.29 TRINITY_DN9095_c0_g1_i1.p1 56.02 67.55 59.97
BGM_M TRINITY_DN6938_c0_g1 40.0405436302675 0.0038803860744972 BAT TRINITY_DN4238_c0_g1 44.5860345001407 2.99603541894562e-07 BRO TRINITY_DN118_c14_g1 49.0162085983619 1.12673367841049e-05 BGM TRINITY_DN6938_c0_g1 33.6847695998995 0.0923984827492924 OG0003169 TRINITY_DN4238_c0_g1_i2.p1 59.43 85.28 68.05 TRINITY_DN118_c14_g1_i1.p1 65.10 91.37 73.86 TRINITY_DN6938_c0_g1_i5.p1 60.39 87.45 69.41
BGM_M TRINITY_DN4446_c4_g1 113.261770785375 0.201979614236837 BAT TRINITY_DN548_c4_g1 98.0738992917236 0.982202839267569 BRO TRINITY_DN2629_c0_g2 166.3720334661 0.520076279766718 BGM TRINITY_DN4446_c4_g1 120.799503164775 3.5546400404618e-11 OG0003170 TRINITY_DN548_c4_g1_i4.p1 51.01 93.62 65.22 TRINITY_DN2629_c0_g2_i11.p1 50.76 94.34 65.29 TRINITY_DN4446_c4_g1_i1.p1 50.39 94.48 65.09
BGM_M TRINITY_DN1196_c0_g3 95.607386333647 1.10062348863306e-10 BAT TRINITY_DN5729_c0_g2 71.7407007022593 2.74062452993356e-19 BRO TRINITY_DN518_c3_g1 97.4497838753701 2.70830201350366e-32 BGM TRINITY_DN1196_c0_g3 74.181477421113 1.18200830811216e-15 OG0003171 TRINITY_DN5729_c0_g2_i5.p1 50.00 77.30 59.10 TRINITY_DN518_c3_g1_i1.p1 50.74 81.73 61.07 TRINITY_DN1196_c0_g3_i1.p1 50.00 77.12 59.09
BGM_M TRINITY_DN4376_c0_g1 17.5415932791883 6.80759494660402e-08 BAT TRINITY_DN61819_c0_g1 2.7882143150149 0.0212304396603329 BRO TRINITY_DN7284_c0_g1 8.33593733592797 8.04784637268624e-08 BGM TRINITY_DN4376_c0_g1 4.40338666496807 8.15797784349392e-06 OG0003172 TRINITY_DN61819_c0_g1_i3.p1 56.21 96.50 69.64 TRINITY_DN7284_c0_g1_i3.p1 58.26 94.08 70.20 TRINITY_DN4376_c0_g1_i9.p1 57.85 96.28 70.66
BGM_M TRINITY_DN9377_c0_g1 9.73847777381837 2.36219530453649e-11 BAT TRINITY_DN62113_c0_g2 13.0565963088648 0.00659870298555979 BRO TRINITY_DN740_c4_g1 17.7264505013207 0.98341057376995 BGM TRINITY_DN9377_c0_g1 12.6351110533918 0.870008861152699 OG0003173 TRINITY_DN62113_c0_g2_i2.p1 40.32 39.35 40.00 TRINITY_DN740_c4_g1_i1.p1 40.00 40.65 40.22 TRINITY_DN9377_c0_g1_i1.p1 40.65 41.29 40.86
BGM_M TRINITY_DN155_c2_g1 51.0757020263451 7.87002122989128e-37 BAT TRINITY_DN62157_c2_g1 13.4766547243421 1.26864183686829e-09 BRO TRINITY_DN158119_c0_g2 17.0542863693699 2.06024821329562e-10 BGM TRINITY_DN155_c2_g1 13.6476628105954 1.04602327013713e-11 OG0003174 TRINITY_DN62157_c2_g1_i1.p1 47.15 81.86 58.72 TRINITY_DN158119_c0_g2_i1.p1 46.21 82.03 58.15 TRINITY_DN155_c2_g1_i3.p1 46.82 82.59 58.74
BGM_M TRINITY_DN11493_c0_g1 776.443842311675 9.54919429088075e-10 BAT TRINITY_DN652_c0_g1 483.143833898686 0.186723270189379 BRO TRINITY_DN205_c0_g1 483.621705772724 1.19987564363303e-31 BGM TRINITY_DN11493_c0_g1 370.271633164926 0.00134226991932201 OG0003175 TRINITY_DN652_c0_g1_i5.p1 55.02 81.56 63.87 TRINITY_DN205_c0_g1_i1.p1 55.44 84.50 65.13 TRINITY_DN11493_c0_g1_i8.p1 54.97 82.68 64.21
BGM_M TRINITY_DN63316_c0_g1 58.5778852080219 3.60368524291306e-37 BAT TRINITY_DN65388_c0_g2 3.74361395099982 0.0794834052150068 BRO TRINITY_DN93669_c0_g1 1.64059475141051 0.722523204267518 BGM TRINITY_DN63316_c0_g1 4.09139574384333 0.000287543981318401 OG0003176 TRINITY_DN65388_c0_g2_i2.p1 47.60 71.40 55.53 TRINITY_DN93669_c0_g1_i1.p1 49.28 84.48 61.19 TRINITY_DN63316_c0_g1_i12.p1 50.00 74.92 58.38
BGM_M TRINITY_DN1849_c0_g1 1271.11280468492 3.99359066154906e-14 BAT TRINITY_DN71498_c0_g1 1852.92827249859 4.55220404324358e-06 BRO TRINITY_DN94685_c0_g2 1631.4070461991 5.15934573838798e-07 BGM TRINITY_DN1849_c0_g1 1559.04240853779 3.39914375555965e-06 OG0003178 TRINITY_DN71498_c0_g1_i3.p1 51.26 80.29 60.94 TRINITY_DN94685_c0_g2_i4.p1 52.20 84.50 62.96 TRINITY_DN1849_c0_g1_i11.p2 51.05 79.96 60.78
BGM_M TRINITY_DN158_c2_g1 149.395208214755 2.36870070812983e-14 BAT TRINITY_DN737_c0_g1 141.803772108453 0.00379237113622536 BRO TRINITY_DN362_c1_g1 118.852879076412 0.673218808272705 BGM TRINITY_DN158_c2_g1 156.919965111697 0.00132894802648523 OG0003179 TRINITY_DN737_c0_g1_i2.p1 55.32 94.36 68.40 TRINITY_DN362_c1_g1_i2.p1 54.68 93.29 67.55 TRINITY_DN158_c2_g1_i2.p1 54.47 94.59 67.93
BGM_M TRINITY_DN4736_c0_g2 407.596513329422 7.87281044092764e-56 BAT TRINITY_DN76614_c0_g2 81.48571597563 0.0692721247712042 BRO TRINITY_DN12998_c0_g1 61.7653430500032 0.751280700839896 BGM TRINITY_DN4736_c0_g2 77.1702187992289 0.505766969331384 OG0003180 TRINITY_DN76614_c0_g2_i2.p1 50.95 67.30 56.40 TRINITY_DN12998_c0_g1_i3.p2 57.17 72.48 62.27 TRINITY_DN4736_c0_g2_i2.p1 47.65 58.99 51.57
BGM_M TRINITY_DN14356_c1_g2 6.2608790688533 0.0230873001841399 BAT TRINITY_DN8527_c0_g1 40.8381903092463 7.88453575776033e-24 BRO TRINITY_DN1567_c1_g1 8.45106362588184 1.76786778949479e-07 BGM TRINITY_DN14356_c1_g2 60.8550166937686 5.48907284158467e-27 OG0003182 TRINITY_DN8527_c0_g1_i4.p1 40.64 33.72 38.36 TRINITY_DN1567_c1_g1_i2.p1 40.21 28.75 36.39 TRINITY_DN14356_c1_g2_i1.p1 40.74 33.49 38.32
BGM_M TRINITY_DN1437_c0_g1 204.618557864688 1.67349425323659e-23 BAT TRINITY_DN9260_c1_g1 16.0222928373238 0.616780138428633 BRO TRINITY_DN1493_c1_g1 59.174260284451 0.905226592827968 BGM TRINITY_DN1437_c0_g1 45.2280876053024 0.625974257937545 OG0003185 TRINITY_DN9260_c1_g1_i5.p1 46.62 70.38 54.60 TRINITY_DN1493_c1_g1_i1.p2 49.14 74.88 57.77 TRINITY_DN1437_c0_g1_i14.p2 47.08 73.11 55.81
BGM_M TRINITY_DN27346_c0_g1 73.550067062246 0.0856655911111108 BAT TRINITY_DN9949_c0_g1 82.3980088806459 0.00127435591560706 BRO TRINITY_DN10710_c0_g1 121.65874668432 0.000601475754618309 BGM TRINITY_DN27346_c0_g1 35.6688603542768 0.929859717909065 OG0003186 TRINITY_DN9949_c0_g1_i15.p1 48.77 63.63 53.73 TRINITY_DN10710_c0_g1_i6.p1 49.79 66.15 55.30 TRINITY_DN27346_c0_g1_i12.p1 49.58 65.16 54.83
BGM_M TRINITY_DN1073_c1_g1 219.988309756918 3.22411496953834e-18 BAT TRINITY_DN10078_c0_g1 329.448596334046 5.63543336041397e-11 BRO TRINITY_DN91_c9_g1 484.240897991108 4.20140568481315e-29 BGM TRINITY_DN1073_c1_g1 325.330024928933 9.07227568958851e-17 OG0003187 TRINITY_DN10078_c0_g1_i2.p1 45.73 63.07 51.62 TRINITY_DN91_c9_g1_i1.p1 46.29 62.00 51.52 TRINITY_DN1073_c1_g1_i2.p1 45.86 62.86 51.52
BGM_M TRINITY_DN17620_c0_g1 28.8453373071199 1.8114444253037e-11 BAT TRINITY_DN10837_c0_g1 34.2944349991797 3.41730031168671e-07 BRO TRINITY_DN78624_c0_g1 35.1502342510432 3.74835793210443e-15 BGM TRINITY_DN17620_c0_g1 7.74450974397379 0.0161813298001552 OG0003188 TRINITY_DN10837_c0_g1_i2.p1 49.77 63.42 54.32 TRINITY_DN78624_c0_g1_i2.p1 50.29 64.69 55.13 TRINITY_DN17620_c0_g1_i9.p2 50.85 70.21 57.30
BGM_M TRINITY_DN6526_c1_g3 71.1027111024742 0.0599252580170628 BAT TRINITY_DN11585_c0_g1 25.097901620808 0.595835909669886 BRO TRINITY_DN1260_c5_g1 111.20292026531 4.60444198938824e-07 BGM TRINITY_DN6526_c1_g3 56.241083476219 0.189327721489782 OG0003189 TRINITY_DN11585_c0_g1_i4.p1 46.67 64.23 52.52 TRINITY_DN1260_c5_g1_i2.p1 48.17 72.08 56.14 TRINITY_DN6526_c1_g3_i1.p1 47.09 63.18 52.53
BGM_M TRINITY_DN189_c1_g1 413.131202396703 0.0713914281261321 BAT TRINITY_DN1260_c0_g1 641.979085738701 0.843020920171865 BRO TRINITY_DN6201_c0_g1 243.214912717284 0.0197321903453802 BGM TRINITY_DN189_c1_g1 275.901769276936 0.925940877017453 OG0003190 TRINITY_DN1260_c0_g1_i4.p1 46.23 80.04 57.50 TRINITY_DN6201_c0_g1_i4.p1 48.47 84.35 60.43 TRINITY_DN189_c1_g1_i2.p1 47.09 86.49 60.41
BGM_M TRINITY_DN895_c0_g1 111.218075890522 3.67379984478197e-07 BAT TRINITY_DN13860_c1_g1 72.8146331882201 0.0157183639982204 BRO TRINITY_DN800_c1_g1 159.308395039948 0.197769994069452 BGM TRINITY_DN895_c0_g1 64.2667342601855 0.36657488282844 OG0003191 TRINITY_DN13860_c1_g1_i4.p1 42.47 52.41 45.78 TRINITY_DN800_c1_g1_i1.p1 42.34 54.19 46.39 TRINITY_DN895_c0_g1_i3.p1 42.19 52.10 45.59
BGM_M TRINITY_DN31685_c0_g1 83.5463598078834 2.4365047490402e-05 BAT TRINITY_DN14756_c0_g2 20.8287410980023 0.320347451182789 BRO TRINITY_DN2652_c0_g1 124.937996644982 0.593426728331857 BGM TRINITY_DN31685_c0_g1 60.6411483878504 0.0457597378936557 OG0003192 TRINITY_DN14756_c0_g2_i7.p2 54.17 87.04 65.12 TRINITY_DN2652_c0_g1_i10.p1 53.19 86.81 64.40 TRINITY_DN31685_c0_g1_i2.p1 53.12 90.75 65.67
BGM_M TRINITY_DN5978_c1_g1 23.3371302503157 9.71272735292103e-19 BAT TRINITY_DN1515_c0_g1 82.1812422143537 5.03480646621761e-08 BRO TRINITY_DN65468_c1_g2 60.3884746956867 0.000119156136271288 BGM TRINITY_DN5978_c1_g1 41.2307653084354 0.000879366505568776 OG0003193 TRINITY_DN1515_c0_g1_i2.p1 58.99 84.31 67.43 TRINITY_DN65468_c1_g2_i1.p1 59.73 85.32 68.26 TRINITY_DN5978_c1_g1_i1.p1 59.30 86.01 68.38
BGM_M TRINITY_DN80540_c0_g4 206.761075377684 2.73444873980424e-16 BAT TRINITY_DN15270_c0_g1 142.824642510755 0.428706088331953 BRO TRINITY_DN7462_c1_g1 195.006112502708 0.53474038045372 BGM TRINITY_DN80540_c0_g4 85.2290092917661 0.139458031564239 OG0003194 TRINITY_DN15270_c0_g1_i1.p1 47.64 76.09 57.13 TRINITY_DN7462_c1_g1_i2.p1 47.64 76.09 57.13 TRINITY_DN80540_c0_g4_i1.p1 47.98 78.11 58.02
