sp transcript logFC pval sp transcript logFC pval sp transcript logFC pval sp transcript logFC pval OG branch transcript dNdS t dN dS branch transcript dNdS t dN dS branch transcript dNdS t dN dS branch transcript OTUs dNdS t dN dS contig_BGM 1+2GC% 3rdGC% totGC% contig_BRO 1+2GC% 3rdGC% totGC% contig_BGM 1+2GC% 3rdGC% totGC% OG BAT_W-S BAT_S-W BRO_W-S BRO_S-W BGM_W-S BGM_S-W BGC_BAT BGC_BRO BGC_BGM ENC_BAT ENC_BRO ENC_BGM SCUO_BAT SCUO_BRO SCUO_BGM MILC_BAT MILC_BRO MILC_BGM BAT_4FDS BRO_4FDS BGM_4FDS
BGM_M TRINITY_DN101_c5_g1 47.203965389332 0.946952810897803 BAT TRINITY_DN31171_c0_g1 51.2077595111447 0.000115721472143168 BRO TRINITY_DN62125_c2_g1 41.3755740456224 8.28395886642647e-27 BGM TRINITY_DN101_c5_g1 45.0431262786362 0.184775139726188 OG0002818 BAT OG0002818.ref.mafft.n 0.2103 0.014 0.0026 0.0124 BRO OG0002818.ref.mafft.n 0.2103 0.006 0.0010 0.0048 BGM OG0002818.ref.mafft.n 0.2103 0.023 0.0041 0.0196 BGM_BAT OG0002818.ref.mafft.n 2 0.2103 0.038 0.0068 0.0324 TRINITY_DN31171_c0_g1_i4.p1 49.82 73.87 57.83 TRINITY_DN62125_c2_g1_i1.p1 50.17 70.45 56.93 TRINITY_DN101_c5_g1_i1.p1 47.26 74.39 56.30 OG0002818 4.694309 4.703558 18.7407 30.91356 16.79115 11.19134 NA NA NA 49.46994 51.7591 50.04895 0.1952359 0.1547215 0.1952359 0.4370304 0.4552206 0.4370304 0.6979167 0.7083333 0.7291667
BGM_M TRINITY_DN27483_c0_g1 301.830866161842 9.20281597834484e-101 BAT TRINITY_DN3494_c1_g2 94.6463618595773 3.25874200762138e-52 BRO TRINITY_DN517_c0_g1 133.493230105274 2.91145879934175e-47 BGM TRINITY_DN27483_c0_g1 73.6966022256394 8.50096773073824e-16 OG0002819 BAT OG0002819.ref.mafft.n 0.1280 0.016 0.0025 0.0196 BRO OG0002819.ref.mafft.n 0.1280 0.039 0.0063 0.0488 BGM OG0002819.ref.mafft.n 0.1280 0.010 0.0016 0.0122 BGM_BAT OG0002819.ref.mafft.n 2 0.1280 0.005 0.0008 0.0064 TRINITY_DN3494_c1_g2_i1.p1 55.25 92.59 67.70 TRINITY_DN517_c0_g1_i1.p2 55.25 91.36 67.28 TRINITY_DN27483_c0_g1_i2.p2 56.60 86.79 66.67 OG0002819 1.635039 2.440455 2.823658 5.569579 1.330997 3.400352 NA NA NA 30.56477 31.00128 37.78657 0.4158633 0.5650635 0.4158633 0.3800967 0.3984417 0.3800967 0.9333333 0.9 0.9166667
BGM_M TRINITY_DN9290_c0_g2 126.801924392873 0.323371896626168 BAT TRINITY_DN35354_c0_g1 133.38853371123 0.716749140171847 BRO TRINITY_DN251_c5_g1 134.969322289924 0.213792474803774 BGM TRINITY_DN9290_c0_g2 98.8955056176208 0.747980938423333 OG0002820 BAT OG0002820.ref.mafft.n 0.0981 0.006 0.0007 0.0071 BRO OG0002820.ref.mafft.n 0.0981 0.013 0.0015 0.0149 BGM OG0002820.ref.mafft.n 0.0981 0.004 0.0005 0.0050 BGM_BAT OG0002820.ref.mafft.n 2 0.0981 0.012 0.0013 0.0134 TRINITY_DN35354_c0_g1_i12.p1 46.44 65.18 52.69 TRINITY_DN251_c5_g1_i6.p1 46.67 65.28 52.88 TRINITY_DN9290_c0_g2_i9.p1 45.48 77.62 56.27 OG0002820 9.488515 20.48618 21.95566 18.6051 2.788475 7.356836 NA NA NA 52.24649 51.051 45.1412 0.2179433 0.09390358 0.2179433 0.5266063 0.478407 0.5266063 0.7621359 0.776699 0.7718447
BGM_M TRINITY_DN690_c2_g1 160.077757743234 0.00054693884824948 BAT TRINITY_DN3647_c0_g1 137.495422404655 0.000639736612108392 BRO TRINITY_DN326_c1_g1 176.512174629309 1.77005451228158e-22 BGM TRINITY_DN690_c2_g1 121.64490890044 2.93024551296431e-05 OG0002821 BAT OG0002821.ref.mafft.n 0.1652 0.009 0.0013 0.0079 BRO OG0002821.ref.mafft.n 0.1652 0.027 0.0038 0.0229 BGM OG0002821.ref.mafft.n 0.1652 0.007 0.0010 0.0060 BGM_BAT OG0002821.ref.mafft.n 2 0.1652 0.011 0.0016 0.0095 TRINITY_DN3647_c0_g1_i3.p1 49.74 60.15 53.21 TRINITY_DN326_c1_g1_i1.p1 50.26 62.98 54.50 TRINITY_DN690_c2_g1_i1.p1 49.74 60.99 53.59 OG0002821 0.3057975 1.527837 18.36622 8.765222 4.027167 1.104895 NA NA NA 59.97048 59.18422 61 0.07087591 0.1036185 0.07087591 0.4110853 0.4414033 0.4110853 0.5555556 0.5763889 0.5694444
BGM_M TRINITY_DN26652_c0_g1 361.009876337628 9.33100121316581e-09 BAT TRINITY_DN3760_c0_g2 162.736926634773 0.823752700940562 BRO TRINITY_DN7457_c0_g3 187.109656170927 0.488324682570005 BGM TRINITY_DN26652_c0_g1 155.838226688735 0.0253975552111581 OG0002822 BAT OG0002822.ref.mafft.n 0.0497 0.012 0.0006 0.0131 BRO OG0002822.ref.mafft.n 0.0497 0.017 0.0009 0.0191 BGM OG0002822.ref.mafft.n 0.0497 0.010 0.0005 0.0109 BGM_BAT OG0002822.ref.mafft.n 2 0.0497 0.013 0.0007 0.0138 TRINITY_DN3760_c0_g2_i1.p1 34.12 45.88 38.04 TRINITY_DN7457_c0_g3_i2.p1 34.88 46.30 38.68 TRINITY_DN26652_c0_g1_i2.p1 35.71 48.65 40.23 OG0002822 0.1493419 1.128815 4.70091 4.915973 1.277179 2.114579 NA NA NA 61 61 61 0.08707564 0.08808361 0.08707564 0.2751203 0.2907064 0.2751203 0.4468085 0.4255319 0.4680851
BGM_M TRINITY_DN2944_c3_g1 804.22422642475 2.07502149245969e-07 BAT TRINITY_DN3938_c0_g1 393.792535213573 0.483339360676413 BRO TRINITY_DN1959_c2_g1 464.457272641149 0.0155898432408499 BGM TRINITY_DN2944_c3_g1 557.029723916793 0.304472156641998 OG0002823 BAT OG0002823.ref.mafft.n 0.0062 0.012 0.0002 0.0333 BRO OG0002823.ref.mafft.n 0.0094 0.030 0.0008 0.0799 BGM OG0002823.ref.mafft.n 0.0084 0.012 0.0003 0.0312 BGM_BAT OG0002823.ref.mafft.n 2 0.2694 0.002 0.0004 0.0016 TRINITY_DN3938_c0_g1_i2.p1 46.19 92.30 61.56 TRINITY_DN1959_c2_g1_i1.p1 45.81 94.27 61.96 TRINITY_DN2944_c3_g1_i1.p1 46.17 93.14 61.83 OG0002823 1.80125 22.11141 50.74734 28.45039 10.44279 25.71716 NA NA NA 32.68202 30.98793 32.05229 0.5030109 0.5448112 0.5030109 0.5060622 0.5220799 0.5060622 0.9060403 0.9328859 0.9149888
BGM_M TRINITY_DN1106_c7_g1 90.8383486906906 6.69055159310497e-11 BAT TRINITY_DN40125_c0_g1 44.5670916778987 2.71460451866784e-09 BRO TRINITY_DN6521_c2_g1 52.3978767228007 0.000298066718633548 BGM TRINITY_DN1106_c7_g1 63.2461095551148 2.98895286957513e-20 OG0002824 BAT OG0002824.ref.mafft.n 0.0353 0.011 0.0006 0.0182 BRO OG0002824.ref.mafft.n 0.0353 0.041 0.0025 0.0710 BGM OG0002824.ref.mafft.n 0.0353 0.006 0.0004 0.0107 BGM_BAT OG0002824.ref.mafft.n 2 0.0353 0.005 0.0003 0.0082 TRINITY_DN40125_c0_g1_i4.p1 46.84 88.10 60.59 TRINITY_DN6521_c2_g1_i1.p1 47.21 90.71 61.71 TRINITY_DN1106_c7_g1_i3.p1 46.67 87.82 60.57 OG0002824 0.3530309 2.697229 8.472302 3.998709 0.08505001 3.611457 NA NA NA 37.73441 38.00277 38.14382 0.4244389 0.4774406 0.4244389 0.4552751 0.5166984 0.4552751 0.8712871 0.9108911 0.8811881
BGM_M TRINITY_DN2683_c0_g3 207.626504216964 0.509122660147446 BAT TRINITY_DN4041_c0_g2 179.878354151465 0.310182753611567 BRO TRINITY_DN15523_c0_g1 225.06975029423 0.000103887776593483 BGM TRINITY_DN2683_c0_g3 148.29570408727 0.561450158623741 OG0002825 BAT OG0002825.ref.mafft.n 0.0918 0.005 0.0005 0.0057 BRO OG0002825.ref.mafft.n 0.0918 0.013 0.0014 0.0149 BGM OG0002825.ref.mafft.n 0.0918 0.004 0.0004 0.0041 BGM_BAT OG0002825.ref.mafft.n 2 0.0918 0.025 0.0026 0.0286 TRINITY_DN4041_c0_g2_i1.p1 52.83 73.77 59.81 TRINITY_DN15523_c0_g1_i2.p1 53.28 78.84 61.87 TRINITY_DN2683_c0_g3_i1.p1 52.76 74.22 59.91 OG0002825 0.02767565 5.987761 42.15987 6.147523 1.00225 5.020859 NA 2.266332 NA 48.37269 43.69857 46.8764 0.1616064 0.2338123 0.1616064 0.4492856 0.4682998 0.4492856 0.7142857 0.7545788 0.7216117
BGM_M TRINITY_DN9095_c0_g1 50.3117099753751 0.0210485349663496 BAT TRINITY_DN4202_c1_g1 64.3984734216571 0.269959396911247 BRO TRINITY_DN15866_c0_g1 30.1446397728851 0.421361340715486 BGM TRINITY_DN9095_c0_g1 37.3053605493716 0.882693169048555 OG0002826 BAT OG0002826.ref.mafft.n 0.3184 0.010 0.0022 0.0068 BRO OG0002826.ref.mafft.n 0.3184 0.045 0.0097 0.0304 BGM OG0002826.ref.mafft.n 0.3184 0.010 0.0022 0.0070 BGM_BAT OG0002826.ref.mafft.n 2 0.3184 0.013 0.0027 0.0086 TRINITY_DN4202_c1_g1_i1.p1 56.04 67.15 59.74 TRINITY_DN15866_c0_g1_i9.p2 61.22 78.95 67.29 TRINITY_DN9095_c0_g1_i1.p1 56.02 67.55 59.97 OG0002826 3.094911 8.005155 21.30699 17.52479 4.251715 5.207398 NA NA NA 50.77092 45.67057 50.08488 0.1667079 0.2643377 0.1667079 0.4387133 0.5036141 0.4387133 0.7319588 0.742268 0.7525773
BGM_M TRINITY_DN6938_c0_g1 40.0405436302675 0.0038803860744972 BAT TRINITY_DN4238_c0_g1 44.5860345001407 2.99603541894562e-07 BRO TRINITY_DN118_c14_g1 49.0162085983619 1.12673367841049e-05 BGM TRINITY_DN6938_c0_g1 33.6847695998995 0.0923984827492924 OG0002827 BAT OG0002827.ref.mafft.n 0.2129 0.038 0.0070 0.0327 BRO OG0002827.ref.mafft.n 0.2129 0.169 0.0306 0.1439 BGM OG0002827.ref.mafft.n 0.2129 0.013 0.0023 0.0109 BGM_BAT OG0002827.ref.mafft.n 2 0.2129 0.000 0.0000 0.0000 TRINITY_DN4238_c0_g1_i2.p1 59.43 85.28 68.05 TRINITY_DN118_c14_g1_i1.p1 65.10 91.37 73.86 TRINITY_DN6938_c0_g1_i5.p1 60.39 87.45 69.41 OG0002827 4.317466 6.695697 45.14241 11.28844 1.733658 5.204272 NA NA NA 40.79393 33.92143 38.68133 0.3647661 0.4868286 0.3647661 0.4664653 0.6043479 0.4664653 0.8227848 0.8860759 0.835443
BGM_M TRINITY_DN4376_c0_g1 17.5415932791883 6.80759494660402e-08 BAT TRINITY_DN61819_c0_g1 2.7882143150149 0.0212304396603329 BRO TRINITY_DN7284_c0_g1 8.33593733592797 8.04784637268624e-08 BGM TRINITY_DN4376_c0_g1 4.40338666496807 8.15797784349392e-06 OG0002829 BAT OG0002829.ref.mafft.n 0.1618 0.015 0.0031 0.0194 BRO OG0002829.ref.mafft.n 0.1618 0.044 0.0094 0.0582 BGM OG0002829.ref.mafft.n 0.1618 0.005 0.0011 0.0065 BGM_BAT OG0002829.ref.mafft.n 2 0.1618 0.024 0.0051 0.0316 TRINITY_DN61819_c0_g1_i3.p1 56.21 96.50 69.64 TRINITY_DN7284_c0_g1_i3.p1 58.26 94.08 70.20 TRINITY_DN4376_c0_g1_i9.p1 57.85 96.28 70.66 OG0002829 3.404839 1.97075 18.04187 28.4087 1.509937 2.631722 NA NA NA 28.37924 31.954 29.70784 0.589364 0.5290799 0.589364 0.433301 0.4344103 0.433301 0.8571429 0.7142857 0.8571429
BGM_M TRINITY_DN11493_c0_g1 776.443842311675 9.54919429088075e-10 BAT TRINITY_DN652_c0_g1 483.143833898686 0.186723270189379 BRO TRINITY_DN205_c0_g1 483.621705772724 1.19987564363303e-31 BGM TRINITY_DN11493_c0_g1 370.271633164926 0.00134226991932201 OG0002830 BAT OG0002830.ref.mafft.n 0.0726 0.007 0.0006 0.0083 BRO OG0002830.ref.mafft.n 0.0726 0.023 0.0019 0.0267 BGM OG0002830.ref.mafft.n 0.0726 0.005 0.0004 0.0056 BGM_BAT OG0002830.ref.mafft.n 2 0.0726 0.012 0.0010 0.0136 TRINITY_DN652_c0_g1_i5.p1 55.02 81.56 63.87 TRINITY_DN205_c0_g1_i1.p1 55.44 84.50 65.13 TRINITY_DN11493_c0_g1_i8.p1 54.97 82.68 64.21 OG0002830 1.605071 15.03651 48.96873 20.35932 5.227204 6.768436 NA 0.9480852 NA 42.95153 38.78216 41.73162 0.2475463 0.2796588 0.2475463 0.4795053 0.4948959 0.4795053 0.832021 0.8661417 0.8425197
BGM_M TRINITY_DN1849_c0_g1 1271.11280468492 3.99359066154906e-14 BAT TRINITY_DN71498_c0_g1 1852.92827249859 4.55220404324358e-06 BRO TRINITY_DN94685_c0_g2 1631.4070461991 5.15934573838798e-07 BGM TRINITY_DN1849_c0_g1 1559.04240853779 3.39914375555965e-06 OG0002831 BAT OG0002831.ref.mafft.n 0.0369 0.019 0.0009 0.0253 BRO OG0002831.ref.mafft.n 0.1548 0.163 0.0243 0.1567 BGM OG0002831.ref.mafft.n 0.0001 0.017 0.0000 0.0251 BGM_BAT OG0002831.ref.mafft.n 2 2.1205 0.000 0.0000 0.0000 TRINITY_DN71498_c0_g1_i3.p1 51.26 80.29 60.94 TRINITY_DN94685_c0_g2_i4.p1 52.20 84.50 62.96 TRINITY_DN1849_c0_g1_i11.p2 51.05 79.96 60.78 OG0002831 7.607158 11.38703 40.32105 26.12956 2.073308 7.525433 NA NA NA 43.06138 39.84657 42.95883 0.2385255 0.3089682 0.2385255 0.4667364 0.5389945 0.4667364 0.8197674 0.8604651 0.8313953
BGM_M TRINITY_DN4736_c0_g2 407.596513329422 7.87281044092764e-56 BAT TRINITY_DN76614_c0_g2 81.48571597563 0.0692721247712042 BRO TRINITY_DN12998_c0_g1 61.7653430500032 0.751280700839896 BGM TRINITY_DN4736_c0_g2 77.1702187992289 0.505766969331384 OG0002832 BAT OG0002832.ref.mafft.n 0.0001 0.000 0.0000 0.0000 BRO OG0002832.ref.mafft.n 0.4144 0.171 0.0426 0.1029 BGM OG0002832.ref.mafft.n 0.3368 0.045 0.0103 0.0305 BGM_BAT OG0002832.ref.mafft.n 2 44.0780 0.000 0.0000 0.0000 TRINITY_DN76614_c0_g2_i2.p1 50.95 67.30 56.40 TRINITY_DN12998_c0_g1_i3.p2 57.17 72.48 62.27 TRINITY_DN4736_c0_g2_i2.p1 47.65 58.99 51.57 OG0002832 0.3146105 0.1806769 49.67931 48.19327 15.7716 21.68911 NA NA NA 54.36536 49.2895 56.00677 0.1022397 0.212094 0.1022397 0.4421298 0.5424406 0.4421298 0.7272727 0.5454545 0.7272727
BGM_M TRINITY_DN27346_c0_g1 73.550067062246 0.0856655911111108 BAT TRINITY_DN9949_c0_g1 82.3980088806459 0.00127435591560706 BRO TRINITY_DN10710_c0_g1 121.65874668432 0.000601475754618309 BGM TRINITY_DN27346_c0_g1 35.6688603542768 0.929859717909065 OG0002834 BAT OG0002834.ref.mafft.n 0.2542 0.024 0.0041 0.0163 BRO OG0002834.ref.mafft.n 0.2542 0.020 0.0035 0.0136 BGM OG0002834.ref.mafft.n 0.2542 0.008 0.0014 0.0054 BGM_BAT OG0002834.ref.mafft.n 2 0.2542 0.013 0.0022 0.0087 TRINITY_DN9949_c0_g1_i15.p1 48.77 63.63 53.73 TRINITY_DN10710_c0_g1_i6.p1 49.79 66.15 55.30 TRINITY_DN27346_c0_g1_i12.p1 49.58 65.16 54.83 OG0002834 12.80817 12.96029 35.6629 29.07816 7.128893 11.44433 NA NA NA 54.88327 54.16163 53.88602 0.09273275 0.09872378 0.09273275 0.4559433 0.4656433 0.4559433 0.6315789 0.7105263 0.6973684
